AnalyticalRecord,Passage,Analysis
urn:cite:ptolemy:ethnic_ex.1,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.5,urn:cite:ptolemy:ethnic.2
urn:cite:ptolemy:ethnic_ex.2,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.6,urn:cite:ptolemy:ethnic.3
urn:cite:ptolemy:ethnic_ex.3,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.7,urn:cite:ptolemy:ethnic.4
urn:cite:ptolemy:ethnic_ex.4,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.8,urn:cite:ptolemy:ethnic.5
urn:cite:ptolemy:ethnic_ex.5,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.9,urn:cite:ptolemy:ethnic.6
urn:cite:ptolemy:ethnic_ex.6,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.10,urn:cite:ptolemy:ethnic.7
urn:cite:ptolemy:ethnic_ex.7,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.11,urn:cite:ptolemy:ethnic.8
urn:cite:ptolemy:ethnic_ex.8,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.12,urn:cite:ptolemy:ethnic.9
urn:cite:ptolemy:ethnic_ex.9,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.13,urn:cite:ptolemy:ethnic.10
urn:cite:ptolemy:ethnic_ex.10,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.2,urn:cite:ptolemy:ethnic.11
urn:cite:ptolemy:ethnic_ex.11,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.3,urn:cite:ptolemy:ethnic.12
urn:cite:ptolemy:ethnic_ex.12,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.4,urn:cite:ptolemy:ethnic.13
urn:cite:ptolemy:ethnic_ex.13,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.5,urn:cite:ptolemy:ethnic.14
urn:cite:ptolemy:ethnic_ex.14,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.6,urn:cite:ptolemy:ethnic.15
urn:cite:ptolemy:ethnic_ex.15,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.7,urn:cite:ptolemy:ethnic.16
urn:cite:ptolemy:ethnic_ex.16,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.8,urn:cite:ptolemy:ethnic.17
urn:cite:ptolemy:ethnic_ex.17,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.9,urn:cite:ptolemy:ethnic.18
urn:cite:ptolemy:ethnic_ex.18,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.10,urn:cite:ptolemy:ethnic.19
urn:cite:ptolemy:ethnic_ex.19,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.11,urn:cite:ptolemy:ethnic.20
urn:cite:ptolemy:ethnic_ex.20,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.12,urn:cite:ptolemy:ethnic.21
urn:cite:ptolemy:ethnic_ex.21,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.13,urn:cite:ptolemy:ethnic.22
urn:cite:ptolemy:ethnic_ex.22,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.14,urn:cite:ptolemy:ethnic.23
urn:cite:ptolemy:ethnic_ex.23,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.15,urn:cite:ptolemy:ethnic.24
urn:cite:ptolemy:ethnic_ex.24,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.16,urn:cite:ptolemy:ethnic.25
urn:cite:ptolemy:ethnic_ex.25,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.17,urn:cite:ptolemy:ethnic.26
urn:cite:ptolemy:ethnic_ex.26,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.18,urn:cite:ptolemy:ethnic.27
urn:cite:ptolemy:ethnic_ex.27,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.19,urn:cite:ptolemy:ethnic.28
urn:cite:ptolemy:ethnic_ex.28,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.20,urn:cite:ptolemy:ethnic.29
urn:cite:ptolemy:ethnic_ex.29,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.21,urn:cite:ptolemy:ethnic.30
urn:cite:ptolemy:ethnic_ex.30,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.22,urn:cite:ptolemy:ethnic.31
urn:cite:ptolemy:ethnic_ex.31,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.23,urn:cite:ptolemy:ethnic.32
urn:cite:ptolemy:ethnic_ex.33,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.25,urn:cite:ptolemy:ethnic.31
urn:cite:ptolemy:ethnic_ex.34,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.26,urn:cite:ptolemy:ethnic.30
urn:cite:ptolemy:ethnic_ex.35,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.27,urn:cite:ptolemy:ethnic.36
urn:cite:ptolemy:ethnic_ex.36,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.28,urn:cite:ptolemy:ethnic.37
urn:cite:ptolemy:ethnic_ex.37,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.29,urn:cite:ptolemy:ethnic.38
urn:cite:ptolemy:ethnic_ex.38,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.30,urn:cite:ptolemy:ethnic.39
urn:cite:ptolemy:ethnic_ex.39,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.31,urn:cite:ptolemy:ethnic.40
urn:cite:ptolemy:ethnic_ex.40,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.32,urn:cite:ptolemy:ethnic.41
