AnalyticalRecord,Passage,Analysis,List
urn:cite:ptolemy:geotype_ex.1,urn:cts:greekLit:tlg0363.tlg009.hc01:2.2.1,urn:cite:ptolemy:geotype.7,urn:cite:ptolemy:list.list0001
urn:cite:ptolemy:geotype_ex.2,urn:cts:greekLit:tlg0363.tlg009.hc01:2.2.2,urn:cite:ptolemy:geotype.3,
urn:cite:ptolemy:geotype_ex.3,urn:cts:greekLit:tlg0363.tlg009.hc01:2.2.3,urn:cite:ptolemy:geotype.7,urn:cite:ptolemy:list.list0002
urn:cite:ptolemy:geotype_ex.4,urn:cts:greekLit:tlg0363.tlg009.hc01:2.2.4,urn:cite:ptolemy:geotype.3,
urn:cite:ptolemy:geotype_ex.5,urn:cts:greekLit:tlg0363.tlg009.hc01:2.2.5,urn:cite:ptolemy:geotype.7,urn:cite:ptolemy:list.list0003
urn:cite:ptolemy:geotype_ex.6,urn:cts:greekLit:tlg0363.tlg009.hc01:2.2.6,urn:cite:ptolemy:geotype.3,
urn:cite:ptolemy:geotype_ex.7,urn:cts:greekLit:tlg0363.tlg009.hc01:2.2.7,urn:cite:ptolemy:geotype.7,urn:cite:ptolemy:list.list0004
urn:cite:ptolemy:geotype_ex.8,urn:cts:greekLit:tlg0363.tlg009.hc01:2.2.8,urn:cite:ptolemy:geotype.3,
urn:cite:ptolemy:geotype_ex.9,urn:cts:greekLit:tlg0363.tlg009.hc01:2.2.9,urn:cite:ptolemy:geotype.4,urn:cite:ptolemy:list.list0005
urn:cite:ptolemy:geotype_ex.10,urn:cts:greekLit:tlg0363.tlg009.hc01:2.2.10,urn:cite:ptolemy:geotype.5,urn:cite:ptolemy:list.list0006
urn:cite:ptolemy:geotype_ex.10a,urn:cts:greekLit:tlg0363.tlg009.hc01:2.2.10,urn:cite:ptolemy:geotype.5,urn:cite:ptolemy:list.list0007
urn:cite:ptolemy:geotype_ex.10b,urn:cts:greekLit:tlg0363.tlg009.hc01:2.2.10,urn:cite:ptolemy:geotype.5,urn:cite:ptolemy:list.list0008
urn:cite:ptolemy:geotype_ex.11,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.1,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.12,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.2,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.13,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.3,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.14,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.4,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.15,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.5,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.16,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.6,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.17,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.7,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.18,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.8,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.19,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.9,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.20,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.10,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.21,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.11,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.22,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.12,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.23,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.13,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.24,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.14,urn:cite:ptolemy:geotype.5,
urn:cite:ptolemy:geotype_ex.25,urn:cts:greekLit:tlg0363.tlg009.hc01:2.4.1,urn:cite:ptolemy:geotype.1,
urn:cite:ptolemy:geotype_ex.26,urn:cts:greekLit:tlg0363.tlg009.hc01:2.4.2,urn:cite:ptolemy:geotype.1,
urn:cite:ptolemy:geotype_ex.27,urn:cts:greekLit:tlg0363.tlg009.hc01:2.4.3,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.28,urn:cts:greekLit:tlg0363.tlg009.hc01:2.4.4,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.29,urn:cts:greekLit:tlg0363.tlg009.hc01:2.4.5,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.30,urn:cts:greekLit:tlg0363.tlg009.hc01:2.4.6,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.31,urn:cts:greekLit:tlg0363.tlg009.hc01:2.4.7,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.32,urn:cts:greekLit:tlg0363.tlg009.hc01:2.4.8,urn:cite:ptolemy:geotype.1,
urn:cite:ptolemy:geotype_ex.33,urn:cts:greekLit:tlg0363.tlg009.hc01:2.4.9,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.34,urn:cts:greekLit:tlg0363.tlg009.hc01:2.4.10,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.35,urn:cts:greekLit:tlg0363.tlg009.hc01:2.4.11,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.36,urn:cts:greekLit:tlg0363.tlg009.hc01:2.4.12,urn:cite:ptolemy:geotype.6,
urn:cite:ptolemy:geotype_ex.37,urn:cts:greekLit:tlg0363.tlg009.hc01:2.4.13,urn:cite:ptolemy:geotype.5,
urn:cite:ptolemy:geotype_ex.38,urn:cts:greekLit:tlg0363.tlg009.hc01:2.5.1,urn:cite:ptolemy:geotype.1,
urn:cite:ptolemy:geotype_ex.39,urn:cts:greekLit:tlg0363.tlg009.hc01:2.5.2,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.40,urn:cts:greekLit:tlg0363.tlg009.hc01:2.5.3,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.41,urn:cts:greekLit:tlg0363.tlg009.hc01:2.5.4,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.42,urn:cts:greekLit:tlg0363.tlg009.hc01:2.5.5,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.43,urn:cts:greekLit:tlg0363.tlg009.hc01:2.5.6,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.44,urn:cts:greekLit:tlg0363.tlg009.hc01:2.5.7,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.45,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.1,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.46,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.2,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.47,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.3,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.48,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.4,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.49,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.5,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.50,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.6,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.51,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.7,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.52,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.8,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.53,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.9,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.54,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.10,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.55,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.11,urn:cite:ptolemy:geotype.1,
urn:cite:ptolemy:geotype_ex.56,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.12,urn:cite:ptolemy:geotype.7,
