URN,label,PleiadesId
urn:cite:rage:ptolgeo.pt-ll-8,Magnata polis episēmos (Μάγνατα πόλις [ἐπίσημος]),21909
urn:cite:rage:ptolgeo.pt-ll-21,Manapia polis (Μαναπία πόλις),83861
urn:cite:rage:ptolgeo.pt-ll-23,Eblana polis (Ἔβλανα πόλις),83839
urn:cite:rage:ptolgeo.pt-ll-29,Rhaiba (Ῥαῖβα),21918
urn:cite:rage:ptolgeo.pt-ll-30,Labēros (Λάβηρος),83854
urn:cite:rage:ptolgeo.pt-ll-31,Makolikon (Μακόλικον),21910
urn:cite:rage:ptolgeo.pt-ll-190,Kartēia (Καρτηΐα),256063
urn:cite:rage:ptolgeo.pt-ll-194,Malaka (Μάλακα),265963
urn:cite:rage:ptolgeo.pt-ll-195,Mainoba (Μαίνοβα),265959
urn:cite:rage:ptolgeo.pt-ll-206,Kalpourniana (Καλπουρνιάνα),265836
urn:cite:rage:ptolgeo.pt-ll-207,Kaikila (Καικίλα),260570
urn:cite:rage:ptolgeo.pt-ll-209,Kordubē (Κορδύβη),256128
urn:cite:rage:ptolgeo.pt-ll-393,Tarrakōn (Ταρράκων),246349
urn:cite:rage:ptolgeo.pt-ll-417,Tourriga (Τούρριγα),241008
urn:cite:rage:ptolgeo.pt-ll-425,Labernis (Λαβερνίς),240943
urn:cite:rage:ptolgeo.pt-ll-426,Interamnion (Ἰντεράμνιον),236487
urn:cite:rage:ptolgeo.pt-ll-429,Maliaka (Μαλίακα),240955
urn:cite:rage:ptolgeo.pt-ll-432,Interamnion Phlaouion (Ἰντεράμνιον Φλαούιον),236488
urn:cite:rage:ptolgeo.pt-ll-435,Interkatia (Ἰντερκατία),236490
urn:cite:rage:ptolgeo.pt-ll-437,Nardinion (Ναρδίνιον),240967
urn:cite:rage:ptolgeo.pt-ll-439,Astourika Augousta (Ἀστούρικα Αὐγούστα),236352
urn:cite:rage:ptolgeo.pt-ll-440,Nemetobriga (Νεμετόβριγα),236565
urn:cite:rage:ptolgeo.pt-ll-443,Kaladounon (Καλάδουνον),236395
urn:cite:rage:ptolgeo.pt-ll-517,Tōlēton (Τώλητον),266066
urn:cite:rage:ptolgeo.pt-ll-518,Komplouton (Κόμπλουτον),246352
urn:cite:rage:ptolgeo.pt-ll-519,Karakka (Κάρακκα),265842
