Site	Sequence	List	ListSeq	SiteName	LonDeg	LonFract	LatDeg	LatFract	SouthLat
urn:cite:ptolemy:lonlat.pt_ll_1	1	urn:cite:ptolemy:list.list0001	0	Βόρειον ἄκρον	ια		ξα		false
urn:cite:ptolemy:lonlat.pt_ll_2	2	urn:cite:ptolemy:list.list0001	1	Οὐεννίκνιον ἄκρον	ιβ	𐅵 γ	ξα	γ	false
urn:cite:ptolemy:lonlat.pt_ll_3	3	urn:cite:ptolemy:list.list0001	2	Οὐιδούα ποταμοῦ ἐκβολαί	ιγ		ξα		false
urn:cite:ptolemy:lonlat.pt_ll_4	4	urn:cite:ptolemy:list.list0001	3	Ἀργίτα ποταμοῦ ἐκβολαί	ιδ	𐅵	ξα	𐅵	false
urn:cite:ptolemy:lonlat.pt_ll_5	5	urn:cite:ptolemy:list.list0001	4	Ῥοβόγδιον ἄκρον	ιϛ	γ	ξα	𐅵	false
urn:cite:ptolemy:lonlat.pt_ll_6	6	urn:cite:ptolemy:list.list0002	0	τὸ Βόρειον ἄκρον	ια		ξα		false
urn:cite:ptolemy:lonlat.pt_ll_7	7	urn:cite:ptolemy:list.list0002	1	Ῥαουίου ποταμοῦ ἐκβολαί	ια	γ	ξ	𐅷	false
urn:cite:ptolemy:lonlat.pt_ll_8	8	urn:cite:ptolemy:list.list0002	2	Μάγνατα πόλις [ἐπίσημος]	ια	δ	ξ	δ	false
urn:cite:ptolemy:lonlat.pt_ll_9	9	urn:cite:ptolemy:list.list0002	3	Λιβνίου ποταμοῦ ἐκβολαί	ι	𐅵	ξ		false
urn:cite:ptolemy:lonlat.pt_ll_10	10	urn:cite:ptolemy:list.list0002	4	Αὐσόβα ποταμοῦ ἐκβολαί	ι	𐅵	νθ	𐅵	false
urn:cite:ptolemy:lonlat.pt_ll_11	11	urn:cite:ptolemy:list.list0002	5	Σήνου ποταμοῦ ἐκβολαί	θ	𐅵	νθ	𐅵	false
urn:cite:ptolemy:lonlat.pt_ll_12	12	urn:cite:ptolemy:list.list0002	6	Δοὺρ ποταμοῦ ἐκβολαί	θ	𐅷	νη	𐅷	false
urn:cite:ptolemy:lonlat.pt_ll_13	13	urn:cite:ptolemy:list.list0002	7	Ἰέρνου ποταμοῦ ἐκβολαί	η		νη		false
urn:cite:ptolemy:lonlat.pt_ll_14	14	urn:cite:ptolemy:list.list0002	8	Νότιον ἄκρον	ζ	𐅷	νζ	𐅵 δ	false
urn:cite:ptolemy:lonlat.pt_ll_15	15	urn:cite:ptolemy:list.list0003	0	Μετὰ τὸ Νότιον ἄκρον, ὅ ἐστιν	ζ	𐅷	νζ	𐅵 δ	false
urn:cite:ptolemy:lonlat.pt_ll_16	16	urn:cite:ptolemy:list.list0003	1	Δαβρώνα ποταμοῦ ἐκβολαί	ια	δ	νζ		false
urn:cite:ptolemy:lonlat.pt_ll_17	17	urn:cite:ptolemy:list.list0003	2	Βίργου ποταμοῦ ἐκβολαί	ιβ	𐅵	νζ	𐅵	false
urn:cite:ptolemy:lonlat.pt_ll_18	18	urn:cite:ptolemy:list.list0003	3	Ἱερὸν ἄκρον.	ιδ		νζ	𐅵 γ	false
urn:cite:ptolemy:lonlat.pt_ll_19	19	urn:cite:ptolemy:list.list0004	0	τὸ Ἱερὸν ἄκρον	ιδ		νζ	𐅵 γ	false
urn:cite:ptolemy:lonlat.pt_ll_20	20	urn:cite:ptolemy:list.list0004	1	Μοδόννου ποταμοῦ ἐκβολαί	ιγ	𐅷	νη	𐅷	false
urn:cite:ptolemy:lonlat.pt_ll_21	21	urn:cite:ptolemy:list.list0004	2	Μαναπία πόλις	ιγ	𐅵	νη	𐅷	false
