List,Sequence,Passage
urn:cite:ptolemy:list.list0001,1,urn:cts:greekLit:tlg0363.tlg009.hc01:2.2.1
urn:cite:ptolemy:list.list0002,2,urn:cts:greekLit:tlg0363.tlg009.hc01:2.2.3
urn:cite:ptolemy:list.list0003,3,urn:cts:greekLit:tlg0363.tlg009.hc01:2.2.5
urn:cite:ptolemy:list.list0004,4,urn:cts:greekLit:tlg0363.tlg009.hc01:2.2.7
urn:cite:ptolemy:list.list0005,5,urn:cts:greekLit:tlg0363.tlg009.hc01:2.2.9
urn:cite:ptolemy:list.list0006,6,urn:cts:greekLit:tlg0363.tlg009.hc01:2.2.10
urn:cite:ptolemy:list.list0007,7,urn:cts:greekLit:tlg0363.tlg009.hc01:2.2.10
urn:cite:ptolemy:list.list0008,8,urn:cts:greekLit:tlg0363.tlg009.hc01:2.2.10
urn:cite:ptolemy:list.list0009,9,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.1
urn:cite:ptolemy:list.list0010,10,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.2
urn:cite:ptolemy:list.list0011,11,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.3
urn:cite:ptolemy:list.list0012,12,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.4
urn:cite:ptolemy:list.list0013,13,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.5
urn:cite:ptolemy:list.list0014,14,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.6
urn:cite:ptolemy:list.list0015,15,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.7
urn:cite:ptolemy:list.list0016,16,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.7
urn:cite:ptolemy:list.list0017,17,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.8
urn:cite:ptolemy:list.list0018,18,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.9
urn:cite:ptolemy:list.list0019,19,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.9
urn:cite:ptolemy:list.list0020,20,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.10
urn:cite:ptolemy:list.list0021,21,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.10
urn:cite:ptolemy:list.list0022,22,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.11
urn:cite:ptolemy:list.list0023,23,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.11
urn:cite:ptolemy:list.list0024,24,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.11
urn:cite:ptolemy:list.list0025,25,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.11
urn:cite:ptolemy:list.list0026,26,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.11
urn:cite:ptolemy:list.list0027,27,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.11
urn:cite:ptolemy:list.list0028,28,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3.12
