URN,Passage,Analysis
urn:cite:ptolemy:geotype_ex.1,urn:cts:greekLit:tlg0363.tlg009.hc01:2.2,urn:cite:ptolemy:geotype.7
urn:cite:ptolemy:geotype_ex.2,urn:cts:greekLit:tlg0363.tlg009.hc01:2.2,urn:cite:ptolemy:geotype.3
urn:cite:ptolemy:geotype_ex.3,urn:cts:greekLit:tlg0363.tlg009.hc01:2.2,urn:cite:ptolemy:geotype.7
urn:cite:ptolemy:geotype_ex.4,urn:cts:greekLit:tlg0363.tlg009.hc01:2.2,urn:cite:ptolemy:geotype.3
urn:cite:ptolemy:geotype_ex.5,urn:cts:greekLit:tlg0363.tlg009.hc01:2.2,urn:cite:ptolemy:geotype.7
urn:cite:ptolemy:geotype_ex.6,urn:cts:greekLit:tlg0363.tlg009.hc01:2.2,urn:cite:ptolemy:geotype.3
urn:cite:ptolemy:geotype_ex.7,urn:cts:greekLit:tlg0363.tlg009.hc01:2.2,urn:cite:ptolemy:geotype.7
urn:cite:ptolemy:geotype_ex.8,urn:cts:greekLit:tlg0363.tlg009.hc01:2.2,urn:cite:ptolemy:geotype.3
urn:cite:ptolemy:geotype_ex.9,urn:cts:greekLit:tlg0363.tlg009.hc01:2.2,urn:cite:ptolemy:geotype.4
urn:cite:ptolemy:geotype_ex.10,urn:cts:greekLit:tlg0363.tlg009.hc01:2.2,urn:cite:ptolemy:geotype.5
urn:cite:ptolemy:geotype_ex.11,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3,urn:cite:ptolemy:geotype.7
urn:cite:ptolemy:geotype_ex.12,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3,urn:cite:ptolemy:geotype.7
urn:cite:ptolemy:geotype_ex.13,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3,urn:cite:ptolemy:geotype.7
urn:cite:ptolemy:geotype_ex.14,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3,urn:cite:ptolemy:geotype.7
urn:cite:ptolemy:geotype_ex.15,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3,urn:cite:ptolemy:geotype.4
urn:cite:ptolemy:geotype_ex.16,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3,urn:cite:ptolemy:geotype.4
urn:cite:ptolemy:geotype_ex.17,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3,urn:cite:ptolemy:geotype.4
urn:cite:ptolemy:geotype_ex.18,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3,urn:cite:ptolemy:geotype.4
urn:cite:ptolemy:geotype_ex.19,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3,urn:cite:ptolemy:geotype.4
urn:cite:ptolemy:geotype_ex.20,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3,urn:cite:ptolemy:geotype.4
urn:cite:ptolemy:geotype_ex.21,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3,urn:cite:ptolemy:geotype.4
urn:cite:ptolemy:geotype_ex.22,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3,urn:cite:ptolemy:geotype.4
urn:cite:ptolemy:geotype_ex.23,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3,urn:cite:ptolemy:geotype.4
urn:cite:ptolemy:geotype_ex.24,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3,urn:cite:ptolemy:geotype.5
urn:cite:ptolemy:geotype_ex.25,urn:cts:greekLit:tlg0363.tlg009.hc01:2.4,urn:cite:ptolemy:geotype.1
urn:cite:ptolemy:geotype_ex.26,urn:cts:greekLit:tlg0363.tlg009.hc01:2.4,urn:cite:ptolemy:geotype.1
urn:cite:ptolemy:geotype_ex.27,urn:cts:greekLit:tlg0363.tlg009.hc01:2.4,urn:cite:ptolemy:geotype.7
urn:cite:ptolemy:geotype_ex.28,urn:cts:greekLit:tlg0363.tlg009.hc01:2.4,urn:cite:ptolemy:geotype.7
urn:cite:ptolemy:geotype_ex.29,urn:cts:greekLit:tlg0363.tlg009.hc01:2.4,urn:cite:ptolemy:geotype.7
urn:cite:ptolemy:geotype_ex.30,urn:cts:greekLit:tlg0363.tlg009.hc01:2.4,urn:cite:ptolemy:geotype.7
urn:cite:ptolemy:geotype_ex.31,urn:cts:greekLit:tlg0363.tlg009.hc01:2.4,urn:cite:ptolemy:geotype.7
urn:cite:ptolemy:geotype_ex.32,urn:cts:greekLit:tlg0363.tlg009.hc01:2.4,urn:cite:ptolemy:geotype.1
urn:cite:ptolemy:geotype_ex.33,urn:cts:greekLit:tlg0363.tlg009.hc01:2.4,urn:cite:ptolemy:geotype.4
urn:cite:ptolemy:geotype_ex.34,urn:cts:greekLit:tlg0363.tlg009.hc01:2.4,urn:cite:ptolemy:geotype.4
urn:cite:ptolemy:geotype_ex.35,urn:cts:greekLit:tlg0363.tlg009.hc01:2.4,urn:cite:ptolemy:geotype.4
urn:cite:ptolemy:geotype_ex.36,urn:cts:greekLit:tlg0363.tlg009.hc01:2.4,urn:cite:ptolemy:geotype.6
urn:cite:ptolemy:geotype_ex.37,urn:cts:greekLit:tlg0363.tlg009.hc01:2.4,urn:cite:ptolemy:geotype.5
urn:cite:ptolemy:geotype_ex.38,urn:cts:greekLit:tlg0363.tlg009.hc01:2.5,urn:cite:ptolemy:geotype.1
urn:cite:ptolemy:geotype_ex.39,urn:cts:greekLit:tlg0363.tlg009.hc01:2.5,urn:cite:ptolemy:geotype.7
urn:cite:ptolemy:geotype_ex.40,urn:cts:greekLit:tlg0363.tlg009.hc01:2.5,urn:cite:ptolemy:geotype.7
