URN,Passage,Analysis
urn:cite:ptolemy:province_ex.1,urn:cts:greekLit:tlg0363.tlg009.hc01:2.2,urn:cite:ptolemy:province.2
urn:cite:ptolemy:province_ex.2,urn:cts:greekLit:tlg0363.tlg009.hc01:2.3,urn:cite:ptolemy:province.3
urn:cite:ptolemy:province_ex.3,urn:cts:greekLit:tlg0363.tlg009.hc01:2.4,urn:cite:ptolemy:province.4
urn:cite:ptolemy:province_ex.4,urn:cts:greekLit:tlg0363.tlg009.hc01:2.5,urn:cite:ptolemy:province.6
urn:cite:ptolemy:province_ex.5,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6,urn:cite:ptolemy:province.5
urn:cite:ptolemy:province_ex.6,urn:cts:greekLit:tlg0363.tlg009.hc01:2.7,urn:cite:ptolemy:province.7
urn:cite:ptolemy:province_ex.7,urn:cts:greekLit:tlg0363.tlg009.hc01:2.8,urn:cite:ptolemy:province.8
urn:cite:ptolemy:province_ex.8,urn:cts:greekLit:tlg0363.tlg009.hc01:2.9,urn:cite:ptolemy:province.9
urn:cite:ptolemy:province_ex.9,urn:cts:greekLit:tlg0363.tlg009.hc01:2.10,urn:cite:ptolemy:province.1
urn:cite:ptolemy:province_ex.10,urn:cts:greekLit:tlg0363.tlg009.hc01:2.11,urn:cite:ptolemy:province.10
urn:cite:ptolemy:province_ex.11,urn:cts:greekLit:tlg0363.tlg009.hc01:2.12,urn:cite:ptolemy:province.12
urn:cite:ptolemy:province_ex.12,urn:cts:greekLit:tlg0363.tlg009.hc01:2.13,urn:cite:ptolemy:province.13
urn:cite:ptolemy:province_ex.13,urn:cts:greekLit:tlg0363.tlg009.hc01:2.14,urn:cite:ptolemy:province.14
urn:cite:ptolemy:province_ex.14,urn:cts:greekLit:tlg0363.tlg009.hc01:2.15,urn:cite:ptolemy:province.15
urn:cite:ptolemy:province_ex.15,urn:cts:greekLit:tlg0363.tlg009.hc01:2.16,urn:cite:ptolemy:province.16
urn:cite:ptolemy:province_ex.16,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1,urn:cite:ptolemy:province.17
urn:cite:ptolemy:province_ex.17,urn:cts:greekLit:tlg0363.tlg009.hc01:3.2,urn:cite:ptolemy:province.18
urn:cite:ptolemy:province_ex.18,urn:cts:greekLit:tlg0363.tlg009.hc01:3.3,urn:cite:ptolemy:province.19
urn:cite:ptolemy:province_ex.19,urn:cts:greekLit:tlg0363.tlg009.hc01:3.4,urn:cite:ptolemy:province.21
urn:cite:ptolemy:province_ex.20,urn:cts:greekLit:tlg0363.tlg009.hc01:3.5,urn:cite:ptolemy:province.20
urn:cite:ptolemy:province_ex.21,urn:cts:greekLit:tlg0363.tlg009.hc01:3.6,urn:cite:ptolemy:province.22
urn:cite:ptolemy:province_ex.22,urn:cts:greekLit:tlg0363.tlg009.hc01:3.7,urn:cite:ptolemy:province.11
urn:cite:ptolemy:province_ex.23,urn:cts:greekLit:tlg0363.tlg009.hc01:3.8,urn:cite:ptolemy:province.23
urn:cite:ptolemy:province_ex.24,urn:cts:greekLit:tlg0363.tlg009.hc01:3.9,urn:cite:ptolemy:province.24
urn:cite:ptolemy:province_ex.25,urn:cts:greekLit:tlg0363.tlg009.hc01:3.10,urn:cite:ptolemy:province.25
urn:cite:ptolemy:province_ex.26,urn:cts:greekLit:tlg0363.tlg009.hc01:3.11,urn:cite:ptolemy:province.26
