Province,Label,Pleiades
urn:cite:ptolemy:province.1,Gallia Narbonensis,981537
urn:cite:ptolemy:province.2,Hibernia,20487
urn:cite:ptolemy:province.3,Albion,20419
urn:cite:ptolemy:province.4,Baetica,981510
urn:cite:ptolemy:province.5,Tarraconensis,981551
urn:cite:ptolemy:province.6,Lusitania,981529
urn:cite:ptolemy:province.7,Aquitania,991330
urn:cite:ptolemy:province.8,Lugdunensis,991332
urn:cite:ptolemy:province.9,Belgica,981511
urn:cite:ptolemy:province.10,Germania,991337
urn:cite:ptolemy:province.11,Iazyges,207181
urn:cite:ptolemy:province.12,Raetia and Vindelica,981547
urn:cite:ptolemy:province.13,Noricum,981538
urn:cite:ptolemy:province.14,Upper Pannonia,991356
urn:cite:ptolemy:province.15,Lower Pannonia,991355
urn:cite:ptolemy:province.16,Illyria and Dalmatia,981522
urn:cite:ptolemy:province.17,Italia,1052
urn:cite:ptolemy:province.18,Corsica,991339
urn:cite:ptolemy:province.19,Sardinia,991344
urn:cite:ptolemy:province.20,Sarmatia in Europe,825371
urn:cite:ptolemy:province.21,Sicilia,981549
urn:cite:ptolemy:province.22,Tauric Chersonnese,
urn:cite:ptolemy:province.23,Dacia,981518
urn:cite:ptolemy:province.24,Upper Mysia,1001904
urn:cite:ptolemy:province.25,Lower Mysia,1001891
urn:cite:ptolemy:province.26,Thrace,981552
urn:cite:ptolemy:province.27,Macedonia,981531
urn:cite:ptolemy:province.28,Epirus,530871
urn:cite:ptolemy:province.29,Achaea,570028
urn:cite:ptolemy:province.30,Crete,
urn:cite:ptolemy:province.31,Further Aethiopia,
urn:cite:ptolemy:province.32,Nearer Aethiopia,
urn:cite:ptolemy:province.33,Africa,775
urn:cite:ptolemy:province.34,Albania,863731
urn:cite:ptolemy:province.35,Arabia Deserta,912809
urn:cite:ptolemy:province.36,Arabia Felix,746710
urn:cite:ptolemy:province.37,Arabia Petraea,746711
urn:cite:ptolemy:province.38,Arachosia,59692
urn:cite:ptolemy:province.39,Aria,961881
urn:cite:ptolemy:province.40,Armenia Minor,628936
urn:cite:ptolemy:province.41,Armenia Major,863747
urn:cite:ptolemy:province.42,Asia,991380
urn:cite:ptolemy:province.43,assyria,
urn:cite:ptolemy:province.44,Babylonia,912816
urn:cite:ptolemy:province.45,Bactria,971705
urn:cite:ptolemy:province.46,cappadocia,
urn:cite:ptolemy:province.47,carmania,
urn:cite:ptolemy:province.48,Carmania Deserta,
urn:cite:ptolemy:province.49,Cilicia,981514
urn:cite:ptolemy:province.50,colchis,
urn:cite:ptolemy:province.51,cyprus,
urn:cite:ptolemy:province.52,cyrenaica,
urn:cite:ptolemy:province.53,drangiana,
urn:cite:ptolemy:province.54,galatia,
urn:cite:ptolemy:province.55,gedrosia,
urn:cite:ptolemy:province.56,hyrcania,
urn:cite:ptolemy:province.57,iberia,
urn:cite:ptolemy:province.58,Interior India,
urn:cite:ptolemy:province.59,Exterior India,
urn:cite:ptolemy:province.60,Interior Libya,
urn:cite:ptolemy:province.61,lycia,
urn:cite:ptolemy:province.62,margiana,
urn:cite:ptolemy:province.63,marmarice,
urn:cite:ptolemy:province.64,Mauritania Caesariensis,
urn:cite:ptolemy:province.65,Mauritania Tingitana,
urn:cite:ptolemy:province.66,media,
urn:cite:ptolemy:province.67,Mesopotamia,874602
urn:cite:ptolemy:province.68,Pamphylia,639034
urn:cite:ptolemy:province.69,palestine,
urn:cite:ptolemy:province.70,Paropanisadae,
urn:cite:ptolemy:province.71,parthia,
urn:cite:ptolemy:province.72,Persis,922698
urn:cite:ptolemy:province.73,Pontus and Bithynia,
urn:cite:ptolemy:province.74,sacae,
urn:cite:ptolemy:province.75,Sarmatia in Asia,
urn:cite:ptolemy:province.76,Nearer Scythia,
urn:cite:ptolemy:province.77,Further Scythia,
urn:cite:ptolemy:province.78,serice,
urn:cite:ptolemy:province.79,sinae,
urn:cite:ptolemy:province.80,sogdia,
urn:cite:ptolemy:province.81,susiana,
urn:cite:ptolemy:province.82,Syria Coele,
urn:cite:ptolemy:province.83,Taprobane,50298
