SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_5711,'Khersonēsou akron',20.92,37.02
urn:cite:ptolemy:lonlat.pt_ll_2142,'Euēnou pot. ekbolai',21.28,37.08
urn:cite:ptolemy:lonlat.pt_ll_2143,'Molukria',21.46,37.08
urn:cite:ptolemy:lonlat.pt_ll_2144,'Antirrion akron',21.52,37.02
urn:cite:ptolemy:lonlat.pt_ll_2145,'Naupaktos',21.64,37.14
urn:cite:ptolemy:lonlat.pt_ll_2146,'Euantheia',21.82,37.26
urn:cite:ptolemy:lonlat.pt_ll_5712,'Khaleos',21.94,37.32
urn:cite:ptolemy:lonlat.pt_ll_2147,'Kirra',22.0,37.08
urn:cite:ptolemy:lonlat.pt_ll_2148,'Krisa',22.18,37.08
urn:cite:ptolemy:lonlat.pt_ll_2149,'Antikura',22.36,37.08
urn:cite:ptolemy:lonlat.pt_ll_2150,'Siphai',22.78,37.14
urn:cite:ptolemy:lonlat.pt_ll_2151,'Kreousa',22.9,37.08
urn:cite:ptolemy:lonlat.pt_ll_5713,'Pēgai',23.02,37.02
urn:cite:ptolemy:lonlat.pt_ll_2152,'Nisaia',23.44,36.96
urn:cite:ptolemy:lonlat.pt_ll_2153,'Eleusis',23.68,36.90
urn:cite:ptolemy:lonlat.pt_ll_2154,'Peiraieus',23.98,36.84
urn:cite:ptolemy:lonlat.pt_ll_2155,'Ilissou pot. ekbolai',24.04,36.78
urn:cite:ptolemy:lonlat.pt_ll_2156,'Mounukhias limēn',24.28,36.72
urn:cite:ptolemy:lonlat.pt_ll_2157,'Huphormos limēn',24.52,36.60
urn:cite:ptolemy:lonlat.pt_ll_2158,'Sounion akron',24.58,36.54
urn:cite:ptolemy:lonlat.pt_ll_2159,'Panormos limēn',24.64,36.72
urn:cite:ptolemy:lonlat.pt_ll_2160,'Artemidos hieron',24.64,36.78
urn:cite:ptolemy:lonlat.pt_ll_2161,'Kunosoura akron',24.76,36.96
urn:cite:ptolemy:lonlat.pt_ll_2162,'Asōpou pot. ekbolai',24.52,37.02
urn:cite:ptolemy:lonlat.pt_ll_2163,'Khersonēsos akra',24.52,37.08
urn:cite:ptolemy:lonlat.pt_ll_2164,'Ōrōpos',24.4,37.20
urn:cite:ptolemy:lonlat.pt_ll_2165,'Aulis',24.34,37.26
urn:cite:ptolemy:lonlat.pt_ll_2166,'Ismēnou pot. ekbolai',24.28,37.32
urn:cite:ptolemy:lonlat.pt_ll_2167,'Salganeus',24.16,37.44
urn:cite:ptolemy:lonlat.pt_ll_2168,'Anthēdōn',24.16,37.50
urn:cite:ptolemy:lonlat.pt_ll_2169,'Phōkai',23.92,37.56
urn:cite:ptolemy:lonlat.pt_ll_2170,'tou Oitaiou kolpou ho mukhos',23.62,37.56
urn:cite:ptolemy:lonlat.pt_ll_2171,'Knēmides',23.56,37.74
urn:cite:ptolemy:lonlat.pt_ll_2172,'Kunos',23.44,37.68
urn:cite:ptolemy:lonlat.pt_ll_2173,'Boagriou pot. ekbolai',23.08,37.74
urn:cite:ptolemy:lonlat.pt_ll_2174,'Skarpheia',22.9,37.74
urn:cite:ptolemy:lonlat.pt_ll_2175,'to te Kallidromon oros',21.28,37.62
urn:cite:ptolemy:lonlat.pt_ll_2176,'ho Korax oros',21.52,37.44
urn:cite:ptolemy:lonlat.pt_ll_2177,'ho Parnassos oros',22.24,37.44
urn:cite:ptolemy:lonlat.pt_ll_2178,'ho Helikōn oros',22.72,37.26
urn:cite:ptolemy:lonlat.pt_ll_2179,'ho Kithairōn oros',23.2,37.08
urn:cite:ptolemy:lonlat.pt_ll_2180,'ho Humēttos oros',23.8,36.96
urn:cite:ptolemy:lonlat.pt_ll_2181,'theseōs',23.44,37.44
urn:cite:ptolemy:lonlat.pt_ll_2182,'Khalkis',21.28,37.50
