SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_5839,'tou Ampsaga potamou',4.96,33.00
urn:cite:ptolemy:lonlat.pt_ll_2557,'kai',6.04,28.80
urn:cite:ptolemy:lonlat.pt_ll_2558,'Noumidikou kolpou ho mukhos',5.44,32.94
urn:cite:ptolemy:lonlat.pt_ll_2559,'Kollops megas ē Koullou',5.68,33.36
urn:cite:ptolemy:lonlat.pt_ll_2560,'Trēton akron',5.98,33.66
urn:cite:ptolemy:lonlat.pt_ll_2561,'Rhousikada',5.92,33.48
urn:cite:ptolemy:lonlat.pt_ll_2562,'Thouzikath ē Ouzikath',6.28,33.48
urn:cite:ptolemy:lonlat.pt_ll_2563,'Holkakhitēs kolpos',6.64,33.12
urn:cite:ptolemy:lonlat.pt_ll_2564,'Takatuē',6.88,33.48
urn:cite:ptolemy:lonlat.pt_ll_2565,'Kollops mikros',7.12,33.54
urn:cite:ptolemy:lonlat.pt_ll_2566,'Siour limēn',7.36,33.60
urn:cite:ptolemy:lonlat.pt_ll_2567,'Hippou akra',7.6,33.66
urn:cite:ptolemy:lonlat.pt_ll_2568,'Stoborrhon akron',7.72,33.60
urn:cite:ptolemy:lonlat.pt_ll_2569,'Aphrodision kolōnia',7.84,33.48
urn:cite:ptolemy:lonlat.pt_ll_2570,'Hippōn basilikos',7.84,33.30
urn:cite:ptolemy:lonlat.pt_ll_2571,'Rhoubrikatou potamou ekbolai',8.14,33.30
urn:cite:ptolemy:lonlat.pt_ll_2572,'Thabraka kolōnia',8.5,33.36
urn:cite:ptolemy:lonlat.pt_ll_2573,'Apollōnos hieron',8.8,33.72
urn:cite:ptolemy:lonlat.pt_ll_2574,'Poseidōnos bōmoi',9.04,33.66
urn:cite:ptolemy:lonlat.pt_ll_2575,'Hippōn diarrhutos',9.4,33.66
urn:cite:ptolemy:lonlat.pt_ll_2576,'Thinissa',9.76,33.48
urn:cite:ptolemy:lonlat.pt_ll_2577,'Apollōnos akron',10.12,34.02
urn:cite:ptolemy:lonlat.pt_ll_2578,'Itukē',10.24,33.66
urn:cite:ptolemy:lonlat.pt_ll_2579,'Kornēliou parembolē',10.24,33.48
urn:cite:ptolemy:lonlat.pt_ll_2580,'Bagrada potamou ekbolai',10.48,33.60
urn:cite:ptolemy:lonlat.pt_ll_2581,'Karkhēdōn mega astu',11.08,33.60
urn:cite:ptolemy:lonlat.pt_ll_2582,'Katada potamou ekbolai',11.08,33.48
urn:cite:ptolemy:lonlat.pt_ll_2583,'Maxoula',11.2,33.60
urn:cite:ptolemy:lonlat.pt_ll_2584,'Karpis',11.2,33.84
