SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_5957,'tas ekbolas Kurou tou potamou',43.36,42.12
urn:cite:ptolemy:lonlat.pt_ll_3681,'tēn tou Soana potamou ekbolēn',47.92,43.92
urn:cite:ptolemy:lonlat.pt_ll_3682,'Telaiba polis',47.2,43.80
urn:cite:ptolemy:lonlat.pt_ll_3683,'Gerrhou potamou ekbolai',46.84,43.56
urn:cite:ptolemy:lonlat.pt_ll_3684,'Gelda polis',45.76,43.32
urn:cite:ptolemy:lonlat.pt_ll_3685,'Kaisiou potamou ekbolai',45.4,43.20
urn:cite:ptolemy:lonlat.pt_ll_3686,'Albana polis',44.8,43.08
urn:cite:ptolemy:lonlat.pt_ll_3687,'Albanou potamou ekbolai',44.56,42.84
urn:cite:ptolemy:lonlat.pt_ll_5477,'Gaggarapolis',43.24,42.48
urn:cite:ptolemy:lonlat.pt_ll_3688,'hai tou Kurou potamou ekbolai',43.12,42.12
urn:cite:ptolemy:lonlat.pt_ll_3689,'Tagōda',41.8,43.80
urn:cite:ptolemy:lonlat.pt_ll_3690,'Bakkhia',41.44,43.32
urn:cite:ptolemy:lonlat.pt_ll_3691,'Sanoua',41.92,43.68
urn:cite:ptolemy:lonlat.pt_ll_3692,'Dēglanē',41.68,43.08
urn:cite:ptolemy:lonlat.pt_ll_3693,'Nēga',41.68,42.66
urn:cite:ptolemy:lonlat.pt_ll_3694,'Mosēga',42.88,43.92
urn:cite:ptolemy:lonlat.pt_ll_3695,'Samounis',42.88,43.68
urn:cite:ptolemy:lonlat.pt_ll_3696,'Iooula',42.16,43.44
urn:cite:ptolemy:lonlat.pt_ll_5752,'Iouna',42.88,43.20
urn:cite:ptolemy:lonlat.pt_ll_3697,'Embolaia',42.16,42.72
urn:cite:ptolemy:lonlat.pt_ll_3698,'Adiabla',42.88,42.84
urn:cite:ptolemy:lonlat.pt_ll_5753,'Abliana',42.16,42.66
urn:cite:ptolemy:lonlat.pt_ll_3699,'Mamekhia',43.42,42.96
urn:cite:ptolemy:lonlat.pt_ll_3700,'Osika',41.8,42.36
urn:cite:ptolemy:lonlat.pt_ll_3701,'Sioda',42.34,42.24
urn:cite:ptolemy:lonlat.pt_ll_3702,'Barouka',43.12,42.24
urn:cite:ptolemy:lonlat.pt_ll_5958,'hai Albaniai Pulai',43.6,43.92
urn:cite:ptolemy:lonlat.pt_ll_3703,'Khabala',43.6,43.74
urn:cite:ptolemy:lonlat.pt_ll_3704,'Khobata',43.96,43.74
urn:cite:ptolemy:lonlat.pt_ll_5478,'Boziata',43.6,43.44
urn:cite:ptolemy:lonlat.pt_ll_3705,'Misia',44.32,43.44
urn:cite:ptolemy:lonlat.pt_ll_3706,'Khadakha',44.32,43.20
urn:cite:ptolemy:lonlat.pt_ll_3707,'Alamos',45.04,43.38
urn:cite:ptolemy:lonlat.pt_ll_3708,'Thiauna',45.22,43.68
urn:cite:ptolemy:lonlat.pt_ll_3709,'Thabilaka',45.58,43.80
urn:cite:ptolemy:lonlat.pt_ll_3710,'Thilbis',46.66,43.74
urn:cite:ptolemy:lonlat.pt_ll_3711,'hōn ta metaxu epekhei moiras',49.0,42.84
