SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_43,'Noouantōn khersonēsos kai homōnumon akron',1.12,54.48
urn:cite:ptolemy:lonlat.pt_ll_44,'Rherigonios kolpos',0.76,53.88
urn:cite:ptolemy:lonlat.pt_ll_45,'Ouindogara kolpos',1.36,53.64
urn:cite:ptolemy:lonlat.pt_ll_46,'Klōta eiskhusis',2.02,52.80
urn:cite:ptolemy:lonlat.pt_ll_47,'Lemannonios kolpos',3.28,53.28
urn:cite:ptolemy:lonlat.pt_ll_48,'Epidion akron',2.56,53.76
urn:cite:ptolemy:lonlat.pt_ll_49,'Loggou potamou ekbolai',3.64,53.76
urn:cite:ptolemy:lonlat.pt_ll_50,'Itios potamou ekbolai',5.44,53.76
urn:cite:ptolemy:lonlat.pt_ll_51,'Ouolas kolpos',6.88,53.64
urn:cite:ptolemy:lonlat.pt_ll_52,'Nabarou potamou ekbolai',7.6,53.64
urn:cite:ptolemy:lonlat.pt_ll_53,'Tarouedoum hē kai Orkas akra',8.56,53.46
urn:cite:ptolemy:lonlat.pt_ll_5761,'tēn tōn Noouantōn khersonēson',0.4,54.48
urn:cite:ptolemy:lonlat.pt_ll_54,'Abraouannou potamou ekbolai',-0.08,54.00
urn:cite:ptolemy:lonlat.pt_ll_55,'Iēna eiskhusis',-0.32,53.64
urn:cite:ptolemy:lonlat.pt_ll_56,'Dēoua potamou ekbolai',-1.04,53.28
urn:cite:ptolemy:lonlat.pt_ll_57,'Noouiou potamou ekbolai',-0.8,52.92
urn:cite:ptolemy:lonlat.pt_ll_58,'Itouna eiskhusis',-0.68,52.38
urn:cite:ptolemy:lonlat.pt_ll_59,'Morikambē eiskhusis',-1.4,52.08
urn:cite:ptolemy:lonlat.pt_ll_60,'Setantiōn limēn',-1.52,51.66
urn:cite:ptolemy:lonlat.pt_ll_61,'Belisama eiskhusis',-1.4,51.36
urn:cite:ptolemy:lonlat.pt_ll_62,'Setēia eiskhusis',-1.76,51.12
urn:cite:ptolemy:lonlat.pt_ll_63,'Kaiagganōn akron',-3.2,50.40
urn:cite:ptolemy:lonlat.pt_ll_64,'Toisobios potamou ekbolai',-2.72,50.64
urn:cite:ptolemy:lonlat.pt_ll_65,'Stoukkia potamou ekbolai',-2.96,50.04
urn:cite:ptolemy:lonlat.pt_ll_66,'Touerobios potamou ekbolai',-3.2,49.68
urn:cite:ptolemy:lonlat.pt_ll_67,'Oktapitaron akron',-3.68,49.32
urn:cite:ptolemy:lonlat.pt_ll_68,'Tobiou potamou ekbolai',-2.84,49.32
urn:cite:ptolemy:lonlat.pt_ll_69,'Rhatostabiou potamou ekbolai',-2.12,49.32
urn:cite:ptolemy:lonlat.pt_ll_70,'Sabrina eiskhusis',-1.52,49.32
urn:cite:ptolemy:lonlat.pt_ll_71,'Ouxella eiskhusis',-2.48,48.60
urn:cite:ptolemy:lonlat.pt_ll_72,'Hērakleous akron',-3.92,48.06
urn:cite:ptolemy:lonlat.pt_ll_73,'Antiouestaion akron to kai Bolerion',-5.72,47.88
urn:cite:ptolemy:lonlat.pt_ll_74,'Damnonion to kai Okrion akron',-5.36,47.16
urn:cite:ptolemy:lonlat.pt_ll_75,'Keniōnos potamou ekbolai',-3.92,47.34
urn:cite:ptolemy:lonlat.pt_ll_76,'Tamarou potamou ekbolai',-2.72,47.64
urn:cite:ptolemy:lonlat.pt_ll_77,'Iska potamou ekbolai',-1.28,47.76
urn:cite:ptolemy:lonlat.pt_ll_78,'Alaunou potamou ekbolai',-1.28,48.00
urn:cite:ptolemy:lonlat.pt_ll_79,'Megas limēn',-0.32,48.24
urn:cite:ptolemy:lonlat.pt_ll_80,'Trisantōnos potamou ekbolai',0.64,48.24
urn:cite:ptolemy:lonlat.pt_ll_81,'Kainos limēn',1.12,48.60
urn:cite:ptolemy:lonlat.pt_ll_82,'Kantion akron',1.84,48.96
urn:cite:ptolemy:lonlat.pt_ll_83,'Ouirouedroum akron',8.32,53.28
urn:cite:ptolemy:lonlat.pt_ll_84,'Oueroubioum akron',7.96,53.04
urn:cite:ptolemy:lonlat.pt_ll_85,'Ila potamou ekbolai',7.6,53.04
urn:cite:ptolemy:lonlat.pt_ll_86,'Okhthē hupsēlē',6.88,53.04
urn:cite:ptolemy:lonlat.pt_ll_87,'Ouarar eiskhusis',5.44,53.04
urn:cite:ptolemy:lonlat.pt_ll_88,'Loxa potamou ekbolai',5.8,53.04
