SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_5775,'to Oiassō akrōtērion tēs Purēnēs',-3.2,42.84
urn:cite:ptolemy:lonlat.pt_ll_660,'Atourios potamou ekbolai',-1.94,42.12
urn:cite:ptolemy:lonlat.pt_ll_661,'Sigmatios potamou ekbolai',-1.76,42.72
urn:cite:ptolemy:lonlat.pt_ll_662,'Kourianon akron',-2.12,43.20
urn:cite:ptolemy:lonlat.pt_ll_663,'Garouna potamou ekbolai',-1.4,43.56
urn:cite:ptolemy:lonlat.pt_ll_664,'to metaxu tou mēkous',-1.04,42.72
urn:cite:ptolemy:lonlat.pt_ll_665,'hē pēgē tou potamou',0.04,41.94
urn:cite:ptolemy:lonlat.pt_ll_666,'Santonōn akron',-2.12,43.74
urn:cite:ptolemy:lonlat.pt_ll_667,'Kanentelou pot. ekbolai',-1.58,44.46
urn:cite:ptolemy:lonlat.pt_ll_668,'Piktonion akron',-1.76,44.64
urn:cite:ptolemy:lonlat.pt_ll_669,'Sikor limēn',-1.4,44.82
urn:cite:ptolemy:lonlat.pt_ll_670,'Ligeiros potamou ekbolai',-1.28,45.00
urn:cite:ptolemy:lonlat.pt_ll_671,'tēs pros mesēmbrian autou epistrophēs',0.4,45.00
urn:cite:ptolemy:lonlat.pt_ll_672,'tēs kephalēs autou',0.4,42.12
urn:cite:ptolemy:lonlat.pt_ll_673,'tēs Narbōnēsias merei mekhri tou pros tē Purēnē peratos',-0.5,40.80
urn:cite:ptolemy:lonlat.pt_ll_674,'Rhatiaton',-1.16,44.88
urn:cite:ptolemy:lonlat.pt_ll_675,'Limonon',-1.04,44.52
urn:cite:ptolemy:lonlat.pt_ll_676,'Mediolanion',-1.28,43.74
urn:cite:ptolemy:lonlat.pt_ll_677,'Nouiomagos',-1.28,43.38
urn:cite:ptolemy:lonlat.pt_ll_678,'Bourdigala',-1.04,42.84
urn:cite:ptolemy:lonlat.pt_ll_679,'Hudata Augousta',-1.76,42.24
urn:cite:ptolemy:lonlat.pt_ll_680,'Augoustoriton',0.16,44.46
urn:cite:ptolemy:lonlat.pt_ll_681,'Douēona',-1.04,44.10
urn:cite:ptolemy:lonlat.pt_ll_682,'Ouesouna',0.28,43.80
urn:cite:ptolemy:lonlat.pt_ll_683,'Auarikon',0.58,43.68
urn:cite:ptolemy:lonlat.pt_ll_684,'Aginnon',0.04,43.44
urn:cite:ptolemy:lonlat.pt_ll_685,'Kossion',-0.68,43.20
urn:cite:ptolemy:lonlat.pt_ll_686,'Anderēdon',0.22,42.84
urn:cite:ptolemy:lonlat.pt_ll_687,'Tasta',-0.32,42.66
urn:cite:ptolemy:lonlat.pt_ll_688,'Augousta',-1.04,42.48
urn:cite:ptolemy:lonlat.pt_ll_689,'Augoustonemeton',0.4,42.48
urn:cite:ptolemy:lonlat.pt_ll_690,'Rhouession',-1.04,42.12
urn:cite:ptolemy:lonlat.pt_ll_5659,'Segodounon',-1.22,41.88
urn:cite:ptolemy:lonlat.pt_ll_691,'Lougdounon kolōnia',-1.76,41.76
