SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_6029,'to ektetheimenon meros tou Euphratou potamou',40.9,34.08
urn:cite:ptolemy:lonlat.pt_ll_6030,'tou mukhou touMaisanitou kolpou',42.88,31.80
urn:cite:ptolemy:lonlat.pt_ll_6031,'tou Persikou kolpou',42.88,30.96
urn:cite:ptolemy:lonlat.pt_ll_6032,'to kata ton Persikon Maisanitēn kolpon diōrismenon peras',42.88,30.96
urn:cite:ptolemy:lonlat.pt_ll_4060,'Thapsakos',38.92,35.34
urn:cite:ptolemy:lonlat.pt_ll_4061,'Birtha',39.04,35.28
urn:cite:ptolemy:lonlat.pt_ll_5517,'Gadeirda',39.16,35.10
urn:cite:ptolemy:lonlat.pt_ll_4062,'Auzara',39.34,34.92
urn:cite:ptolemy:lonlat.pt_ll_4063,'Audattha',39.46,34.80
urn:cite:ptolemy:lonlat.pt_ll_4064,'Dadara',39.52,34.68
urn:cite:ptolemy:lonlat.pt_ll_5518,'Balagala',40.0,34.56
urn:cite:ptolemy:lonlat.pt_ll_4065,'Pharga',40.48,34.56
urn:cite:ptolemy:lonlat.pt_ll_4066,'Kolarina',40.36,34.32
urn:cite:ptolemy:lonlat.pt_ll_4067,'Belgunaia',40.72,34.20
urn:cite:ptolemy:lonlat.pt_ll_4068,'Ammaia',42.88,31.80
urn:cite:ptolemy:lonlat.pt_ll_4069,'Idikara',40.0,31.32
urn:cite:ptolemy:lonlat.pt_ll_5519,'Iokoura',42.88,31.14
urn:cite:ptolemy:lonlat.pt_ll_4070,'Barathēna',38.08,33.84
urn:cite:ptolemy:lonlat.pt_ll_4071,'Sauē',38.56,33.84
urn:cite:ptolemy:lonlat.pt_ll_4072,'Khokē',38.2,33.48
urn:cite:ptolemy:lonlat.pt_ll_4073,'Gauara',39.04,33.60
urn:cite:ptolemy:lonlat.pt_ll_4074,'Aurana',38.74,33.36
urn:cite:ptolemy:lonlat.pt_ll_4075,'Rhēganna',40.24,33.60
urn:cite:ptolemy:lonlat.pt_ll_4076,'Alata',38.2,33.12
urn:cite:ptolemy:lonlat.pt_ll_4077,'Eroupa',38.2,32.58
urn:cite:ptolemy:lonlat.pt_ll_5520,'Themmē',40.0,32.88
urn:cite:ptolemy:lonlat.pt_ll_4078,'Louma',40.48,32.40
urn:cite:ptolemy:lonlat.pt_ll_4079,'Thauba ē Thaua',38.38,32.04
urn:cite:ptolemy:lonlat.pt_ll_5136,'Sēouia',38.92,32.04
urn:cite:ptolemy:lonlat.pt_ll_5521,'Dapha, Daphna, Sapha',39.46,32.04
urn:cite:ptolemy:lonlat.pt_ll_4080,'Sōra',40.0,31.92
urn:cite:ptolemy:lonlat.pt_ll_4081,'Odagana',40.9,32.16
urn:cite:ptolemy:lonlat.pt_ll_4082,'Tedion',41.44,32.04
urn:cite:ptolemy:lonlat.pt_ll_5137,'Zagmais',41.08,31.80
urn:cite:ptolemy:lonlat.pt_ll_4083,'Arrhadē',41.26,31.86
urn:cite:ptolemy:lonlat.pt_ll_5522,'Obaira',37.12,31.44
urn:cite:ptolemy:lonlat.pt_ll_4084,'Artemita',38.38,31.32
urn:cite:ptolemy:lonlat.pt_ll_4085,'Banakha',38.8,31.62
urn:cite:ptolemy:lonlat.pt_ll_4086,'Doumetha ē Doumaitha',40.0,31.44
urn:cite:ptolemy:lonlat.pt_ll_4087,'Alata',40.48,31.32
urn:cite:ptolemy:lonlat.pt_ll_4088,'Berē',41.2,31.32
urn:cite:ptolemy:lonlat.pt_ll_4089,'Kalathousa ē Kalathoua',41.8,31.32
urn:cite:ptolemy:lonlat.pt_ll_4090,'Salma',42.4,31.32
