SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_4300,'Onnē',33.52,30.60
urn:cite:ptolemy:lonlat.pt_ll_4301,'Modiana ē Modouna',34.0,30.06
urn:cite:ptolemy:lonlat.pt_ll_4302,'Hippos oros',34.12,29.76
urn:cite:ptolemy:lonlat.pt_ll_4303,'Hippos kōmē',34.24,29.04
urn:cite:ptolemy:lonlat.pt_ll_5551,'Phoinikōn kōmē',34.48,29.04
urn:cite:ptolemy:lonlat.pt_ll_4304,'Rhaunathou kōmē',34.42,28.32
urn:cite:ptolemy:lonlat.pt_ll_4305,'Khersonnēsos akra',34.24,28.32
urn:cite:ptolemy:lonlat.pt_ll_4306,'Iambia kōmē',35.32,26.88
urn:cite:ptolemy:lonlat.pt_ll_4307,'Kopar kōmē',35.32,26.82
urn:cite:ptolemy:lonlat.pt_ll_4308,'Arga kōmē',35.68,26.40
urn:cite:ptolemy:lonlat.pt_ll_4309,'Zabram Basileion',35.92,25.92
urn:cite:ptolemy:lonlat.pt_ll_4310,'Kentos kōmē',35.92,25.56
urn:cite:ptolemy:lonlat.pt_ll_4311,'Thēbai polis',36.16,25.20
urn:cite:ptolemy:lonlat.pt_ll_4312,'Baitiou potamou ekbolai',36.04,24.96
urn:cite:ptolemy:lonlat.pt_ll_4313,'hai pēgai tou potamou',40.72,27.72
urn:cite:ptolemy:lonlat.pt_ll_4314,'Badeō Basileion',36.4,24.66
urn:cite:ptolemy:lonlat.pt_ll_4315,'Ambē polis',36.88,24.12
urn:cite:ptolemy:lonlat.pt_ll_4316,'Mamala kōmē',37.66,23.16
urn:cite:ptolemy:lonlat.pt_ll_4317,'Adēdou kōmē',38.02,22.44
urn:cite:ptolemy:lonlat.pt_ll_4318,'Poudnou polis',38.2,21.96
urn:cite:ptolemy:lonlat.pt_ll_4319,'Ailou kōmē',38.92,21.24
urn:cite:ptolemy:lonlat.pt_ll_4320,'Napēgous kōmē',38.68,20.88
urn:cite:ptolemy:lonlat.pt_ll_4321,'Sakatia polis',39.46,20.28
urn:cite:ptolemy:lonlat.pt_ll_4322,'Mouza emporion',39.64,20.16
urn:cite:ptolemy:lonlat.pt_ll_4323,'Sōsippou limēn',39.82,19.44
urn:cite:ptolemy:lonlat.pt_ll_4324,'Pseudokēlis',40.0,19.08
urn:cite:ptolemy:lonlat.pt_ll_4325,'Okēlis emporion',40.0,18.72
urn:cite:ptolemy:lonlat.pt_ll_4326,'Palindromos akra',39.64,18.48
urn:cite:ptolemy:lonlat.pt_ll_4327,'Poseidion akron',40.0,18.36
urn:cite:ptolemy:lonlat.pt_ll_4328,'Sanina polis',40.36,18.54
urn:cite:ptolemy:lonlat.pt_ll_4329,'Kaboubathra oros',40.9,18.18
urn:cite:ptolemy:lonlat.pt_ll_4330,'Madokē polis',41.44,18.54
urn:cite:ptolemy:lonlat.pt_ll_4331,'Mardakhē polis',42.16,18.54
urn:cite:ptolemy:lonlat.pt_ll_4332,'Lees kōmē',42.64,18.36
urn:cite:ptolemy:lonlat.pt_ll_4333,'Ammōniou akrōtērion',43.12,18.36
urn:cite:ptolemy:lonlat.pt_ll_4334,'Arabias emporion',43.6,18.36
urn:cite:ptolemy:lonlat.pt_ll_4335,'Atmanisphē kōmē',44.08,18.54
urn:cite:ptolemy:lonlat.pt_ll_4336,'Melan oros',44.68,18.36
urn:cite:ptolemy:lonlat.pt_ll_4337,'Ēbisma polis',45.04,18.54
urn:cite:ptolemy:lonlat.pt_ll_4338,'Megas Aigialos',45.4,18.36
urn:cite:ptolemy:lonlat.pt_ll_4339,'Mada kōmē',45.76,18.36
urn:cite:ptolemy:lonlat.pt_ll_4340,'Eristhē polis',46.12,18.54
urn:cite:ptolemy:lonlat.pt_ll_4341,'Mikros Aigialos',46.24,18.36
urn:cite:ptolemy:lonlat.pt_ll_4342,'Kanē emporion kai akron',46.48,19.08
urn:cite:ptolemy:lonlat.pt_ll_4343,'Troulla limēn',46.48,18.96
urn:cite:ptolemy:lonlat.pt_ll_5552,'Maithath kōmē',46.72,19.44
urn:cite:ptolemy:lonlat.pt_ll_4344,'Priōnoton oros',46.96,19.44
urn:cite:ptolemy:lonlat.pt_ll_4345,'Priōnos potamou ekbolai',47.2,19.80
urn:cite:ptolemy:lonlat.pt_ll_4346,'hai pēgai tou potamou',45.04,22.68
urn:cite:ptolemy:lonlat.pt_ll_4347,'Embolōn kōmē',47.56,19.80
urn:cite:ptolemy:lonlat.pt_ll_4348,'Trētos limēn',48.16,19.98
urn:cite:ptolemy:lonlat.pt_ll_4349,'Thiallēla kōmē',48.64,20.16
urn:cite:ptolemy:lonlat.pt_ll_4350,'Moskha limēn',49.72,20.16
urn:cite:ptolemy:lonlat.pt_ll_4351,'Suagros akra',50.8,20.16
urn:cite:ptolemy:lonlat.pt_ll_4352,'Metakon kōmē',49.36,21.96
urn:cite:ptolemy:lonlat.pt_ll_4353,'Ausara polis',48.88,22.14
urn:cite:ptolemy:lonlat.pt_ll_4354,'Aggē kōmē',49.0,22.68
urn:cite:ptolemy:lonlat.pt_ll_4355,'Astoa kōmē',49.72,23.40
urn:cite:ptolemy:lonlat.pt_ll_4356,'Neogilla Epineion',50.08,23.76
urn:cite:ptolemy:lonlat.pt_ll_4357,'Hormanou potamou ekbolai',50.08,24.12
urn:cite:ptolemy:lonlat.pt_ll_4358,'Diduma orē',50.98,24.00
urn:cite:ptolemy:lonlat.pt_ll_4359,'Kōsara ē Kōseudē polis',51.52,24.48
urn:cite:ptolemy:lonlat.pt_ll_4360,'manteion Artemidos',52.0,24.48
urn:cite:ptolemy:lonlat.pt_ll_4361,'Abissa polis',52.48,24.66
urn:cite:ptolemy:lonlat.pt_ll_4362,'Korodabon akron',52.96,24.66
