SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_6203,'peratos',71.68,30.24
urn:cite:ptolemy:lonlat.pt_ll_6204,'potamos apo tou Indou ektrepomenos',68.08,33.48
urn:cite:ptolemy:lonlat.pt_ll_6205,'hē de ektropē',73.48,29.88
urn:cite:ptolemy:lonlat.pt_ll_6206,'Arakhōtos krēnē',68.8,30.72
urn:cite:ptolemy:lonlat.pt_ll_6207,'Ozola',68.26,33.30
urn:cite:ptolemy:lonlat.pt_ll_4654,'Phōklis',71.14,33.24
urn:cite:ptolemy:lonlat.pt_ll_4655,'Arikaka',67.36,32.64
urn:cite:ptolemy:lonlat.pt_ll_4656,'Alexandreia',68.08,32.64
urn:cite:ptolemy:lonlat.pt_ll_4657,'Rhizana',68.8,32.76
urn:cite:ptolemy:lonlat.pt_ll_4658,'Arbaka',70.96,32.64
urn:cite:ptolemy:lonlat.pt_ll_4659,'Sigara',67.54,31.68
urn:cite:ptolemy:lonlat.pt_ll_4660,'Khoaspa',68.98,31.80
urn:cite:ptolemy:lonlat.pt_ll_5601,'Arakhōtos',70.96,31.92
urn:cite:ptolemy:lonlat.pt_ll_4661,'Asiakē',66.88,31.20
urn:cite:ptolemy:lonlat.pt_ll_4662,'Gammakē',69.76,31.20
urn:cite:ptolemy:lonlat.pt_ll_4663,'Malianē',70.96,31.20
urn:cite:ptolemy:lonlat.pt_ll_4664,'Dammana',67.36,30.48
