SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_6191,'peratos',65.92,34.56
urn:cite:ptolemy:lonlat.pt_ll_6192,'hē de tēs kurtotētos tou orous thesis',61.6,33.12
urn:cite:ptolemy:lonlat.pt_ll_6193,'thesis kata tria sēmeia notion',65.92,36.00
urn:cite:ptolemy:lonlat.pt_ll_6194,'boreion',66.28,38.16
urn:cite:ptolemy:lonlat.pt_ll_6195,'to anatolikōtaton',72.04,38.16
urn:cite:ptolemy:lonlat.pt_ll_6196,'Areias',65.92,37.62
urn:cite:ptolemy:lonlat.pt_ll_6197,'hai de pros tois Sariphois',70.96,34.08
urn:cite:ptolemy:lonlat.pt_ll_6198,'Areia',64.24,36.00
urn:cite:ptolemy:lonlat.pt_ll_4598,'Dista',59.8,37.62
urn:cite:ptolemy:lonlat.pt_ll_4599,'Nabaris',62.08,37.68
urn:cite:ptolemy:lonlat.pt_ll_4600,'Taua',64.48,37.98
urn:cite:ptolemy:lonlat.pt_ll_4601,'Augara',59.44,37.44
urn:cite:ptolemy:lonlat.pt_ll_4602,'Bitaxa',60.64,37.44
urn:cite:ptolemy:lonlat.pt_ll_4603,'Sarmagana',61.84,37.56
urn:cite:ptolemy:lonlat.pt_ll_4604,'Sipharē',63.22,37.62
urn:cite:ptolemy:lonlat.pt_ll_4605,'Rhaugara',64.84,37.56
urn:cite:ptolemy:lonlat.pt_ll_5595,'Zamoukhana',59.44,36.72
urn:cite:ptolemy:lonlat.pt_ll_4606,'Ambrōdax',60.52,37.08
urn:cite:ptolemy:lonlat.pt_ll_4607,'Bogadia',61.06,37.20
urn:cite:ptolemy:lonlat.pt_ll_4608,'Ouarpna',61.96,36.72
urn:cite:ptolemy:lonlat.pt_ll_4609,'Godana',65.56,37.08
urn:cite:ptolemy:lonlat.pt_ll_4610,'Phoraua',65.2,36.72
urn:cite:ptolemy:lonlat.pt_ll_4611,'Khatriskhē',60.16,36.24
urn:cite:ptolemy:lonlat.pt_ll_4612,'Khaurina',60.88,36.24
urn:cite:ptolemy:lonlat.pt_ll_5596,'Orthiana',61.78,36.24
urn:cite:ptolemy:lonlat.pt_ll_4613,'Taukiana',62.44,36.00
urn:cite:ptolemy:lonlat.pt_ll_4614,'Astauda',63.52,36.00
urn:cite:ptolemy:lonlat.pt_ll_4615,'Artikaudna',64.72,36.12
urn:cite:ptolemy:lonlat.pt_ll_4616,'Alexandreia en Areiois',65.2,36.00
urn:cite:ptolemy:lonlat.pt_ll_4617,'Babarsana ē Kabarsana',60.4,35.52
urn:cite:ptolemy:lonlat.pt_ll_4618,'Kapoutana',61.24,35.64
urn:cite:ptolemy:lonlat.pt_ll_5597,'Areia polis',61.6,35.28
urn:cite:ptolemy:lonlat.pt_ll_4619,'Kaskē',101.44,35.52
urn:cite:ptolemy:lonlat.pt_ll_4620,'Sōteira',64.24,35.64
urn:cite:ptolemy:lonlat.pt_ll_4621,'Ortikanē',64.72,35.64
urn:cite:ptolemy:lonlat.pt_ll_4622,'Nisibis',65.92,35.52
urn:cite:ptolemy:lonlat.pt_ll_4623,'Parakanakē',61.96,34.80
urn:cite:ptolemy:lonlat.pt_ll_4624,'Sariga',62.8,35.04
urn:cite:ptolemy:lonlat.pt_ll_5598,'Darkama',65.92,34.80
urn:cite:ptolemy:lonlat.pt_ll_4625,'Kotakē',63.4,34.32
urn:cite:ptolemy:lonlat.pt_ll_4626,'Tribazina',62.32,33.84
urn:cite:ptolemy:lonlat.pt_ll_4627,'Astasana',61.6,33.84
urn:cite:ptolemy:lonlat.pt_ll_4628,'Zimura',59.8,34.02
