SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_5959,'peratos',43.42,41.28
urn:cite:ptolemy:lonlat.pt_ll_5960,'Araxou potamou ekbolai',43.42,41.64
urn:cite:ptolemy:lonlat.pt_ll_5961,'to Kaspion oros',42.88,40.68
urn:cite:ptolemy:lonlat.pt_ll_5962,'kai',43.6,38.52
urn:cite:ptolemy:lonlat.pt_ll_5963,'thesin',37.48,37.44
urn:cite:ptolemy:lonlat.pt_ll_5964,'tō de Tigridi potamō',40.36,37.80
urn:cite:ptolemy:lonlat.pt_ll_5965,'ho Paruardēs',40.0,41.28
urn:cite:ptolemy:lonlat.pt_ll_5966,'kai',41.44,40.32
urn:cite:ptolemy:lonlat.pt_ll_5967,'Oudakespēs oros',42.52,38.88
urn:cite:ptolemy:lonlat.pt_ll_5968,'tou Antitaurou to entos tou Eu- phratou',37.84,40.08
urn:cite:ptolemy:lonlat.pt_ll_5969,'ho kaloumenos Abos oros',41.44,39.60
urn:cite:ptolemy:lonlat.pt_ll_5970,'ta Gorduaia orē',40.0,38.64
urn:cite:ptolemy:lonlat.pt_ll_5971,'tēs Hurkanias thalassēs',43.42,41.64
urn:cite:ptolemy:lonlat.pt_ll_5972,'tas de pēgas',41.08,40.68
urn:cite:ptolemy:lonlat.pt_ll_5973,'tō Kurō potamō',42.52,42.12
urn:cite:ptolemy:lonlat.pt_ll_5974,'tōn pēgōn',40.48,40.80
urn:cite:ptolemy:lonlat.pt_ll_5975,'to men sunapton tō Euphratē potamō',37.48,39.24
urn:cite:ptolemy:lonlat.pt_ll_5976,'to de kata tas pēgas tourouperas',41.44,39.60
urn:cite:ptolemy:lonlat.pt_ll_5977,'tōn pēgōn autou tou Tigridos',39.76,38.64
urn:cite:ptolemy:lonlat.pt_ll_5978,'hē te kaloumenē Lukhnitis',42.16,41.22
urn:cite:ptolemy:lonlat.pt_ll_5979,'hē Areēsa',42.52,39.42
urn:cite:ptolemy:lonlat.pt_ll_3712,'Sala',38.92,42.00
urn:cite:ptolemy:lonlat.pt_ll_3713,'Askoura',39.28,41.88
urn:cite:ptolemy:lonlat.pt_ll_3714,'Baraza',40.24,41.88
urn:cite:ptolemy:lonlat.pt_ll_3715,'Lala',40.84,41.76
urn:cite:ptolemy:lonlat.pt_ll_3716,'Santouta',41.68,42.00
urn:cite:ptolemy:lonlat.pt_ll_3717,'Sataphara',42.16,42.00
urn:cite:ptolemy:lonlat.pt_ll_5479,'Tōga',42.76,41.76
urn:cite:ptolemy:lonlat.pt_ll_3718,'Ouaroutha ē Ouathoura',38.56,41.04
urn:cite:ptolemy:lonlat.pt_ll_3719,'Azata',38.74,41.22
urn:cite:ptolemy:lonlat.pt_ll_5480,'Kholoua',39.28,41.16
urn:cite:ptolemy:lonlat.pt_ll_3720,'Sēdala',39.76,41.58
urn:cite:ptolemy:lonlat.pt_ll_3721,'Sourta',39.64,41.52
urn:cite:ptolemy:lonlat.pt_ll_3722,'Tatina ē Tastina',39.76,41.04
urn:cite:ptolemy:lonlat.pt_ll_3723,'Kozala ē Kozola',40.24,41.40
urn:cite:ptolemy:lonlat.pt_ll_3724,'Kotomana',40.54,41.52
urn:cite:ptolemy:lonlat.pt_ll_3725,'Batinna',40.84,41.52
urn:cite:ptolemy:lonlat.pt_ll_3726,'Dizaka',41.32,41.16
urn:cite:ptolemy:lonlat.pt_ll_3727,'Ptoua',41.44,41.58
urn:cite:ptolemy:lonlat.pt_ll_3728,'Glisma',42.4,41.52
urn:cite:ptolemy:lonlat.pt_ll_3729,'Kholouata',42.7,41.28
urn:cite:ptolemy:lonlat.pt_ll_3730,'Sakalbina',43.36,41.22
urn:cite:ptolemy:lonlat.pt_ll_3731,'Arsarata',43.24,41.40
urn:cite:ptolemy:lonlat.pt_ll_3732,'Brepos',38.02,40.86
urn:cite:ptolemy:lonlat.pt_ll_3733,'Ēlegia',38.8,40.86
urn:cite:ptolemy:lonlat.pt_ll_3734,'Khasira',39.28,40.80
urn:cite:ptolemy:lonlat.pt_ll_3735,'Khorsa',39.76,40.92
urn:cite:ptolemy:lonlat.pt_ll_3736,'Thalina',40.24,40.86
urn:cite:ptolemy:lonlat.pt_ll_3737,'Armaouria',41.2,41.58
urn:cite:ptolemy:lonlat.pt_ll_3738,'Artaxata',42.16,40.80
urn:cite:ptolemy:lonlat.pt_ll_3739,'Naxouana',42.76,40.86
urn:cite:ptolemy:lonlat.pt_ll_5980,'Athoua',39.64,40.68
urn:cite:ptolemy:lonlat.pt_ll_3740,'Tinissa',38.68,40.44
urn:cite:ptolemy:lonlat.pt_ll_3741,'Zōriga',37.48,40.32
urn:cite:ptolemy:lonlat.pt_ll_3742,'Sana',39.16,40.32
urn:cite:ptolemy:lonlat.pt_ll_3743,'Brizaka',39.88,40.68
urn:cite:ptolemy:lonlat.pt_ll_3744,'Daranissa',40.72,40.56
urn:cite:ptolemy:lonlat.pt_ll_5481,'Zogokara',41.62,40.56
urn:cite:ptolemy:lonlat.pt_ll_5482,'Koubina',42.52,40.56
urn:cite:ptolemy:lonlat.pt_ll_3745,'Kodana',37.48,40.08
urn:cite:ptolemy:lonlat.pt_ll_5483,'Kakhoura',37.84,39.96
urn:cite:ptolemy:lonlat.pt_ll_3746,'Kholoua',38.92,39.60
urn:cite:ptolemy:lonlat.pt_ll_3747,'Sogokara',39.28,39.60
urn:cite:ptolemy:lonlat.pt_ll_3748,'Phausua',39.46,40.14
urn:cite:ptolemy:lonlat.pt_ll_3749,'Phandalia',39.88,39.96
urn:cite:ptolemy:lonlat.pt_ll_3750,'Zarouana',40.48,40.14
urn:cite:ptolemy:lonlat.pt_ll_3751,'Kitamon',40.84,39.96
urn:cite:ptolemy:lonlat.pt_ll_5754,'Anarion',40.84,39.72
urn:cite:ptolemy:lonlat.pt_ll_3752,'Sigoua',41.44,39.60
urn:cite:ptolemy:lonlat.pt_ll_3753,'Teroua',42.16,40.20
urn:cite:ptolemy:lonlat.pt_ll_3754,'Zourzou[r]a ē Zourgoua',42.52,40.08
urn:cite:ptolemy:lonlat.pt_ll_3755,'Matoustana',42.16,40.08
urn:cite:ptolemy:lonlat.pt_ll_5484,'Astakana',42.16,39.60
urn:cite:ptolemy:lonlat.pt_ll_3756,'Tareina',38.08,39.60
