SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_3508,'Sinibra',37.12,40.68
urn:cite:ptolemy:lonlat.pt_ll_3509,'Aziris',37.12,40.32
urn:cite:ptolemy:lonlat.pt_ll_3510,'Ladana',37.12,40.08
urn:cite:ptolemy:lonlat.pt_ll_3511,'Sismara',37.48,39.90
urn:cite:ptolemy:lonlat.pt_ll_3512,'Zimara',37.48,39.36
urn:cite:ptolemy:lonlat.pt_ll_3513,'Daskousa',37.12,39.18
urn:cite:ptolemy:lonlat.pt_ll_3514,'Satala',36.04,40.44
urn:cite:ptolemy:lonlat.pt_ll_3515,'Domana',36.4,40.38
urn:cite:ptolemy:lonlat.pt_ll_3516,'Tapoura',36.76,40.44
urn:cite:ptolemy:lonlat.pt_ll_3517,'Nikopolis',35.68,40.08
urn:cite:ptolemy:lonlat.pt_ll_5455,'Khorsabia',35.68,40.14
urn:cite:ptolemy:lonlat.pt_ll_3518,'Kharax',36.76,40.14
urn:cite:ptolemy:lonlat.pt_ll_3519,'Dagōna',35.44,39.84
urn:cite:ptolemy:lonlat.pt_ll_3520,'Seleoberrhoia',36.04,39.60
urn:cite:ptolemy:lonlat.pt_ll_3521,'Kaltiorissa',36.28,39.78
urn:cite:ptolemy:lonlat.pt_ll_5456,'Analibla',36.64,39.60
urn:cite:ptolemy:lonlat.pt_ll_3522,'Pisiggara ē Pinsigara',35.32,39.54
urn:cite:ptolemy:lonlat.pt_ll_3523,'Godasa',35.68,39.42
urn:cite:ptolemy:lonlat.pt_ll_3524,'Eudoixata',35.14,39.18
urn:cite:ptolemy:lonlat.pt_ll_3525,'Karapē',36.64,39.48
urn:cite:ptolemy:lonlat.pt_ll_3526,'Masora',36.76,39.36
urn:cite:ptolemy:lonlat.pt_ll_5457,'Oromandos',36.16,39.24
urn:cite:ptolemy:lonlat.pt_ll_5458,'Ispa',36.76,39.12
urn:cite:ptolemy:lonlat.pt_ll_3527,'Phouphēna',35.68,39.06
urn:cite:ptolemy:lonlat.pt_ll_3528,'Aranē',36.22,39.00
urn:cite:ptolemy:lonlat.pt_ll_3529,'Phouphatēna',35.44,38.76
urn:cite:ptolemy:lonlat.pt_ll_3530,'Mardara',35.74,38.70
urn:cite:ptolemy:lonlat.pt_ll_3531,'Ouarsapa',34.84,38.52
urn:cite:ptolemy:lonlat.pt_ll_5459,'Orsa',35.56,38.52
urn:cite:ptolemy:lonlat.pt_ll_3532,'Dagousa',37.12,38.94
urn:cite:ptolemy:lonlat.pt_ll_3533,'Sinis kolōnia',37.12,38.70
urn:cite:ptolemy:lonlat.pt_ll_3534,'Melitēnē',37.12,38.52
urn:cite:ptolemy:lonlat.pt_ll_3535,'Zōparistos',36.4,38.88
urn:cite:ptolemy:lonlat.pt_ll_3536,'Titarissos',36.22,38.70
urn:cite:ptolemy:lonlat.pt_ll_3537,'Kianika',35.92,38.52
urn:cite:ptolemy:lonlat.pt_ll_3538,'Phousipara',36.76,38.64
urn:cite:ptolemy:lonlat.pt_ll_3539,'Eusimara',36.52,38.52
urn:cite:ptolemy:lonlat.pt_ll_3540,'Iassos',35.68,38.34
urn:cite:ptolemy:lonlat.pt_ll_3541,'Kiakis',36.04,38.34
urn:cite:ptolemy:lonlat.pt_ll_3542,'Leugaisa',36.58,38.28
urn:cite:ptolemy:lonlat.pt_ll_3543,'Karmala',36.88,38.40
urn:cite:ptolemy:lonlat.pt_ll_3544,'Sēmisos',36.76,38.16
urn:cite:ptolemy:lonlat.pt_ll_3545,'Ladoineris',36.04,38.04
urn:cite:ptolemy:lonlat.pt_ll_3546,'Kabassos',34.42,37.86
urn:cite:ptolemy:lonlat.pt_ll_3547,'Tunna',34.12,37.80
urn:cite:ptolemy:lonlat.pt_ll_3548,'Tirallis',34.24,37.68
urn:cite:ptolemy:lonlat.pt_ll_3549,'Kubistra',33.52,37.62
urn:cite:ptolemy:lonlat.pt_ll_3550,'Klaudiopolis',33.28,37.32
urn:cite:ptolemy:lonlat.pt_ll_3551,'Dalisandos',33.76,37.32
urn:cite:ptolemy:lonlat.pt_ll_3552,'Paduandos',34.24,37.44
urn:cite:ptolemy:lonlat.pt_ll_5460,'Komana Kappadokias',34.96,37.44
urn:cite:ptolemy:lonlat.pt_ll_3553,'Mopsou Krēnē',34.48,37.26
urn:cite:ptolemy:lonlat.pt_ll_3554,'Tanadaris',35.2,37.26
urn:cite:ptolemy:lonlat.pt_ll_3555,'Leandis',35.44,37.20
urn:cite:ptolemy:lonlat.pt_ll_3556,'Sindita',34.6,38.28
urn:cite:ptolemy:lonlat.pt_ll_3557,'Kotaina',35.14,38.28
urn:cite:ptolemy:lonlat.pt_ll_3558,'Zoropassos',35.44,38.16
urn:cite:ptolemy:lonlat.pt_ll_3559,'Nussa',35.2,37.92
urn:cite:ptolemy:lonlat.pt_ll_3560,'Arasaxa',34.6,37.80
urn:cite:ptolemy:lonlat.pt_ll_3561,'Karnalis',35.02,37.50
urn:cite:ptolemy:lonlat.pt_ll_3562,'Garnakē',35.08,37.68
urn:cite:ptolemy:lonlat.pt_ll_3563,'Kornē',37.12,38.34
urn:cite:ptolemy:lonlat.pt_ll_3564,'Meteita',37.12,38.16
urn:cite:ptolemy:lonlat.pt_ll_3565,'Klaudias',37.12,37.98
urn:cite:ptolemy:lonlat.pt_ll_3566,'Kaparkelis',36.76,38.16
urn:cite:ptolemy:lonlat.pt_ll_3567,'Zizoatra',36.4,37.62
urn:cite:ptolemy:lonlat.pt_ll_3568,'Pasarnē',36.76,37.80
urn:cite:ptolemy:lonlat.pt_ll_3569,'Kizara',35.92,37.80
urn:cite:ptolemy:lonlat.pt_ll_5461,'Sabagēna',35.56,37.56
urn:cite:ptolemy:lonlat.pt_ll_5462,'Nosalēnē',35.8,37.68
urn:cite:ptolemy:lonlat.pt_ll_3570,'Laustasa',35.92,37.32
urn:cite:ptolemy:lonlat.pt_ll_3571,'Iouliopolis',37.12,37.74
urn:cite:ptolemy:lonlat.pt_ll_3572,'Barzalō',37.12,37.56
urn:cite:ptolemy:lonlat.pt_ll_3573,'Serasterē',36.88,37.62
urn:cite:ptolemy:lonlat.pt_ll_3574,'Lakriassos',36.58,37.56
urn:cite:ptolemy:lonlat.pt_ll_3575,'Enteleia',36.4,37.26
urn:cite:ptolemy:lonlat.pt_ll_3576,'Adattha',36.04,37.08
