SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_3110,'Kuzikos',26.32,39.96
urn:cite:ptolemy:lonlat.pt_ll_3111,'Aisēpou potamou ekbolai',26.32,39.84
urn:cite:ptolemy:lonlat.pt_ll_3112,'Parion',26.32,39.72
urn:cite:ptolemy:lonlat.pt_ll_3113,'Grēniou ē Grēnikou potamou ekbolai',25.72,39.96
urn:cite:ptolemy:lonlat.pt_ll_3114,'Lampsakos',25.6,39.90
urn:cite:ptolemy:lonlat.pt_ll_5399,'Abudos',25.72,39.78
urn:cite:ptolemy:lonlat.pt_ll_3115,'Simoentos potamou ekbolai',25.84,39.72
urn:cite:ptolemy:lonlat.pt_ll_3116,'Dardanon',25.78,39.66
urn:cite:ptolemy:lonlat.pt_ll_5400,'Skamandrou potamou ekbolai',25.78,39.60
urn:cite:ptolemy:lonlat.pt_ll_3117,'Sigeion akron',25.72,39.60
urn:cite:ptolemy:lonlat.pt_ll_3118,'Alexandreia Trōas',25.9,41.52
urn:cite:ptolemy:lonlat.pt_ll_3119,'Lekton akron',26.08,39.18
urn:cite:ptolemy:lonlat.pt_ll_3120,'Asson',26.32,39.84
urn:cite:ptolemy:lonlat.pt_ll_5402,'Iarganon',26.44,39.12
urn:cite:ptolemy:lonlat.pt_ll_3121,'Palaiskēpsis',26.5,39.24
urn:cite:ptolemy:lonlat.pt_ll_3122,'Antandros',26.68,39.12
urn:cite:ptolemy:lonlat.pt_ll_3123,'Adramuttion',26.68,38.88
urn:cite:ptolemy:lonlat.pt_ll_3124,'Poroselēnē',26.44,38.70
urn:cite:ptolemy:lonlat.pt_ll_5116,'Kaikou potamou ekbolai',26.68,38.28
urn:cite:ptolemy:lonlat.pt_ll_3125,'hai pēgai tou potamou',27.76,39.24
urn:cite:ptolemy:lonlat.pt_ll_5403,'Kainē akra',26.44,38.34
urn:cite:ptolemy:lonlat.pt_ll_3126,'Pitanē',26.68,38.34
urn:cite:ptolemy:lonlat.pt_ll_3127,'Elaia',27.04,38.22
urn:cite:ptolemy:lonlat.pt_ll_3128,'Murina',27.22,38.34
urn:cite:ptolemy:lonlat.pt_ll_3129,'Hudra akra',27.4,38.22
urn:cite:ptolemy:lonlat.pt_ll_3130,'Kumē',27.52,38.16
urn:cite:ptolemy:lonlat.pt_ll_3131,'Phōkaia',27.28,38.04
urn:cite:ptolemy:lonlat.pt_ll_3132,'Hermou potamou ekbolai',27.4,37.98
urn:cite:ptolemy:lonlat.pt_ll_3133,'hē sunaphē autou kai tou Paktōlou',28.12,38.40
urn:cite:ptolemy:lonlat.pt_ll_5404,'hai pēgai tou Hermou potamou',29.2,38.88
urn:cite:ptolemy:lonlat.pt_ll_5405,'hai pēgai tou Paktōlou',28.48,38.16
urn:cite:ptolemy:lonlat.pt_ll_3134,'Smurna',27.34,37.86
urn:cite:ptolemy:lonlat.pt_ll_3135,'Klazomenai',27.04,37.86
urn:cite:ptolemy:lonlat.pt_ll_3136,'Argenon akron',26.68,37.98
urn:cite:ptolemy:lonlat.pt_ll_3137,'Eruthrai',26.8,37.74
urn:cite:ptolemy:lonlat.pt_ll_3138,'Teōs',27.16,37.68
urn:cite:ptolemy:lonlat.pt_ll_3139,'Lebedos',27.4,37.86
urn:cite:ptolemy:lonlat.pt_ll_3140,'Kolophōn',27.52,37.56
urn:cite:ptolemy:lonlat.pt_ll_3141,'Kaustrou potamou ekbolai',27.52,37.32
urn:cite:ptolemy:lonlat.pt_ll_5740,'hai pēgai tou potamou',29.38,38.40
urn:cite:ptolemy:lonlat.pt_ll_5406,'Ephesos',27.52,37.20
urn:cite:ptolemy:lonlat.pt_ll_3142,'Trōggulion akron',27.16,37.20
urn:cite:ptolemy:lonlat.pt_ll_3143,'Maiandrou potamou ekbolai',27.52,37.08
urn:cite:ptolemy:lonlat.pt_ll_5741,'hē sunaphē tou Lukou pros auton',28.48,37.92
urn:cite:ptolemy:lonlat.pt_ll_3144,'hai pēgai tou Maiandrou',31.0,38.52
urn:cite:ptolemy:lonlat.pt_ll_3145,'hai pēgai tou Lukou',29.2,37.26
urn:cite:ptolemy:lonlat.pt_ll_3146,'Purrha',27.64,37.02
urn:cite:ptolemy:lonlat.pt_ll_5407,'Hērakleia pros Latmō',27.4,36.84
urn:cite:ptolemy:lonlat.pt_ll_3147,'Milētos',27.76,36.72
urn:cite:ptolemy:lonlat.pt_ll_3148,'Iassos',27.4,36.60
urn:cite:ptolemy:lonlat.pt_ll_3149,'Bargulia',27.64,36.48
urn:cite:ptolemy:lonlat.pt_ll_3150,'Mundos',27.52,36.30
urn:cite:ptolemy:lonlat.pt_ll_3151,'Skopia akra',27.28,36.30
urn:cite:ptolemy:lonlat.pt_ll_3152,'Halikarnassos',27.64,36.12
urn:cite:ptolemy:lonlat.pt_ll_3153,'Keramos',27.04,36.00
urn:cite:ptolemy:lonlat.pt_ll_3154,'Knidos polis kai akron',26.5,36.00
urn:cite:ptolemy:lonlat.pt_ll_3155,'Onou gnathos akra',26.8,35.64
urn:cite:ptolemy:lonlat.pt_ll_5742,'Lōruma',27.28,35.70
urn:cite:ptolemy:lonlat.pt_ll_3156,'Krēssō limēn',27.52,35.88
urn:cite:ptolemy:lonlat.pt_ll_3157,'Phoinix khōrion',27.76,36.12
urn:cite:ptolemy:lonlat.pt_ll_3158,'Phouska',27.94,36.12
urn:cite:ptolemy:lonlat.pt_ll_3159,'Kalbios potamou ekbolai',28.3,36.06
urn:cite:ptolemy:lonlat.pt_ll_3160,'Kaunos',28.6,36.00
urn:cite:ptolemy:lonlat.pt_ll_5911,'tou epekhontos',28.84,37.32
urn:cite:ptolemy:lonlat.pt_ll_5912,'kata Miluada polin mekhri peratos',29.92,37.32
urn:cite:ptolemy:lonlat.pt_ll_5913,'tou epekhontos',30.16,37.80
urn:cite:ptolemy:lonlat.pt_ll_5914,'hē thesis tēs kurtotētos',30.82,38.34
urn:cite:ptolemy:lonlat.pt_ll_3161,'hē te Idē oros',26.32,39.60
urn:cite:ptolemy:lonlat.pt_ll_3162,'to Kimaion ē Kimōn oros',26.32,39.36
urn:cite:ptolemy:lonlat.pt_ll_5743,'to Tēmnon oros',27.52,39.24
urn:cite:ptolemy:lonlat.pt_ll_3163,'Didumou ta dutika',29.92,39.36
urn:cite:ptolemy:lonlat.pt_ll_3164,'tou Didumou ta anatolika',30.64,39.84
urn:cite:ptolemy:lonlat.pt_ll_3165,'ho Sipulos oros',28.48,38.52
urn:cite:ptolemy:lonlat.pt_ll_3166,'ho Tmōlos oros',27.76,37.80
urn:cite:ptolemy:lonlat.pt_ll_5408,'hē Misētis_oros',28.24,37.92
urn:cite:ptolemy:lonlat.pt_ll_3167,'hē Mukalē oros',27.76,37.20
urn:cite:ptolemy:lonlat.pt_ll_3168,'ho Kadmos oros',28.96,37.20
urn:cite:ptolemy:lonlat.pt_ll_3169,'ho Mimas oros',27.4,52.20
urn:cite:ptolemy:lonlat.pt_ll_3170,'ho Phoinix oros',27.76,36.36
urn:cite:ptolemy:lonlat.pt_ll_3171,'Skēpsis',26.32,39.60
urn:cite:ptolemy:lonlat.pt_ll_5744,'Hiera Germē',26.68,39.78
