SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_6033,'tōn eis ton Persikon kolpon ekbolōn',43.96,32.40
urn:cite:ptolemy:lonlat.pt_ll_6034,'ho kaloumenos Maarsarēs',42.4,35.76
urn:cite:ptolemy:lonlat.pt_ll_6035,'ho de dia Babulōnos,, sunaptōn',42.88,35.22
urn:cite:ptolemy:lonlat.pt_ll_6036,'limnas kai helē',42.52,34.92
urn:cite:ptolemy:lonlat.pt_ll_4091,'Biblē',42.88,34.56
urn:cite:ptolemy:lonlat.pt_ll_4092,'Didigoua',43.24,34.32
urn:cite:ptolemy:lonlat.pt_ll_4093,'Pounda',43.36,33.84
urn:cite:ptolemy:lonlat.pt_ll_4094,'Batrakharta',43.36,33.60
urn:cite:ptolemy:lonlat.pt_ll_4095,'Thalatha',43.6,33.24
urn:cite:ptolemy:lonlat.pt_ll_4096,'Altha',43.24,32.58
urn:cite:ptolemy:lonlat.pt_ll_6037,'to anatolikon stoma',43.96,32.40
urn:cite:ptolemy:lonlat.pt_ll_6038,'to de dutikon',43.24,31.86
urn:cite:ptolemy:lonlat.pt_ll_4097,'Terēdōn',43.6,32.52
urn:cite:ptolemy:lonlat.pt_ll_4098,'Idikara',41.44,34.08
urn:cite:ptolemy:lonlat.pt_ll_4099,'Douraba',41.92,34.56
urn:cite:ptolemy:lonlat.pt_ll_4100,'Thakkona',41.98,34.92
urn:cite:ptolemy:lonlat.pt_ll_4101,'Thelbegkanē',42.52,35.64
urn:cite:ptolemy:lonlat.pt_ll_4102,'Babulōn',42.88,35.28
urn:cite:ptolemy:lonlat.pt_ll_4103,'Ouolgaisia',42.4,34.92
urn:cite:ptolemy:lonlat.pt_ll_4104,'Barsita',42.7,34.80
urn:cite:ptolemy:lonlat.pt_ll_4105,'Beana ē Biana',42.88,34.32
urn:cite:ptolemy:lonlat.pt_ll_4106,'Khoudouka',42.16,34.08
urn:cite:ptolemy:lonlat.pt_ll_4107,'Khoumana',42.88,33.96
urn:cite:ptolemy:lonlat.pt_ll_4108,'Kaisa',41.2,33.72
urn:cite:ptolemy:lonlat.pt_ll_5523,'Bērandē',41.8,33.48
urn:cite:ptolemy:lonlat.pt_ll_4109,'Orkhoē',42.52,33.60
urn:cite:ptolemy:lonlat.pt_ll_5524,'Bethana',42.88,33.78
urn:cite:ptolemy:lonlat.pt_ll_4110,'Thelmē',41.2,33.12
urn:cite:ptolemy:lonlat.pt_ll_4111,'Sorthida',41.44,32.76
urn:cite:ptolemy:lonlat.pt_ll_4112,'Iamba',42.16,32.64
urn:cite:ptolemy:lonlat.pt_ll_4113,'Rhageia',42.64,32.64
urn:cite:ptolemy:lonlat.pt_ll_5525,'Khiriphē',43.06,32.52
urn:cite:ptolemy:lonlat.pt_ll_4114,'Rhatta',43.06,32.28
