SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_6100,'peratos',64.48,38.16
urn:cite:ptolemy:lonlat.pt_ll_6101,'tōn Ōxou pēgōn',72.04,38.16
urn:cite:ptolemy:lonlat.pt_ll_6102,'ho te Ōkhos potamos',65.2,38.16
urn:cite:ptolemy:lonlat.pt_ll_6103,'ho Dargamanēs',69.88,36.24
urn:cite:ptolemy:lonlat.pt_ll_6104,'ho Zariaspis',67.36,38.16
urn:cite:ptolemy:lonlat.pt_ll_6105,'ho Artamis',68.08,38.16
urn:cite:ptolemy:lonlat.pt_ll_6106,'ho Dargoidos',69.52,38.16
urn:cite:ptolemy:lonlat.pt_ll_6107,'tō Ōxō',70.6,41.76
urn:cite:ptolemy:lonlat.pt_ll_6108,'ho men Artamis kai ho Zariaspis',67.36,39.36
urn:cite:ptolemy:lonlat.pt_ll_6109,'ton Ōxon',67.0,41.76
urn:cite:ptolemy:lonlat.pt_ll_6110,'ho de Dargamanēs kai ho Ōkhos',64.48,39.24
urn:cite:ptolemy:lonlat.pt_ll_6111,'ton Ōxon',64.48,41.76
urn:cite:ptolemy:lonlat.pt_ll_6112,'tou de Paropanisou tou orous',66.28,38.16
urn:cite:ptolemy:lonlat.pt_ll_6113,'',72.04,38.16
urn:cite:ptolemy:lonlat.pt_ll_4564,'Kharakharta',65.92,41.76
urn:cite:ptolemy:lonlat.pt_ll_5590,'Zarispa ē Kharispa',68.8,41.76
urn:cite:ptolemy:lonlat.pt_ll_4565,'Khoana',70.24,40.32
urn:cite:ptolemy:lonlat.pt_ll_4566,'Sourogana',70.6,39.24
urn:cite:ptolemy:lonlat.pt_ll_4567,'Phratou',71.68,38.40
urn:cite:ptolemy:lonlat.pt_ll_4568,'Alikhorda',63.04,41.40
urn:cite:ptolemy:lonlat.pt_ll_4569,'Khomara',62.68,41.40
urn:cite:ptolemy:lonlat.pt_ll_4570,'Kouriandra',64.84,40.44
urn:cite:ptolemy:lonlat.pt_ll_4571,'Kauaris',66.16,41.04
urn:cite:ptolemy:lonlat.pt_ll_4572,'Astakana',66.64,40.56
urn:cite:ptolemy:lonlat.pt_ll_4573,'Tosmouanassa',64.12,39.84
urn:cite:ptolemy:lonlat.pt_ll_4574,'Menapia',67.36,39.84
urn:cite:ptolemy:lonlat.pt_ll_4575,'Eukratidia',68.8,40.32
urn:cite:ptolemy:lonlat.pt_ll_5591,'Baktra basileion',69.52,39.60
urn:cite:ptolemy:lonlat.pt_ll_4576,'Estobara',64.84,42.72
urn:cite:ptolemy:lonlat.pt_ll_4577,'Marakanda',66.64,38.34
urn:cite:ptolemy:lonlat.pt_ll_4578,'Marakodra',69.04,38.40
