SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_174,'To anatolikōteron stoma Ana tou potamou',-10.88,37.08
urn:cite:ptolemy:lonlat.pt_ll_175,'Hē pros anatolas tou potamou epistrophē',-9.44,38.16
urn:cite:ptolemy:lonlat.pt_ll_176,'To pros tō perati tēs Lousitanias tou potamou meros',-7.52,38.16
urn:cite:ptolemy:lonlat.pt_ll_177,'to Balliarikon pelagos',-5.36,36.90
urn:cite:ptolemy:lonlat.pt_ll_178,'hAi de pēgai tou potamou epekhousi moiras',-3.92,38.88
urn:cite:ptolemy:lonlat.pt_ll_179,'Onoba Aistouaria',-10.64,36.96
urn:cite:ptolemy:lonlat.pt_ll_180,'Baitios potamou to anatolikon stoma',-10.16,36.72
urn:cite:ptolemy:lonlat.pt_ll_181,'hAi pēgai tou potamou',-5.36,37.80
urn:cite:ptolemy:lonlat.pt_ll_182,'Hē kata Astan anakhusis',-9.68,36.54
urn:cite:ptolemy:lonlat.pt_ll_183,'Menestheōs limēn',-9.68,36.24
urn:cite:ptolemy:lonlat.pt_ll_184,'To akrōtērion, aph hou ho porthmos, en hō Naos Hēras',-9.86,36.06
urn:cite:ptolemy:lonlat.pt_ll_185,'Bailōnos potamou ekbolai',-9.56,36.12
urn:cite:ptolemy:lonlat.pt_ll_186,'Bailōn polis',-9.5,36.06
urn:cite:ptolemy:lonlat.pt_ll_187,'Menralia',-9.32,36.06
urn:cite:ptolemy:lonlat.pt_ll_188,'Transdoukta',-9.08,36.06
urn:cite:ptolemy:lonlat.pt_ll_189,'Barbēsola polis',-8.78,36.12
urn:cite:ptolemy:lonlat.pt_ll_190,'Kartēia',-8.6,36.12
urn:cite:ptolemy:lonlat.pt_ll_5646,'Kalpē oros kai stēlē tēs entos thalassēs',-8.6,36.18
urn:cite:ptolemy:lonlat.pt_ll_191,'Barbēsola potamou ekbolai',-8.48,36.24
urn:cite:ptolemy:lonlat.pt_ll_192,'Souel',-8.24,36.66
urn:cite:ptolemy:lonlat.pt_ll_193,'Saldouba pot. ekbolai',-7.88,36.72
urn:cite:ptolemy:lonlat.pt_ll_194,'Malaka',-7.64,37.08
urn:cite:ptolemy:lonlat.pt_ll_195,'Mainoba',-7.34,36.90
urn:cite:ptolemy:lonlat.pt_ll_196,'Sex',-6.98,36.90
urn:cite:ptolemy:lonlat.pt_ll_197,'Sēlambina',-6.62,36.90
urn:cite:ptolemy:lonlat.pt_ll_198,'Exokhē',-6.2,36.78
urn:cite:ptolemy:lonlat.pt_ll_199,'Abdara',-6.26,36.84
urn:cite:ptolemy:lonlat.pt_ll_200,'Portos Magnos',-5.84,36.78
urn:cite:ptolemy:lonlat.pt_ll_201,'Kharidēmou akrōtērion',-5.72,36.60
urn:cite:ptolemy:lonlat.pt_ll_202,'Bareia polis',-5.54,36.84
urn:cite:ptolemy:lonlat.pt_ll_203,'Segida',-7.4,38.04
urn:cite:ptolemy:lonlat.pt_ll_204,'Ilourgis',-7.16,37.92
