SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_729,'Phroudios potamou ekbolai',1.66,47.76
urn:cite:ptolemy:lonlat.pt_ll_730,'Ition akron',2.02,48.60
urn:cite:ptolemy:lonlat.pt_ll_5660,'Gēsoriakon epineion',2.2,48.60
urn:cite:ptolemy:lonlat.pt_ll_731,'Taboula potamou ekbolai',2.92,48.60
urn:cite:ptolemy:lonlat.pt_ll_732,'Mosa potamou ekbolai',3.76,48.60
urn:cite:ptolemy:lonlat.pt_ll_733,'Lougodounon',5.08,48.48
urn:cite:ptolemy:lonlat.pt_ll_5153,'Rhēnou pot. to dusmikon stoma',5.26,48.48
urn:cite:ptolemy:lonlat.pt_ll_734,'to meson stoma tou potamou',5.44,48.36
urn:cite:ptolemy:lonlat.pt_ll_735,'to anatolikon stoma tou pot.',5.68,48.96
urn:cite:ptolemy:lonlat.pt_ll_5776,'hē men kephalē',7.12,43.20
urn:cite:ptolemy:lonlat.pt_ll_736,'to de kata tēn tou Abrigka potamou pros dusmas ektropēn moiras',6.16,46.08
urn:cite:ptolemy:lonlat.pt_ll_737,'Adoulas oros',7.24,42.66
urn:cite:ptolemy:lonlat.pt_ll_738,'Iourassos oros',4.9,43.20
urn:cite:ptolemy:lonlat.pt_ll_5777,'tou koinou peratos tōn te Alpeōn kai tou Adoula orous',7.24,42.66
urn:cite:ptolemy:lonlat.pt_ll_739,'Nemetakon',1.84,46.80
urn:cite:ptolemy:lonlat.pt_ll_740,'Kaisaromagos',2.44,47.04
urn:cite:ptolemy:lonlat.pt_ll_741,'Samarobrioua',2.02,47.64
urn:cite:ptolemy:lonlat.pt_ll_742,'Tarouanna',2.8,48.12
urn:cite:ptolemy:lonlat.pt_ll_743,'Atouatoukon',3.64,48.12
urn:cite:ptolemy:lonlat.pt_ll_744,'Kastellon',4.0,47.70
urn:cite:ptolemy:lonlat.pt_ll_745,'Bagakon',4.18,47.28
urn:cite:ptolemy:lonlat.pt_ll_746,'Rhatomagos',2.2,46.08
urn:cite:ptolemy:lonlat.pt_ll_747,'Augousta Ouiromanduōn',4.36,46.08
urn:cite:ptolemy:lonlat.pt_ll_748,'Augousta Ouessonōn',2.92,45.18
urn:cite:ptolemy:lonlat.pt_ll_749,'Dourokottoron',3.1,45.00
urn:cite:ptolemy:lonlat.pt_ll_750,'Augousta Tribērōn',4.72,44.76
urn:cite:ptolemy:lonlat.pt_ll_751,'Diouodouron',4.36,44.16
urn:cite:ptolemy:lonlat.pt_ll_752,'Toullion',5.08,43.92
urn:cite:ptolemy:lonlat.pt_ll_753,'Nasion',3.88,43.68
urn:cite:ptolemy:lonlat.pt_ll_754,'Bataouodouron',5.62,47.88
urn:cite:ptolemy:lonlat.pt_ll_755,'Oueterra',5.8,47.40
urn:cite:ptolemy:lonlat.pt_ll_756,'LegiōnOulpia eita Agrippinēnsis',5.92,46.92
urn:cite:ptolemy:lonlat.pt_ll_757,'Bonna',5.92,46.68
urn:cite:ptolemy:lonlat.pt_ll_5661,'LegiōnAthanaikē eita Traianē Legiōn',5.8,46.50
urn:cite:ptolemy:lonlat.pt_ll_758,'Mokontiakon',5.68,46.26
urn:cite:ptolemy:lonlat.pt_ll_759,'Noiomagos',5.92,45.96
urn:cite:ptolemy:lonlat.pt_ll_760,'Rhouphiniana',5.92,45.72
urn:cite:ptolemy:lonlat.pt_ll_761,'Borbētomagos',6.04,45.60
urn:cite:ptolemy:lonlat.pt_ll_762,'Argentoraton',6.04,45.18
urn:cite:ptolemy:lonlat.pt_ll_763,'Breukomagos',6.04,44.88
urn:cite:ptolemy:lonlat.pt_ll_764,'Helkēbos',6.16,44.64
urn:cite:ptolemy:lonlat.pt_ll_765,'Augousta Rhaurikōn',6.16,44.28
urn:cite:ptolemy:lonlat.pt_ll_766,'Argentoouaria',6.04,44.40
urn:cite:ptolemy:lonlat.pt_ll_767,'Andomatounnon',4.9,43.44
urn:cite:ptolemy:lonlat.pt_ll_768,'Ganodouron',6.52,43.56
urn:cite:ptolemy:lonlat.pt_ll_769,'Phoros Tiberiou',6.16,43.20
urn:cite:ptolemy:lonlat.pt_ll_770,'Dittauion',4.12,42.96
urn:cite:ptolemy:lonlat.pt_ll_771,'Ouisontion',4.72,43.20
urn:cite:ptolemy:lonlat.pt_ll_772,'Ekouestris',5.44,42.96
urn:cite:ptolemy:lonlat.pt_ll_773,'Auantikon',6.16,42.84
