SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_5936,'peratos',36.04,36.24
urn:cite:ptolemy:lonlat.pt_ll_3577,'Iōtapē',32.08,36.54
urn:cite:ptolemy:lonlat.pt_ll_3578,'Selinous',32.32,36.54
urn:cite:ptolemy:lonlat.pt_ll_5463,'Antiokheia epi Kragō',32.56,36.60
urn:cite:ptolemy:lonlat.pt_ll_3579,'Nephelis',32.68,36.42
urn:cite:ptolemy:lonlat.pt_ll_3580,'Anemourion',32.92,36.60
urn:cite:ptolemy:lonlat.pt_ll_3581,'Arumagdou ē Orumagdou potamou ekbolai',33.04,36.60
urn:cite:ptolemy:lonlat.pt_ll_5464,'Arsinoē',33.16,36.60
urn:cite:ptolemy:lonlat.pt_ll_3582,'Kelenderis',33.34,36.60
urn:cite:ptolemy:lonlat.pt_ll_3583,'Aphrodisias',33.52,36.60
urn:cite:ptolemy:lonlat.pt_ll_5465,'Sarpēdōn akra',33.64,36.54
urn:cite:ptolemy:lonlat.pt_ll_3584,'Kaludnou potamou ekbolai',33.76,36.60
urn:cite:ptolemy:lonlat.pt_ll_3585,'Zephurion akron',33.76,36.48
urn:cite:ptolemy:lonlat.pt_ll_3586,'Kōrukos',33.88,36.60
urn:cite:ptolemy:lonlat.pt_ll_3587,'Sebastē',34.06,36.54
urn:cite:ptolemy:lonlat.pt_ll_3588,'Lamou potamou ekbolai',34.24,36.54
urn:cite:ptolemy:lonlat.pt_ll_5127,'Pompēioupolis hē kai Soloi',34.42,36.48
urn:cite:ptolemy:lonlat.pt_ll_3589,'Zephurion',34.36,36.24
urn:cite:ptolemy:lonlat.pt_ll_3590,'Kudnou potamou ekbolai',34.78,36.48
urn:cite:ptolemy:lonlat.pt_ll_3591,'hai pēgai tou potamou',33.52,37.80
urn:cite:ptolemy:lonlat.pt_ll_3592,'Sarou ē Sinarou potamou ekbolai',34.96,36.36
urn:cite:ptolemy:lonlat.pt_ll_3593,'Puramou potamou ekbolai',35.14,36.36
urn:cite:ptolemy:lonlat.pt_ll_3594,'hai pēgai tou potamou',35.32,37.44
urn:cite:ptolemy:lonlat.pt_ll_3595,'Mallos',35.32,36.36
urn:cite:ptolemy:lonlat.pt_ll_3596,'Serrhaipolis kōmē',35.5,36.36
urn:cite:ptolemy:lonlat.pt_ll_3597,'Aigai',35.68,36.36
urn:cite:ptolemy:lonlat.pt_ll_3598,'Issos',35.92,36.30
urn:cite:ptolemy:lonlat.pt_ll_5128,'Kaustros',32.62,36.84
urn:cite:ptolemy:lonlat.pt_ll_3599,'Domitiopolis',33.1,36.78
urn:cite:ptolemy:lonlat.pt_ll_3600,'Philadelpheia',33.52,37.02
urn:cite:ptolemy:lonlat.pt_ll_3601,'Seleuukeia Trakheia',33.64,37.38
urn:cite:ptolemy:lonlat.pt_ll_3602,'Diokaisareia',33.76,36.84
urn:cite:ptolemy:lonlat.pt_ll_3603,'Olbasa',32.44,37.08
urn:cite:ptolemy:lonlat.pt_ll_5466,'Ninika',33.16,37.08
urn:cite:ptolemy:lonlat.pt_ll_5129,'Phlaouiopolis',33.88,37.08
urn:cite:ptolemy:lonlat.pt_ll_3604,'Lamos',33.52,36.72
urn:cite:ptolemy:lonlat.pt_ll_3605,'Eirēnopolis',34.84,36.96
urn:cite:ptolemy:lonlat.pt_ll_3606,'Augousta',34.6,36.84
urn:cite:ptolemy:lonlat.pt_ll_3607,'Tarsos',34.72,36.60
urn:cite:ptolemy:lonlat.pt_ll_3608,'Adana',35.14,36.54
urn:cite:ptolemy:lonlat.pt_ll_3609,'Kaisareia pros Anazarbō',35.32,36.72
urn:cite:ptolemy:lonlat.pt_ll_5757,'Mopsouestia',35.56,36.54
urn:cite:ptolemy:lonlat.pt_ll_3610,'Kastabala',35.68,36.72
urn:cite:ptolemy:lonlat.pt_ll_3611,'Nikopolis',36.04,36.90
urn:cite:ptolemy:lonlat.pt_ll_3612,'Epiphaneia',36.04,36.48
urn:cite:ptolemy:lonlat.pt_ll_3613,'hai Amanikai Pulai',36.04,36.24
