SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_1446,'Ouoleriou potamou ekbolai',8.08,39.60
urn:cite:ptolemy:lonlat.pt_ll_1447,'Kaisias aigialos',7.96,39.72
urn:cite:ptolemy:lonlat.pt_ll_1448,'Tilox akron',7.6,39.96
urn:cite:ptolemy:lonlat.pt_ll_1449,'Attiou akron',7.6,39.72
urn:cite:ptolemy:lonlat.pt_ll_1450,'Kasalos kolpos',7.78,39.18
urn:cite:ptolemy:lonlat.pt_ll_1451,'Ouiriballon akron',7.72,39.24
urn:cite:ptolemy:lonlat.pt_ll_1452,'Kirkidiou potamou ekbolai',7.72,39.18
urn:cite:ptolemy:lonlat.pt_ll_1453,'Rhoition oros',7.6,39.12
urn:cite:ptolemy:lonlat.pt_ll_1454,'Rhion akron',7.6,39.06
urn:cite:ptolemy:lonlat.pt_ll_1455,'Ourkinion polis',7.72,39.00
urn:cite:ptolemy:lonlat.pt_ll_1456,'Ammōdēs aigialos',7.78,38.88
urn:cite:ptolemy:lonlat.pt_ll_1457,'Lokra potamou ekbolai',7.72,38.82
urn:cite:ptolemy:lonlat.pt_ll_1458,'Pauka polis',7.78,38.70
urn:cite:ptolemy:lonlat.pt_ll_1459,'Tikariou potamou ekbolai',7.78,38.64
urn:cite:ptolemy:lonlat.pt_ll_1460,'Titianos limēn',7.72,38.58
urn:cite:ptolemy:lonlat.pt_ll_1461,'Phikaria polis',7.96,38.52
urn:cite:ptolemy:lonlat.pt_ll_1462,'Pitanou potamou ekbolai',8.14,38.40
urn:cite:ptolemy:lonlat.pt_ll_1463,'Marianon akron kai polis',8.32,38.28
urn:cite:ptolemy:lonlat.pt_ll_1464,'Palla polis',8.56,38.40
urn:cite:ptolemy:lonlat.pt_ll_1465,'Surakousanos limēn',8.56,38.46
urn:cite:ptolemy:lonlat.pt_ll_1466,'Rhoubra polis',8.56,38.52
urn:cite:ptolemy:lonlat.pt_ll_1467,'Granianon akron',8.68,38.64
urn:cite:ptolemy:lonlat.pt_ll_1468,'Alista polis',8.56,38.70
urn:cite:ptolemy:lonlat.pt_ll_1469,'Philōniou limēn',8.68,38.82
urn:cite:ptolemy:lonlat.pt_ll_1470,'Hierou potamou ekbolai',8.68,38.88
urn:cite:ptolemy:lonlat.pt_ll_1471,'Aleria kolōnia',8.68,38.94
urn:cite:ptolemy:lonlat.pt_ll_1472,'Rhotanou potamou ekbolai',8.68,39.00
urn:cite:ptolemy:lonlat.pt_ll_1473,'Artemidos limēn',8.56,39.12
urn:cite:ptolemy:lonlat.pt_ll_1474,'Toutēlas bōmos',8.68,39.24
urn:cite:ptolemy:lonlat.pt_ll_1475,'Gouola potamou ekbolai',8.68,39.30
urn:cite:ptolemy:lonlat.pt_ll_1476,'Marianē polis',8.56,39.36
urn:cite:ptolemy:lonlat.pt_ll_1477,'Ouagon akron',8.68,39.42
urn:cite:ptolemy:lonlat.pt_ll_1478,'Mantinōn polis',8.56,39.60
urn:cite:ptolemy:lonlat.pt_ll_1479,'Klounion polis',8.56,39.72
urn:cite:ptolemy:lonlat.pt_ll_1480,'Hieron akron',8.68,40.02
urn:cite:ptolemy:lonlat.pt_ll_1481,'Kentourinon polis',8.5,39.96
urn:cite:ptolemy:lonlat.pt_ll_1482,'Kanelatē polis',8.32,39.84
urn:cite:ptolemy:lonlat.pt_ll_1483,'Rhopikon',7.78,39.60
urn:cite:ptolemy:lonlat.pt_ll_1484,'Kersounon',7.96,39.60
urn:cite:ptolemy:lonlat.pt_ll_1485,'Palania',7.84,39.42
urn:cite:ptolemy:lonlat.pt_ll_1486,'Lourinon',8.32,39.42
urn:cite:ptolemy:lonlat.pt_ll_1487,'Alouka',7.84,39.24
urn:cite:ptolemy:lonlat.pt_ll_1488,'Asigkon',7.96,39.24
urn:cite:ptolemy:lonlat.pt_ll_1489,'Sermigion',7.84,39.12
urn:cite:ptolemy:lonlat.pt_ll_1490,'Talkinon',8.14,39.24
urn:cite:ptolemy:lonlat.pt_ll_1491,'Ouenikion',8.2,39.12
urn:cite:ptolemy:lonlat.pt_ll_1492,'Keneston',8.32,39.06
urn:cite:ptolemy:lonlat.pt_ll_1493,'Opinon',8.56,39.18
urn:cite:ptolemy:lonlat.pt_ll_1494,'Mora',7.96,38.88
urn:cite:ptolemy:lonlat.pt_ll_1495,'Matisa',8.14,38.58
urn:cite:ptolemy:lonlat.pt_ll_1496,'Albiana',8.32,38.52
