SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_1777,'tou Tura potamou',24.16,45.00
urn:cite:ptolemy:lonlat.pt_ll_5804,'hē prōtē pros liba epistrophē',20.08,42.30
urn:cite:ptolemy:lonlat.pt_ll_5805,'hē kataRhabōnos tou potamou ektropēn',21.28,41.40
urn:cite:ptolemy:lonlat.pt_ll_5806,'hētou Kiabrou ektropēn',21.64,41.58
urn:cite:ptolemy:lonlat.pt_ll_1778,'tēn ektropēn Alouta tou potamou',22.18,41.76
urn:cite:ptolemy:lonlat.pt_ll_1779,'hē kata Oiskon epistrophē',22.72,41.76
urn:cite:ptolemy:lonlat.pt_ll_1780,'hē kata Axioupolin epistrophē',25.12,43.02
urn:cite:ptolemy:lonlat.pt_ll_1781,'tēs kata Dinogeteian polin epistrophēs',24.16,43.68
urn:cite:ptolemy:lonlat.pt_ll_1782,'Rhoukkonion',19.48,44.76
urn:cite:ptolemy:lonlat.pt_ll_1783,'Dokidaua',20.08,44.64
urn:cite:ptolemy:lonlat.pt_ll_1784,'Porolisson',21.28,44.64
urn:cite:ptolemy:lonlat.pt_ll_1785,'Arkobadara',22.48,44.64
urn:cite:ptolemy:lonlat.pt_ll_1786,'Triphoulon',23.62,44.82
urn:cite:ptolemy:lonlat.pt_ll_1787,'Patridaua',24.16,44.76
urn:cite:ptolemy:lonlat.pt_ll_1788,'Karsidaua',24.4,44.82
urn:cite:ptolemy:lonlat.pt_ll_1789,'Petrodaua',24.7,44.40
urn:cite:ptolemy:lonlat.pt_ll_1790,'Oulpianon',20.2,44.28
urn:cite:ptolemy:lonlat.pt_ll_1791,'Napouka',21.28,44.40
urn:cite:ptolemy:lonlat.pt_ll_1792,'Patrouissa',21.28,44.16
urn:cite:ptolemy:lonlat.pt_ll_1793,'Salinai',21.46,44.04
urn:cite:ptolemy:lonlat.pt_ll_1794,'Praitōria Augousta',22.36,43.92
urn:cite:ptolemy:lonlat.pt_ll_1795,'Sangidaua',23.08,44.28
urn:cite:ptolemy:lonlat.pt_ll_1796,'Angoustia',23.62,44.10
urn:cite:ptolemy:lonlat.pt_ll_1797,'Outidaua',24.28,44.40
urn:cite:ptolemy:lonlat.pt_ll_1798,'Markodaua',21.64,43.92
urn:cite:ptolemy:lonlat.pt_ll_1799,'Ziridaua',18.76,43.44
urn:cite:ptolemy:lonlat.pt_ll_1800,'Siggidaua',20.56,43.44
urn:cite:ptolemy:lonlat.pt_ll_1801,'Apoulon',21.46,43.68
urn:cite:ptolemy:lonlat.pt_ll_1802,'Germizera',21.64,43.38
urn:cite:ptolemy:lonlat.pt_ll_1803,'Komidaua',23.08,43.68
urn:cite:ptolemy:lonlat.pt_ll_1804,'Rhamidaua',23.32,43.56
urn:cite:ptolemy:lonlat.pt_ll_1805,'Piroum',22.9,43.20
urn:cite:ptolemy:lonlat.pt_ll_1806,'Zousidaua',23.92,43.38
urn:cite:ptolemy:lonlat.pt_ll_1807,'Polonda',24.16,43.92
urn:cite:ptolemy:lonlat.pt_ll_1808,'Zourobara',18.88,42.96
urn:cite:ptolemy:lonlat.pt_ll_1809,'Aizisis',19.3,42.72
urn:cite:ptolemy:lonlat.pt_ll_1810,'Argidaua',19.48,42.66
urn:cite:ptolemy:lonlat.pt_ll_1811,'Tiriskon',20.92,42.66
urn:cite:ptolemy:lonlat.pt_ll_1812,'Zarmizegethousa basileion',20.44,42.66
urn:cite:ptolemy:lonlat.pt_ll_1813,'Hudata',21.64,42.72
urn:cite:ptolemy:lonlat.pt_ll_1814,'Netindaua',23.98,42.84
urn:cite:ptolemy:lonlat.pt_ll_1815,'Tiason',23.44,42.84
urn:cite:ptolemy:lonlat.pt_ll_1816,'Zeugma',19.6,42.24
urn:cite:ptolemy:lonlat.pt_ll_1817,'Tibiskon',19.6,42.36
urn:cite:ptolemy:lonlat.pt_ll_1818,'Dierna',20.02,42.12
urn:cite:ptolemy:lonlat.pt_ll_1819,'Akmonia',20.56,42.48
urn:cite:ptolemy:lonlat.pt_ll_1820,'Droubētis',20.38,42.12
urn:cite:ptolemy:lonlat.pt_ll_1821,'Phrateria',21.64,42.12
urn:cite:ptolemy:lonlat.pt_ll_1822,'Arkinna',21.28,42.30
urn:cite:ptolemy:lonlat.pt_ll_1823,'Pinon',22.36,42.24
urn:cite:ptolemy:lonlat.pt_ll_1824,'Amoutrion',22.0,42.30
urn:cite:ptolemy:lonlat.pt_ll_1825,'Sornon',23.08,42.48
