SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_5704,'tēs tou Akhelōou potamou ekbolēs',20.86,37.08
urn:cite:ptolemy:lonlat.pt_ll_2104,'Ōrikon',18.4,38.34
urn:cite:ptolemy:lonlat.pt_ll_5705,'hē akrōreia tōn Akrokerauniōn oreōn',17.98,38.28
urn:cite:ptolemy:lonlat.pt_ll_2105,'Panormos limēn',18.4,37.92
urn:cite:ptolemy:lonlat.pt_ll_2106,'Hogkhēsmos limēn',18.64,37.86
urn:cite:ptolemy:lonlat.pt_ll_2107,'Kassiopē limēn',18.76,37.74
urn:cite:ptolemy:lonlat.pt_ll_2108,'Poseidion akron',18.94,37.56
urn:cite:ptolemy:lonlat.pt_ll_2109,'Bouthrōton kolpos',18.94,37.68
urn:cite:ptolemy:lonlat.pt_ll_2110,'Pēlōdēs limēn',19.24,37.68
urn:cite:ptolemy:lonlat.pt_ll_2111,'Thuamis akra Alminēs',19.24,37.44
urn:cite:ptolemy:lonlat.pt_ll_2112,'Thuamios potamou ekbolai',19.3,37.50
urn:cite:ptolemy:lonlat.pt_ll_2113,'Subota limēn',19.66,37.44
urn:cite:ptolemy:lonlat.pt_ll_2114,'Torunē',19.72,37.44
urn:cite:ptolemy:lonlat.pt_ll_2115,'Akherontos pot. ekbolai',19.96,37.44
urn:cite:ptolemy:lonlat.pt_ll_2116,'Elaias limēn',20.02,37.38
urn:cite:ptolemy:lonlat.pt_ll_5706,'Nikopolis en tō Amprakiō kolpō',20.26,37.38
urn:cite:ptolemy:lonlat.pt_ll_2117,'Arakhthou pot. ekbolai',20.44,37.62
urn:cite:ptolemy:lonlat.pt_ll_2118,'Amprakia',20.56,37.68
urn:cite:ptolemy:lonlat.pt_ll_2119,'Aktion',20.32,37.26
urn:cite:ptolemy:lonlat.pt_ll_2120,'Leukas akra',20.44,36.96
urn:cite:ptolemy:lonlat.pt_ll_2121,'Aluzeia',20.8,37.02
urn:cite:ptolemy:lonlat.pt_ll_2122,'Akhelōou potamou ekbolai',20.86,37.08
urn:cite:ptolemy:lonlat.pt_ll_2123,'Antigoneia',18.58,38.28
urn:cite:ptolemy:lonlat.pt_ll_2124,'Phoinikē',18.64,37.98
urn:cite:ptolemy:lonlat.pt_ll_2125,'Hekatompedon Dōdōneōn',18.88,38.16
urn:cite:ptolemy:lonlat.pt_ll_2126,'Omphalion',18.88,37.92
urn:cite:ptolemy:lonlat.pt_ll_2127,'Elaious',18.88,37.80
urn:cite:ptolemy:lonlat.pt_ll_2128,'Kassōpē',19.84,37.68
urn:cite:ptolemy:lonlat.pt_ll_2129,'Argos Amphilokhikon',20.8,37.80
urn:cite:ptolemy:lonlat.pt_ll_2130,'Astakos',20.74,37.26
urn:cite:ptolemy:lonlat.pt_ll_5816,'Kassiopē',18.46,37.62
urn:cite:ptolemy:lonlat.pt_ll_2131,'Ptukhia',18.76,37.44
urn:cite:ptolemy:lonlat.pt_ll_2132,'Korkura polis',18.52,37.38
urn:cite:ptolemy:lonlat.pt_ll_2133,'Leukimma akra',19.36,37.26
urn:cite:ptolemy:lonlat.pt_ll_2134,'Amphipurgos akra',18.76,37.20
urn:cite:ptolemy:lonlat.pt_ll_2135,'Phalakron akron',18.4,37.44
urn:cite:ptolemy:lonlat.pt_ll_2136,'Kephallēnia nēsos',20.32,36.84
urn:cite:ptolemy:lonlat.pt_ll_5707,'to de arktikōtaton autēs akron',20.32,37.08
urn:cite:ptolemy:lonlat.pt_ll_2137,'to de mesēmbrinon',20.38,36.48
urn:cite:ptolemy:lonlat.pt_ll_2138,'hē Erikousa nēsos',18.16,37.44
urn:cite:ptolemy:lonlat.pt_ll_2139,'hē Skopelos nēsos',18.4,37.38
urn:cite:ptolemy:lonlat.pt_ll_2140,'hē Leukas nēsos',20.38,37.14
urn:cite:ptolemy:lonlat.pt_ll_2141,'hai Ekhinades nēsoi',20.68,36.96
urn:cite:ptolemy:lonlat.pt_ll_5708,'hē Ithakē',20.56,36.84
urn:cite:ptolemy:lonlat.pt_ll_5709,'hē Lētōa nēsos',19.84,36.54
urn:cite:ptolemy:lonlat.pt_ll_5710,'hē Zakunthos',20.2,36.36
