SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_774,'thesis',5.8,41.04
urn:cite:ptolemy:lonlat.pt_ll_775,'to Aphrodision',0.64,40.56
urn:cite:ptolemy:lonlat.pt_ll_776,'Illiberios pot. ekbolai',1.12,40.80
urn:cite:ptolemy:lonlat.pt_ll_777,'Rhouskiōnos pot. ekbolai',1.3,40.86
urn:cite:ptolemy:lonlat.pt_ll_778,'Atagos pot. ekbolai',1.48,40.86
urn:cite:ptolemy:lonlat.pt_ll_779,'Orobios pot. ekbolai',1.66,40.86
urn:cite:ptolemy:lonlat.pt_ll_780,'Araurios pot. ekbolai',1.84,40.92
urn:cite:ptolemy:lonlat.pt_ll_781,'Agathē polis',2.02,40.92
urn:cite:ptolemy:lonlat.pt_ll_782,'Sētion oros',2.2,40.68
urn:cite:ptolemy:lonlat.pt_ll_783,'Phossai Marianai',2.32,40.80
urn:cite:ptolemy:lonlat.pt_ll_5155,'Rhodanou potamou to dutikon stoma',2.44,40.80
urn:cite:ptolemy:lonlat.pt_ll_5156,'Rhodanou to anatolikon stoma',2.56,40.92
urn:cite:ptolemy:lonlat.pt_ll_784,'hē hupo Lougdounon tou potamou pros tas Alpeis epistrophē',2.56,42.66
urn:cite:ptolemy:lonlat.pt_ll_785,'to kata tēn limnēn autou meros tēn kaloumenēn Lēmenēn',5.62,42.66
urn:cite:ptolemy:lonlat.pt_ll_786,'hē pēgē tou potamou',6.4,42.00
urn:cite:ptolemy:lonlat.pt_ll_5778,'hai men tou Araros pēgai apo tōn Alpeōn rheousai',6.64,42.24
urn:cite:ptolemy:lonlat.pt_ll_5779,'hai de tou Doubios potamou hup auton rheontos',6.52,42.12
urn:cite:ptolemy:lonlat.pt_ll_5780,'hē men sumbolē autōn',4.24,42.84
urn:cite:ptolemy:lonlat.pt_ll_5781,'hē de pros ton Rhodanon potamon sumbolē',3.28,42.84
urn:cite:ptolemy:lonlat.pt_ll_5782,'tou men Isaros hai pēgai',6.16,41.76
urn:cite:ptolemy:lonlat.pt_ll_787,'tou de Drouentia hē kephalē',6.16,41.58
urn:cite:ptolemy:lonlat.pt_ll_5154,'hē men tou Isaros pros ton Rhodanon sumbolē',2.32,42.12
urn:cite:ptolemy:lonlat.pt_ll_788,'hē de tou Drouentia moiras',2.32,41.64
urn:cite:ptolemy:lonlat.pt_ll_789,'Maritima polis, kolōnia',2.92,41.04
urn:cite:ptolemy:lonlat.pt_ll_790,'Kainou pot. ekbolai',3.1,41.04
urn:cite:ptolemy:lonlat.pt_ll_791,'Massalia polis',3.64,41.10
urn:cite:ptolemy:lonlat.pt_ll_792,'Tauroention',3.88,40.92
urn:cite:ptolemy:lonlat.pt_ll_793,'ho Kitharistēs to akron',4.0,40.68
urn:cite:ptolemy:lonlat.pt_ll_794,'Olbia polis',4.12,40.86
urn:cite:ptolemy:lonlat.pt_ll_795,'Argentiou pot. ekbolai',4.48,40.86
urn:cite:ptolemy:lonlat.pt_ll_796,'Phoros Iouliou kolōnia',5.08,40.92
urn:cite:ptolemy:lonlat.pt_ll_797,'Antipolis',5.44,41.04
urn:cite:ptolemy:lonlat.pt_ll_798,'hai tou Ouarou pot. ekbolai',5.8,41.04
urn:cite:ptolemy:lonlat.pt_ll_799,'Illiberis',0.22,41.22
urn:cite:ptolemy:lonlat.pt_ll_800,'Rhouskinōn',0.4,41.40
urn:cite:ptolemy:lonlat.pt_ll_801,'Tolōsa kolōnia',0.52,41.94
urn:cite:ptolemy:lonlat.pt_ll_802,'Kesserō',1.3,41.76
urn:cite:ptolemy:lonlat.pt_ll_803,'Karkasō',1.12,41.58
urn:cite:ptolemy:lonlat.pt_ll_804,'Baitirai',1.48,41.40
urn:cite:ptolemy:lonlat.pt_ll_805,'Narbōn kolōnia',1.48,41.22
urn:cite:ptolemy:lonlat.pt_ll_806,'Ouindomagos',1.48,42.12
urn:cite:ptolemy:lonlat.pt_ll_807,'Nemauson kolōnia',1.84,42.12
urn:cite:ptolemy:lonlat.pt_ll_808,'Ouienna',2.56,42.48
urn:cite:ptolemy:lonlat.pt_ll_809,'Oualentia kolōnia',2.56,42.12
urn:cite:ptolemy:lonlat.pt_ll_810,'Noiomagos',5.08,42.48
urn:cite:ptolemy:lonlat.pt_ll_811,'Akousiōn kolōnia',2.56,41.94
