SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_827,'Ouidrou potamou ekbolai',5.8,49.50
urn:cite:ptolemy:lonlat.pt_ll_828,'Marnamanis limēn',6.16,49.14
urn:cite:ptolemy:lonlat.pt_ll_829,'Amisiou potamou ekbolai',6.88,49.68
urn:cite:ptolemy:lonlat.pt_ll_830,'hai pēgai tou potamou',9.04,48.24
urn:cite:ptolemy:lonlat.pt_ll_831,'Ouisourgios pot. ekbolai',8.32,49.68
urn:cite:ptolemy:lonlat.pt_ll_832,'hai pēgai tou potamou',10.48,47.88
urn:cite:ptolemy:lonlat.pt_ll_833,'Albios potamou ekbolai',8.32,50.58
urn:cite:ptolemy:lonlat.pt_ll_834,'hai pēgai tou potamou',14.08,46.08
urn:cite:ptolemy:lonlat.pt_ll_835,'hē meta ton Albin exokhē',9.04,51.00
urn:cite:ptolemy:lonlat.pt_ll_836,'hē ephexēs exokhē',11.2,52.08
urn:cite:ptolemy:lonlat.pt_ll_837,'hē eti ephexēs kai arktikōtatē',13.84,52.92
urn:cite:ptolemy:lonlat.pt_ll_838,'hē meta tēn epistrophēn prōtē exokhē',14.32,52.80
urn:cite:ptolemy:lonlat.pt_ll_839,'to anatolikōtaton autēs',14.98,52.20
urn:cite:ptolemy:lonlat.pt_ll_840,'hē hupo tautēn ephexēs',12.64,51.12
urn:cite:ptolemy:lonlat.pt_ll_841,'hē pros anatolas epistrophē',11.2,50.40
urn:cite:ptolemy:lonlat.pt_ll_842,'Khalousou pot. ekbolai',12.64,50.40
urn:cite:ptolemy:lonlat.pt_ll_843,'Suēbou potamou ekbolai',14.44,50.40
urn:cite:ptolemy:lonlat.pt_ll_844,'Ouiadoua potamou ekbolai',16.6,50.40
urn:cite:ptolemy:lonlat.pt_ll_845,'Ouistoula pot. ekbolai',18.4,50.40
urn:cite:ptolemy:lonlat.pt_ll_846,'hē kephalē tou potamou',17.68,47.88
urn:cite:ptolemy:lonlat.pt_ll_847,'hē apo dusmōn autēs kai epi ton Albin pherousa',14.92,48.00
urn:cite:ptolemy:lonlat.pt_ll_5662,'hē kephalē tou Danoubiou potamou',7.6,43.44
urn:cite:ptolemy:lonlat.pt_ll_848,'to kata tēn ektropēn tou eis tēn Germanian prōtou potamou',9.04,44.10
urn:cite:ptolemy:lonlat.pt_ll_849,'Ainos',10.48,44.16
urn:cite:ptolemy:lonlat.pt_ll_850,'to kata tēn ektropēn tou pros arktous pheromenou deuterou potamou hōs epi tēn Gabrētan Hulēn',11.92,43.68
urn:cite:ptolemy:lonlat.pt_ll_5663,'to kata tēn hexēs ektropēn tou para tēn Lounan Hulēn pros arktous rheontos potamou',14.32,44.16
urn:cite:ptolemy:lonlat.pt_ll_851,'hē ephexēs epistrophē, aph hēs pros mesēmbrian epistrephei',15.28,44.52
urn:cite:ptolemy:lonlat.pt_ll_852,'Arabōn',15.52,44.40
urn:cite:ptolemy:lonlat.pt_ll_853,'hē kata Kourtan kampē',16.24,43.92
urn:cite:ptolemy:lonlat.pt_ll_854,'hē ephexēs epistrophē kata Karpin kai arktikōtatē pasōn',16.6,44.64
urn:cite:ptolemy:lonlat.pt_ll_855,'to men notion peras epekhei moiras',16.6,45.00
urn:cite:ptolemy:lonlat.pt_ll_856,'to de boreion',17.32,46.44
