SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_5802,'tēs ektropēs Tibiskou tou potamou',19.12,41.94
urn:cite:ptolemy:lonlat.pt_ll_5803,'ton Tibiskon potamon',19.12,45.00
urn:cite:ptolemy:lonlat.pt_ll_1769,'Ouskenon',17.14,44.88
urn:cite:ptolemy:lonlat.pt_ll_1770,'Bormanon',17.44,44.82
urn:cite:ptolemy:lonlat.pt_ll_1771,'Abiēta',17.44,44.64
urn:cite:ptolemy:lonlat.pt_ll_1772,'Trisson',17.8,44.46
urn:cite:ptolemy:lonlat.pt_ll_1773,'Parka',17.32,44.40
urn:cite:ptolemy:lonlat.pt_ll_1774,'Kandanon',17.68,44.16
urn:cite:ptolemy:lonlat.pt_ll_1775,'Pession',18.16,43.92
urn:cite:ptolemy:lonlat.pt_ll_1776,'Partiskon',18.4,43.68
