SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_5798,'to men pros tē Pannonia tē anō peras',12.28,42.60
urn:cite:ptolemy:lonlat.pt_ll_5799,'to de epi ton Adrian kolpon',12.28,42.36
urn:cite:ptolemy:lonlat.pt_ll_5800,'tou kata to Skardon oros peratos',19.84,40.08
urn:cite:ptolemy:lonlat.pt_ll_5801,'peras',18.4,39.60
urn:cite:ptolemy:lonlat.pt_ll_1043,'Alouōna',12.52,42.48
urn:cite:ptolemy:lonlat.pt_ll_1044,'Phlanōna',12.64,42.36
urn:cite:ptolemy:lonlat.pt_ll_1045,'Tarsatika',13.12,42.30
urn:cite:ptolemy:lonlat.pt_ll_5164,'Oineōs potamou ekbolai',13.36,42.30
urn:cite:ptolemy:lonlat.pt_ll_1046,'Ouolkera',13.72,42.30
urn:cite:ptolemy:lonlat.pt_ll_1047,'Senia',14.08,42.24
urn:cite:ptolemy:lonlat.pt_ll_1048,'Lopsika',14.26,42.24
urn:cite:ptolemy:lonlat.pt_ll_5174,'Tēdaniou potamou ekbolai',14.32,42.12
urn:cite:ptolemy:lonlat.pt_ll_1049,'Ortopla',14.8,42.12
urn:cite:ptolemy:lonlat.pt_ll_1050,'Ouegia',15.04,42.12
urn:cite:ptolemy:lonlat.pt_ll_1051,'Argurounton',15.34,41.88
urn:cite:ptolemy:lonlat.pt_ll_5668,'Korinion',15.64,41.76
urn:cite:ptolemy:lonlat.pt_ll_1052,'Ainōna',15.88,41.76
urn:cite:ptolemy:lonlat.pt_ll_1053,'Iader kolōnia',16.24,41.58
urn:cite:ptolemy:lonlat.pt_ll_1054,'Titou potamou ekbolai',16.48,41.16
urn:cite:ptolemy:lonlat.pt_ll_1055,'Skardōna',16.72,41.40
urn:cite:ptolemy:lonlat.pt_ll_1056,'Sikoun',16.96,41.28
urn:cite:ptolemy:lonlat.pt_ll_1057,'Salōnai kolōnia',17.2,41.16
urn:cite:ptolemy:lonlat.pt_ll_1058,'Epetion',17.44,41.04
urn:cite:ptolemy:lonlat.pt_ll_1059,'Pigountion',17.68,40.86
urn:cite:ptolemy:lonlat.pt_ll_1060,'Onaion',17.68,40.68
urn:cite:ptolemy:lonlat.pt_ll_1061,'Narōnos potamou ekbolai',18.04,40.56
urn:cite:ptolemy:lonlat.pt_ll_1062,'Epidauros',18.16,40.56
urn:cite:ptolemy:lonlat.pt_ll_1063,'Rhisinon',18.16,40.50
urn:cite:ptolemy:lonlat.pt_ll_1064,'Akrouion',18.22,40.32
urn:cite:ptolemy:lonlat.pt_ll_1065,'Rhizonikos kolpos',18.4,40.32
urn:cite:ptolemy:lonlat.pt_ll_1066,'Boudoua',18.4,40.14
urn:cite:ptolemy:lonlat.pt_ll_1067,'Oulkinion',18.4,39.96
urn:cite:ptolemy:lonlat.pt_ll_1068,'Drilōnos potamou ekbolai',18.4,39.84
urn:cite:ptolemy:lonlat.pt_ll_1069,'Lissos',18.4,39.72
urn:cite:ptolemy:lonlat.pt_ll_1070,'ho Drilōn potamos',18.88,40.80
urn:cite:ptolemy:lonlat.pt_ll_1071,'Tediaston',14.08,42.36
urn:cite:ptolemy:lonlat.pt_ll_1072,'Aroukkia',14.44,42.30
urn:cite:ptolemy:lonlat.pt_ll_1073,'Ardōtion',14.8,42.36
urn:cite:ptolemy:lonlat.pt_ll_1074,'Stoulpi',14.44,42.24
urn:cite:ptolemy:lonlat.pt_ll_1075,'Kourkoum',15.16,42.12
urn:cite:ptolemy:lonlat.pt_ll_1076,'Ausankalei',15.88,42.30
urn:cite:ptolemy:lonlat.pt_ll_1077,'Ouarouaria',15.64,41.88
urn:cite:ptolemy:lonlat.pt_ll_1078,'Salouia',15.76,42.24
urn:cite:ptolemy:lonlat.pt_ll_1079,'Adra',16.6,42.24
urn:cite:ptolemy:lonlat.pt_ll_1080,'Arauzōna',16.6,42.00
urn:cite:ptolemy:lonlat.pt_ll_1081,'Assesia',16.42,42.00
urn:cite:ptolemy:lonlat.pt_ll_1082,'Bournon',16.78,42.00
urn:cite:ptolemy:lonlat.pt_ll_1083,'Sidrōna',17.32,42.12
urn:cite:ptolemy:lonlat.pt_ll_1084,'Blanōna',16.36,41.76
urn:cite:ptolemy:lonlat.pt_ll_1085,'Ōouporoum',16.96,41.76
urn:cite:ptolemy:lonlat.pt_ll_1086,'Nēdinon',18.04,41.94
