SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_6212,'Surastrēnēs en kolpō, kaloumenō Kanthi',64.84,24.48
urn:cite:ptolemy:lonlat.pt_ll_6213,'Sagapa',65.44,24.36
urn:cite:ptolemy:lonlat.pt_ll_6214,'Sinthōn',65.68,24.36
urn:cite:ptolemy:lonlat.pt_ll_6215,'Khrusoun',66.16,24.36
urn:cite:ptolemy:lonlat.pt_ll_6216,'Khariphron',66.4,24.36
urn:cite:ptolemy:lonlat.pt_ll_6217,'Sapara',67.0,24.36
urn:cite:ptolemy:lonlat.pt_ll_6218,'Sabalaessa',67.36,24.66
urn:cite:ptolemy:lonlat.pt_ll_6219,'Lōnibare',67.72,24.66
urn:cite:ptolemy:lonlat.pt_ll_6220,'Bardaxēma polis',67.84,24.24
urn:cite:ptolemy:lonlat.pt_ll_4683,'Surastra kōmē',68.08,24.12
urn:cite:ptolemy:lonlat.pt_ll_4684,'Monoglōsson emporion',68.2,23.52
urn:cite:ptolemy:lonlat.pt_ll_4685,'Mōphidos potamou ekbolai',68.08,23.28
urn:cite:ptolemy:lonlat.pt_ll_5604,'Pakidarē kōmē',67.36,22.92
urn:cite:ptolemy:lonlat.pt_ll_4686,'Maleō akron',65.92,22.68
urn:cite:ptolemy:lonlat.pt_ll_4687,'Kamanē',66.64,22.32
urn:cite:ptolemy:lonlat.pt_ll_4688,'Namadou potamou ekbolai',66.64,22.86
urn:cite:ptolemy:lonlat.pt_ll_4689,'Nousaripa',67.0,21.96
urn:cite:ptolemy:lonlat.pt_ll_4690,'Poulipoula',67.0,21.60
urn:cite:ptolemy:lonlat.pt_ll_4691,'Soupara',67.0,21.24
urn:cite:ptolemy:lonlat.pt_ll_4692,'Goarios potamou ekbolai',66.82,21.00
urn:cite:ptolemy:lonlat.pt_ll_4693,'Dougga',66.28,20.88
urn:cite:ptolemy:lonlat.pt_ll_4694,'Bēnda potamou ekbolai',65.56,20.88
urn:cite:ptolemy:lonlat.pt_ll_4695,'Simulla emporion kai akra',65.2,20.70
urn:cite:ptolemy:lonlat.pt_ll_4696,'Hippokoura',66.46,20.28
urn:cite:ptolemy:lonlat.pt_ll_4697,'Baltipatna',66.28,20.40
urn:cite:ptolemy:lonlat.pt_ll_4698,'Mandagara',67.36,20.16
urn:cite:ptolemy:lonlat.pt_ll_4699,'Buzanteion',67.84,20.64
urn:cite:ptolemy:lonlat.pt_ll_4700,'Khersonēsos',68.32,20.52
urn:cite:ptolemy:lonlat.pt_ll_4701,'Armagara',68.32,20.40
urn:cite:ptolemy:lonlat.pt_ll_5605,'Nanagouna potamou ekbolai',68.44,20.04
urn:cite:ptolemy:lonlat.pt_ll_4702,'Nitra emporion',69.16,20.64
urn:cite:ptolemy:lonlat.pt_ll_4703,'Tundis polis',69.52,20.52
urn:cite:ptolemy:lonlat.pt_ll_4704,'Bramagara',70.06,20.40
urn:cite:ptolemy:lonlat.pt_ll_4705,'Kalaikarias',70.0,20.16
urn:cite:ptolemy:lonlat.pt_ll_4706,'Mouziris emporion',70.24,20.16
urn:cite:ptolemy:lonlat.pt_ll_5606,'Pseudostomou potamou ekbolai',70.48,20.16
urn:cite:ptolemy:lonlat.pt_ll_4707,'Podoperoura',70.72,20.34
urn:cite:ptolemy:lonlat.pt_ll_4708,'Semnē',70.96,20.40
urn:cite:ptolemy:lonlat.pt_ll_4709,'Koreoura',71.44,20.40
urn:cite:ptolemy:lonlat.pt_ll_4710,'Bakarei',72.04,20.52
urn:cite:ptolemy:lonlat.pt_ll_4711,'Barios potamou ekbolai',72.4,20.40
urn:cite:ptolemy:lonlat.pt_ll_4712,'Melkunda',72.64,20.40
urn:cite:ptolemy:lonlat.pt_ll_4713,'Elagkōn',72.88,20.16
urn:cite:ptolemy:lonlat.pt_ll_4714,'Kottiara mētropolis',73.12,20.16
urn:cite:ptolemy:lonlat.pt_ll_4715,'Bammala',73.36,20.34
urn:cite:ptolemy:lonlat.pt_ll_4716,'Komaria akron kai polis',73.66,19.80
urn:cite:ptolemy:lonlat.pt_ll_4717,'Sōsikourai',73.84,20.52
urn:cite:ptolemy:lonlat.pt_ll_4718,'Kolkhoi emporion',74.56,20.88
urn:cite:ptolemy:lonlat.pt_ll_4719,'Sōlēnos potamou ekbolai',75.28,20.64
urn:cite:ptolemy:lonlat.pt_ll_6221,'Kōru akron to kai Kalligikon',76.48,19.68
urn:cite:ptolemy:lonlat.pt_ll_4720,'Argeirou polis',76.18,20.52
urn:cite:ptolemy:lonlat.pt_ll_4721,'Salour emporion',76.24,21.24
urn:cite:ptolemy:lonlat.pt_ll_4722,'Nikama mētropolis',76.72,21.60
urn:cite:ptolemy:lonlat.pt_ll_4723,'Thelkheir',77.44,21.72
urn:cite:ptolemy:lonlat.pt_ll_4724,'Kouroula polis',78.16,21.60
urn:cite:ptolemy:lonlat.pt_ll_4725,'Khabērou potamou ekbolai',78.88,21.06
urn:cite:ptolemy:lonlat.pt_ll_4726,'Khabēris emporion',78.52,21.36
urn:cite:ptolemy:lonlat.pt_ll_4727,'Sabouras emporion',79.6,20.52
urn:cite:ptolemy:lonlat.pt_ll_4728,'Pōdoukē emporion',79.78,20.70
