SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_5884,'Aithiopia ek tou autou mesēmbrinou mekhri peratos',22.9,12.36
urn:cite:ptolemy:lonlat.pt_ll_5885,'Megan kaloumenon kolpon',-3.92,12.96
urn:cite:ptolemy:lonlat.pt_ll_5886,'Soubou potamou ekbolai',-7.52,28.08
urn:cite:ptolemy:lonlat.pt_ll_2934,'Salathou potamou ekbolai',-7.28,25.92
urn:cite:ptolemy:lonlat.pt_ll_2935,'Salathos polis',-7.04,25.92
urn:cite:ptolemy:lonlat.pt_ll_2936,'Khousarios potamou ekbolai',-6.8,25.68
urn:cite:ptolemy:lonlat.pt_ll_2937,'Gannaria akra',-7.16,24.84
urn:cite:ptolemy:lonlat.pt_ll_2938,'Ophiōdous potamou ekbolai',-6.8,24.48
urn:cite:ptolemy:lonlat.pt_ll_5331,'Begazei ē Bagaza polis',-6.08,23.76
urn:cite:ptolemy:lonlat.pt_ll_5111,'Nouiou potamou ekbolai',-6.8,23.28
urn:cite:ptolemy:lonlat.pt_ll_5332,'Salouentiaakra',-7.16,22.68
urn:cite:ptolemy:lonlat.pt_ll_2939,'Massa potamou ekbolai',-6.44,21.96
urn:cite:ptolemy:lonlat.pt_ll_2940,'Iarzeitha polis',-6.8,21.24
urn:cite:ptolemy:lonlat.pt_ll_5333,'Daradou ē Darados potamou ekbolai',-6.8,20.88
urn:cite:ptolemy:lonlat.pt_ll_2941,'megas limēn',-6.8,20.16
urn:cite:ptolemy:lonlat.pt_ll_2942,'Babiba ē Babiga polis',-6.44,19.44
urn:cite:ptolemy:lonlat.pt_ll_2943,'Arsinarion akron',-8.24,18.72
urn:cite:ptolemy:lonlat.pt_ll_2944,'Rhussadion akron',-7.88,18.36
urn:cite:ptolemy:lonlat.pt_ll_5334,'Stakheirospotamou ekbolai',-7.16,18.00
urn:cite:ptolemy:lonlat.pt_ll_2945,'Perphōsios ē Periphōsios limēn',-6.08,17.64
urn:cite:ptolemy:lonlat.pt_ll_2946,'Katharon akron',-5.0,16.92
urn:cite:ptolemy:lonlat.pt_ll_2947,'Nia potamou ekbolai',-4.28,16.56
urn:cite:ptolemy:lonlat.pt_ll_5336,'Hesperou keras, akron',-4.64,15.84
urn:cite:ptolemy:lonlat.pt_ll_2948,'Massitholou potamou ekbolai',-3.92,14.88
urn:cite:ptolemy:lonlat.pt_ll_2949,'Hupodromos Aithiopias',-3.92,13.86
urn:cite:ptolemy:lonlat.pt_ll_5887,'to meson',-3.92,23.76
urn:cite:ptolemy:lonlat.pt_ll_5888,'to kaloumenon Sagapolaoros',-4.64,25.92
urn:cite:ptolemy:lonlat.pt_ll_5889,'to Rhussadion oros',-1.76,18.00
urn:cite:ptolemy:lonlat.pt_ll_5890,'to kaloumenon Theōn okhēma oros',-0.32,13.68
urn:cite:ptolemy:lonlat.pt_ll_5891,'ho Kaphas oros',5.44,17.28
urn:cite:ptolemy:lonlat.pt_ll_5892,'to kaloumenon Ousargalaoros',9.76,24.84
urn:cite:ptolemy:lonlat.pt_ll_5893,'eisballei eis tēn thalassan kata thesin',10.48,33.60
urn:cite:ptolemy:lonlat.pt_ll_5337,'ho Kinupspotamos',14.8,25.20
urn:cite:ptolemy:lonlat.pt_ll_2950,'kai',18.4,25.20
urn:cite:ptolemy:lonlat.pt_ll_2951,'hai de sunaphai tōn duo theseōn',16.24,28.08
urn:cite:ptolemy:lonlat.pt_ll_5338,'to kaloumenon Thala oros',13.36,17.28
urn:cite:ptolemy:lonlat.pt_ll_2952,'hē Garamantikē pharagx',22.0,17.28
urn:cite:ptolemy:lonlat.pt_ll_2953,'ho Aroualtēs oros',9.76,12.24
urn:cite:ptolemy:lonlat.pt_ll_2954,'ho Aragkas ē Araggas oros',20.2,11.22
urn:cite:ptolemy:lonlat.pt_ll_5339,'ho ektrapeis potamos',16.24,17.40
urn:cite:ptolemy:lonlat.pt_ll_5340,'tas Khelōnidas limnas',21.28,24.48
urn:cite:ptolemy:lonlat.pt_ll_5341,'heteron potamon',19.12,21.60
urn:cite:ptolemy:lonlat.pt_ll_5342,'tēn Noubalimnēn',22.0,20.88
urn:cite:ptolemy:lonlat.pt_ll_5894,'Nigritin limnēn',-3.2,23.04
urn:cite:ptolemy:lonlat.pt_ll_5895,'limnēn Libuēn',11.2,21.96
urn:cite:ptolemy:lonlat.pt_ll_5896,'ektropēn mian epi ton Daradon potamon kata duo theseis',1.12,22.32
urn:cite:ptolemy:lonlat.pt_ll_2955,'kai',1.12,19.80
urn:cite:ptolemy:lonlat.pt_ll_2956,'Autolala ē Autolatai',-6.8,27.24
urn:cite:ptolemy:lonlat.pt_ll_5343,'Thouēlath',-5.72,25.68
urn:cite:ptolemy:lonlat.pt_ll_2957,'Tagana',-5.0,24.66
urn:cite:ptolemy:lonlat.pt_ll_2958,'Magoura',-5.0,20.88
urn:cite:ptolemy:lonlat.pt_ll_2959,'Oubrix',-3.68,19.68
urn:cite:ptolemy:lonlat.pt_ll_2960,'Iarzeitha ē Arzeitha',-2.24,18.90
urn:cite:ptolemy:lonlat.pt_ll_2961,'Taloubath',-0.56,26.40
urn:cite:ptolemy:lonlat.pt_ll_2962,'Malakhath',0.64,24.66
urn:cite:ptolemy:lonlat.pt_ll_2963,'Toukaba',-1.04,24.12
urn:cite:ptolemy:lonlat.pt_ll_5344,'Buntha',0.58,25.20
urn:cite:ptolemy:lonlat.pt_ll_2964,'Anugath',0.76,20.16
urn:cite:ptolemy:lonlat.pt_ll_2965,'Pessidē',-0.32,23.04
urn:cite:ptolemy:lonlat.pt_ll_2966,'Thigē',1.12,22.68
urn:cite:ptolemy:lonlat.pt_ll_2967,'Kouphē',2.74,23.04
urn:cite:ptolemy:lonlat.pt_ll_2968,'Nigeira mētropolis',4.48,22.80
urn:cite:ptolemy:lonlat.pt_ll_2969,'Ouellegeia',6.52,20.88
urn:cite:ptolemy:lonlat.pt_ll_2970,'Tagama',7.6,21.06
urn:cite:ptolemy:lonlat.pt_ll_2971,'Panagra',10.48,22.08
urn:cite:ptolemy:lonlat.pt_ll_2972,'Thoupai ē Thouppai',-2.12,22.08
urn:cite:ptolemy:lonlat.pt_ll_2973,'Pounsē ē Pounsa',-1.04,22.32
urn:cite:ptolemy:lonlat.pt_ll_2974,'Saloukē ē Salouka',0.04,22.32
urn:cite:ptolemy:lonlat.pt_ll_5345,'Thamondakana',2.56,22.32
urn:cite:ptolemy:lonlat.pt_ll_5346,'Doudoum',8.32,20.88
urn:cite:ptolemy:lonlat.pt_ll_2975,'Silikē',6.88,27.72
urn:cite:ptolemy:lonlat.pt_ll_2976,'Bouthouris ē Bouthouros',8.32,27.36
urn:cite:ptolemy:lonlat.pt_ll_2977,'Anoigath ē Anugath',9.76,27.36
urn:cite:ptolemy:lonlat.pt_ll_2978,'Thaboudis',10.48,25.92
urn:cite:ptolemy:lonlat.pt_ll_2979,'Sikkathorion',10.48,26.64
urn:cite:ptolemy:lonlat.pt_ll_5347,'Kapson',10.48,25.20
urn:cite:ptolemy:lonlat.pt_ll_2980,'Gelanos',14.8,27.72
urn:cite:ptolemy:lonlat.pt_ll_5348,'Ouanios',15.52,26.40
urn:cite:ptolemy:lonlat.pt_ll_2981,'Sabai',16.96,26.64
urn:cite:ptolemy:lonlat.pt_ll_2982,'Boouta',14.08,25.56
urn:cite:ptolemy:lonlat.pt_ll_2983,'Bedeiron',15.52,26.64
urn:cite:ptolemy:lonlat.pt_ll_2984,'Garamē mētropolis',16.96,25.56
urn:cite:ptolemy:lonlat.pt_ll_2985,'Thoumelitha',16.96,23.76
urn:cite:ptolemy:lonlat.pt_ll_2986,'Geira mētropolis',11.92,23.04
urn:cite:ptolemy:lonlat.pt_ll_5349,'Thukimath',13.36,24.24
urn:cite:ptolemy:lonlat.pt_ll_2987,'Gēoua',14.08,23.76
urn:cite:ptolemy:lonlat.pt_ll_2988,'Badiath',14.8,22.32
urn:cite:ptolemy:lonlat.pt_ll_2989,'Iskherei',15.88,21.96
urn:cite:ptolemy:lonlat.pt_ll_2990,'Toukroumouda',15.88,21.24
urn:cite:ptolemy:lonlat.pt_ll_5350,'Thouppa',16.96,22.80
urn:cite:ptolemy:lonlat.pt_ll_2991,'Artageira',18.04,23.04
urn:cite:ptolemy:lonlat.pt_ll_2992,'Rhoubounē',19.12,23.76
urn:cite:ptolemy:lonlat.pt_ll_2993,'Lugxama',20.92,24.96
urn:cite:ptolemy:lonlat.pt_ll_2994,'Kernē nēsos',-10.4,28.56
urn:cite:ptolemy:lonlat.pt_ll_5351,'Hērashē kai Autolala nēsos',-8.24,27.24
urn:cite:ptolemy:lonlat.pt_ll_2995,'Aprositos nēsos',36.4,21.60
urn:cite:ptolemy:lonlat.pt_ll_2996,'Hēras nēsos',-13.28,21.06
urn:cite:ptolemy:lonlat.pt_ll_5112,'Plouitala nēsos',36.4,20.34
urn:cite:ptolemy:lonlat.pt_ll_5352,'Kasperia nēsos',36.4,19.08
urn:cite:ptolemy:lonlat.pt_ll_2997,'Kanaria nēsos',-13.28,18.00
urn:cite:ptolemy:lonlat.pt_ll_5353,'Pintouria ē Kentouria nēsos',36.4,17.64
