SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_6339,'tōn Ouarou tou potamou ekbolōn, hōn thesis',5.8,41.04
urn:cite:ptolemy:lonlat.pt_ll_1114,'Nikaia',6.16,41.10
urn:cite:ptolemy:lonlat.pt_ll_1115,'Hērakleous limēn',6.34,40.86
urn:cite:ptolemy:lonlat.pt_ll_1116,'Tropaia Sebastou',6.52,40.68
urn:cite:ptolemy:lonlat.pt_ll_1117,'Monoikou limēn',6.64,40.80
urn:cite:ptolemy:lonlat.pt_ll_1118,'Albintimilion',7.0,40.86
urn:cite:ptolemy:lonlat.pt_ll_1119,'Albiggaunon',7.24,40.86
urn:cite:ptolemy:lonlat.pt_ll_1120,'Genoua',7.6,40.92
urn:cite:ptolemy:lonlat.pt_ll_1121,'Entella potamou ekbolai',7.96,40.92
urn:cite:ptolemy:lonlat.pt_ll_1122,'Tigoullia',8.02,40.98
urn:cite:ptolemy:lonlat.pt_ll_1123,'Makralla potamou ekbolai',8.92,40.86
urn:cite:ptolemy:lonlat.pt_ll_1124,'ektropē Boakiou potamou',8.68,41.04
urn:cite:ptolemy:lonlat.pt_ll_1125,'Louna',9.04,40.86
urn:cite:ptolemy:lonlat.pt_ll_1126,'Selēnēs akron',9.04,40.80
urn:cite:ptolemy:lonlat.pt_ll_1127,'Hērakleous hieron',9.52,40.86
urn:cite:ptolemy:lonlat.pt_ll_1128,'Arnou potamou ekbolai',10.0,40.80
urn:cite:ptolemy:lonlat.pt_ll_1129,'Poplōnion polis',10.12,40.32
urn:cite:ptolemy:lonlat.pt_ll_1130,'Poplōnion akron',10.12,40.32
urn:cite:ptolemy:lonlat.pt_ll_1131,'Traianos limēn',10.48,40.44
urn:cite:ptolemy:lonlat.pt_ll_1132,'Telamōn akron',10.66,40.32
urn:cite:ptolemy:lonlat.pt_ll_1133,'Osa potamou ekbolai',10.84,40.32
urn:cite:ptolemy:lonlat.pt_ll_1134,'Kossai',11.2,40.26
urn:cite:ptolemy:lonlat.pt_ll_1135,'Graouiskai',11.44,40.14
urn:cite:ptolemy:lonlat.pt_ll_1136,'Kastron Neon',11.68,40.08
urn:cite:ptolemy:lonlat.pt_ll_1137,'Purgoi',11.92,40.08
urn:cite:ptolemy:lonlat.pt_ll_1138,'Alsion',12.1,40.08
urn:cite:ptolemy:lonlat.pt_ll_1139,'Tiberios potamou ekbolai',12.28,39.96
urn:cite:ptolemy:lonlat.pt_ll_1140,'hē pros dusmas epistrophē tou pot.',12.28,40.32
urn:cite:ptolemy:lonlat.pt_ll_1141,'Ōstia',12.28,39.96
urn:cite:ptolemy:lonlat.pt_ll_1142,'Antion',12.52,39.84
urn:cite:ptolemy:lonlat.pt_ll_1143,'Klōstra',12.76,39.84
urn:cite:ptolemy:lonlat.pt_ll_1144,'Kirkaion akron',13.0,39.72
urn:cite:ptolemy:lonlat.pt_ll_1145,'Tarrakinai',13.18,39.78
urn:cite:ptolemy:lonlat.pt_ll_1146,'Phormiai',13.48,39.78
urn:cite:ptolemy:lonlat.pt_ll_1147,'Lirios potamou ekbolai',13.6,39.78
urn:cite:ptolemy:lonlat.pt_ll_1148,'Sinoessa',13.72,39.84
urn:cite:ptolemy:lonlat.pt_ll_1149,'Ouoltournon',13.9,39.66
urn:cite:ptolemy:lonlat.pt_ll_1150,'Liternon',14.2,39.72
urn:cite:ptolemy:lonlat.pt_ll_1151,'Koumai',14.32,39.72
urn:cite:ptolemy:lonlat.pt_ll_1152,'Misēnoi',14.44,39.60
urn:cite:ptolemy:lonlat.pt_ll_1153,'Pouteoloi',14.68,39.60
urn:cite:ptolemy:lonlat.pt_ll_1154,'Neapolis',14.8,39.54
urn:cite:ptolemy:lonlat.pt_ll_1155,'Sarnou potamou ekbolai',14.86,39.54
urn:cite:ptolemy:lonlat.pt_ll_1156,'Sourrenton',14.8,39.36
urn:cite:ptolemy:lonlat.pt_ll_1157,'Salernon',14.8,39.24
urn:cite:ptolemy:lonlat.pt_ll_1158,'Silarou potamou ekbolai',14.86,39.06
urn:cite:ptolemy:lonlat.pt_ll_1159,'Paiston',14.92,38.88
urn:cite:ptolemy:lonlat.pt_ll_1160,'Oueliai',15.04,38.70
urn:cite:ptolemy:lonlat.pt_ll_1161,'Bouxenton',14.8,38.52
urn:cite:ptolemy:lonlat.pt_ll_1162,'Laou potamou ekbolai',14.8,38.34
urn:cite:ptolemy:lonlat.pt_ll_1163,'Tempsa',14.8,38.16
urn:cite:ptolemy:lonlat.pt_ll_1164,'Taurianos skopelos',14.92,37.98
urn:cite:ptolemy:lonlat.pt_ll_1165,'Hippōniatēs kolpos',15.04,37.98
urn:cite:ptolemy:lonlat.pt_ll_1166,'Skullaion akron',14.68,37.68
urn:cite:ptolemy:lonlat.pt_ll_1167,'Rhēgion Ioulion',14.68,37.62
urn:cite:ptolemy:lonlat.pt_ll_1168,'Leukopetra akra',14.68,37.44
urn:cite:ptolemy:lonlat.pt_ll_1169,'Zephurion akron',15.34,37.50
urn:cite:ptolemy:lonlat.pt_ll_1170,'Lokroi',15.4,37.74
