SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_5808,'tou epi ton Ponton peratos',25.6,42.24
urn:cite:ptolemy:lonlat.pt_ll_1841,'hē men kata Dinogeteian polin epistrophē',24.16,43.68
urn:cite:ptolemy:lonlat.pt_ll_5809,'ho kata Nouiodounon polin',25.48,43.56
urn:cite:ptolemy:lonlat.pt_ll_5810,'to men notiōtaton meros perilabon nēson kaloumenēn Peukēn',25.84,43.56
urn:cite:ptolemy:lonlat.pt_ll_5811,'stomati tō legomenō Hierō ē Peukē',26.32,43.38
urn:cite:ptolemy:lonlat.pt_ll_1842,'thesin',25.6,43.74
urn:cite:ptolemy:lonlat.pt_ll_5682,'thesin',25.96,43.92
urn:cite:ptolemy:lonlat.pt_ll_5683,'Thiagolan',26.08,44.10
urn:cite:ptolemy:lonlat.pt_ll_5684,'Thiagolan ē Psilon',26.5,43.92
urn:cite:ptolemy:lonlat.pt_ll_5685,'thesin',25.84,43.74
urn:cite:ptolemy:lonlat.pt_ll_5686,'stomati kaloumenō Boreiō',26.56,43.80
urn:cite:ptolemy:lonlat.pt_ll_1843,'to de mesēmbrinōteron',26.08,43.56
urn:cite:ptolemy:lonlat.pt_ll_5687,'stomati kaloumenō Narakiō',26.44,43.44
urn:cite:ptolemy:lonlat.pt_ll_1844,'to de arktikōteron',26.32,43.68
urn:cite:ptolemy:lonlat.pt_ll_1845,'stomati Pseudostomō',26.5,43.68
urn:cite:ptolemy:lonlat.pt_ll_5688,'stomati legomenō Kalō',26.5,43.56
urn:cite:ptolemy:lonlat.pt_ll_5812,'tou eirēmenou pros tē Thrakē peratos',25.6,42.24
urn:cite:ptolemy:lonlat.pt_ll_1846,'Pteron akron',26.56,43.20
urn:cite:ptolemy:lonlat.pt_ll_1847,'Istros polis',26.08,43.20
urn:cite:ptolemy:lonlat.pt_ll_1848,'Tomoi',25.6,43.08
urn:cite:ptolemy:lonlat.pt_ll_1849,'Kallatis',25.36,42.84
urn:cite:ptolemy:lonlat.pt_ll_1850,'Dionusopolis',25.12,42.66
urn:cite:ptolemy:lonlat.pt_ll_5689,'Tiristis akra',25.6,42.60
urn:cite:ptolemy:lonlat.pt_ll_1851,'Odēssos',25.48,42.48
urn:cite:ptolemy:lonlat.pt_ll_1852,'Panusou potamou ekbolai',25.42,42.36
urn:cite:ptolemy:lonlat.pt_ll_1853,'Mesēmbria',25.6,42.24
urn:cite:ptolemy:lonlat.pt_ll_1854,'Rhēgianon',22.0,41.52
urn:cite:ptolemy:lonlat.pt_ll_1855,'Oiskos Triballōn',22.72,41.76
urn:cite:ptolemy:lonlat.pt_ll_1856,'Diakon',22.96,42.00
urn:cite:ptolemy:lonlat.pt_ll_1857,'Noouai',23.44,42.24
urn:cite:ptolemy:lonlat.pt_ll_1858,'Trimammion',23.68,42.36
urn:cite:ptolemy:lonlat.pt_ll_1859,'Pristē polis',23.92,42.60
urn:cite:ptolemy:lonlat.pt_ll_1860,'Dourostoron, legiōn',24.34,42.66
urn:cite:ptolemy:lonlat.pt_ll_1861,'Legiōn prōtē Italikē Tramariska',24.52,42.84
urn:cite:ptolemy:lonlat.pt_ll_1862,'Soukidaua',24.88,42.96
urn:cite:ptolemy:lonlat.pt_ll_1863,'Axioupolis',25.12,43.02
urn:cite:ptolemy:lonlat.pt_ll_1864,'Karsoum',25.0,43.08
urn:cite:ptolemy:lonlat.pt_ll_1865,'Troismis',24.88,43.44
urn:cite:ptolemy:lonlat.pt_ll_1866,'LegiōnMakedonikē Dinogeteia',24.28,43.68
urn:cite:ptolemy:lonlat.pt_ll_1867,'Nouiodounon',25.36,43.56
urn:cite:ptolemy:lonlat.pt_ll_1868,'Sitioenta',25.6,43.56
urn:cite:ptolemy:lonlat.pt_ll_1869,'Daousdaua',24.16,42.24
urn:cite:ptolemy:lonlat.pt_ll_1870,'Tibiska',25.6,43.44
urn:cite:ptolemy:lonlat.pt_ll_5690,'tas tou Borusthenous ekbolas',27.4,45.00
urn:cite:ptolemy:lonlat.pt_ll_1871,'Axiakou pot. ekbolai',27.04,44.64
urn:cite:ptolemy:lonlat.pt_ll_1872,'Phuskē polis',26.8,44.40
urn:cite:ptolemy:lonlat.pt_ll_1873,'Tura potamou ekbolai',26.56,44.40
urn:cite:ptolemy:lonlat.pt_ll_1874,'Hermōnaktos kōmē',26.5,44.28
urn:cite:ptolemy:lonlat.pt_ll_1875,'Arpis polis',26.32,44.10
urn:cite:ptolemy:lonlat.pt_ll_1876,'Zargidaua',25.36,44.46
urn:cite:ptolemy:lonlat.pt_ll_1877,'Tamasidaua',25.12,44.28
urn:cite:ptolemy:lonlat.pt_ll_1878,'Piroboridaua',24.88,43.92
urn:cite:ptolemy:lonlat.pt_ll_1879,'Nikōnion',26.56,44.76
urn:cite:ptolemy:lonlat.pt_ll_1880,'Ophioussa',26.32,44.64
urn:cite:ptolemy:lonlat.pt_ll_1881,'Turas polis',26.32,44.40
urn:cite:ptolemy:lonlat.pt_ll_5813,'hē te kaloumenē Borusthenēs nēsos',27.22,44.40
urn:cite:ptolemy:lonlat.pt_ll_5814,'hē Akhilleōs ē Leukē nēsos',27.4,44.40
