SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_5796,'ho Saouos potamos',18.4,42.12
urn:cite:ptolemy:lonlat.pt_ll_1017,'hē kata Kourtan kampē',16.24,43.92
urn:cite:ptolemy:lonlat.pt_ll_5163,'to arktikōtaton tou Danoubiou potamou',16.6,44.64
urn:cite:ptolemy:lonlat.pt_ll_5175,'Daros',17.92,42.96
urn:cite:ptolemy:lonlat.pt_ll_1018,'hē kata Kornakon epistrophē tou Danoubiou potamou',17.92,42.66
urn:cite:ptolemy:lonlat.pt_ll_5173,'hē kat Akouminkon epistrophē',18.4,42.72
urn:cite:ptolemy:lonlat.pt_ll_1019,'hē kata Rhittion epistrophē',18.76,42.48
urn:cite:ptolemy:lonlat.pt_ll_5797,'to kata tēn ektropēn Saouou tou potamou',18.4,42.12
urn:cite:ptolemy:lonlat.pt_ll_1020,'Kourta',16.24,43.92
urn:cite:ptolemy:lonlat.pt_ll_1021,'Soloua',16.6,44.28
urn:cite:ptolemy:lonlat.pt_ll_1022,'Karpis',16.6,44.52
urn:cite:ptolemy:lonlat.pt_ll_1023,'Akouinkon',16.96,44.28
urn:cite:ptolemy:lonlat.pt_ll_1024,'Salinon',17.32,43.92
urn:cite:ptolemy:lonlat.pt_ll_1025,'Loussonion',17.5,43.74
urn:cite:ptolemy:lonlat.pt_ll_1026,'Lougiōnon',17.68,43.56
urn:cite:ptolemy:lonlat.pt_ll_1027,'Teutobourgion',17.86,42.96
urn:cite:ptolemy:lonlat.pt_ll_1028,'Kornakon',17.92,42.66
urn:cite:ptolemy:lonlat.pt_ll_5666,'Akouminkon',18.4,42.72
urn:cite:ptolemy:lonlat.pt_ll_1029,'Rhittion',18.76,42.48
urn:cite:ptolemy:lonlat.pt_ll_1030,'Taurounon',18.4,42.12
urn:cite:ptolemy:lonlat.pt_ll_1031,'Berbis',16.24,43.20
urn:cite:ptolemy:lonlat.pt_ll_1032,'Serbition',15.76,43.56
urn:cite:ptolemy:lonlat.pt_ll_5667,'Iouballon',16.48,43.20
urn:cite:ptolemy:lonlat.pt_ll_1033,'Kertissa',16.48,42.72
urn:cite:ptolemy:lonlat.pt_ll_1034,'Moursella',16.96,43.20
urn:cite:ptolemy:lonlat.pt_ll_1035,'Kibalis',16.96,42.84
urn:cite:ptolemy:lonlat.pt_ll_1036,'Marsonia',16.96,42.48
urn:cite:ptolemy:lonlat.pt_ll_1037,'Ouakontion',17.32,43.56
urn:cite:ptolemy:lonlat.pt_ll_1038,'Moursia kolōnia',17.32,43.02
urn:cite:ptolemy:lonlat.pt_ll_1039,'Saldis',17.68,42.24
urn:cite:ptolemy:lonlat.pt_ll_1040,'Bassiana',18.04,42.36
urn:cite:ptolemy:lonlat.pt_ll_1041,'Tarsion',18.04,42.18
urn:cite:ptolemy:lonlat.pt_ll_1042,'Sirmion',18.28,42.48
