SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_692,'Briouatēs limēn',-1.28,45.18
urn:cite:ptolemy:lonlat.pt_ll_693,'Hēriou pot. ekbolai',-1.76,45.54
urn:cite:ptolemy:lonlat.pt_ll_694,'Ouidana limēn',-2.12,45.84
urn:cite:ptolemy:lonlat.pt_ll_695,'Gabaion akron',-3.02,45.90
urn:cite:ptolemy:lonlat.pt_ll_696,'Saliokanos limēn',-2.12,46.08
urn:cite:ptolemy:lonlat.pt_ll_697,'Titou pot. ekbolai',-1.52,46.32
urn:cite:ptolemy:lonlat.pt_ll_5151,'Arēgenoua',-1.04,46.44
urn:cite:ptolemy:lonlat.pt_ll_5152,'Kroukiatonnon',-0.44,46.32
urn:cite:ptolemy:lonlat.pt_ll_698,'Olina pot. ekbolai',-0.5,46.80
urn:cite:ptolemy:lonlat.pt_ll_699,'Noiomagos',0.04,46.92
urn:cite:ptolemy:lonlat.pt_ll_700,'Sēkoana pot. ekbolai',0.4,47.16
urn:cite:ptolemy:lonlat.pt_ll_701,'ton Sēkoanan potamon',3.28,44.16
urn:cite:ptolemy:lonlat.pt_ll_702,'peratos',4.0,42.84
urn:cite:ptolemy:lonlat.pt_ll_703,'kemmena orē',0.64,42.12
urn:cite:ptolemy:lonlat.pt_ll_704,'Iouliobona',0.58,47.04
urn:cite:ptolemy:lonlat.pt_ll_705,'Ouorgon',-1.28,46.20
urn:cite:ptolemy:lonlat.pt_ll_706,'Darioriton',-1.52,45.54
urn:cite:ptolemy:lonlat.pt_ll_707,'Noiodounon',-1.04,46.08
urn:cite:ptolemy:lonlat.pt_ll_708,'Ouagoriton',-0.56,46.08
urn:cite:ptolemy:lonlat.pt_ll_709,'Rhatomagos',0.52,46.32
urn:cite:ptolemy:lonlat.pt_ll_710,'Iouliomagos',-0.44,45.36
urn:cite:ptolemy:lonlat.pt_ll_711,'Ouindinon',0.94,45.60
urn:cite:ptolemy:lonlat.pt_ll_712,'Kondēouinkon',1.3,46.08
urn:cite:ptolemy:lonlat.pt_ll_713,'Ingena',1.66,46.62
urn:cite:ptolemy:lonlat.pt_ll_714,'Mediolanion',0.88,44.64
urn:cite:ptolemy:lonlat.pt_ll_715,'Kondate',0.88,44.16
urn:cite:ptolemy:lonlat.pt_ll_716,'Agēdikon',1.3,44.04
urn:cite:ptolemy:lonlat.pt_ll_717,'Autrikon',1.6,44.82
urn:cite:ptolemy:lonlat.pt_ll_718,'Kēnabon',1.84,44.52
urn:cite:ptolemy:lonlat.pt_ll_719,'Loukotekia',2.92,44.76
urn:cite:ptolemy:lonlat.pt_ll_720,'Augoustobona',2.92,44.46
urn:cite:ptolemy:lonlat.pt_ll_721,'Kaisarodounon',0.94,43.56
urn:cite:ptolemy:lonlat.pt_ll_722,'Rhodoumna',0.58,43.08
urn:cite:ptolemy:lonlat.pt_ll_723,'Phoros Segousiauōn',1.0,42.84
urn:cite:ptolemy:lonlat.pt_ll_724,'Iatinon',2.56,44.28
urn:cite:ptolemy:lonlat.pt_ll_725,'Noiomagos',3.52,43.56
urn:cite:ptolemy:lonlat.pt_ll_726,'Augoustodounon',3.04,43.56
urn:cite:ptolemy:lonlat.pt_ll_727,'Kabullinon',3.16,42.72
urn:cite:ptolemy:lonlat.pt_ll_728,'Lougdounon mētropolis',2.74,42.72
