SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_5762,'hai men ekbolai',-10.16,40.20
urn:cite:ptolemy:lonlat.pt_ll_276,'to de pros tō perati tēs Lousitanias toupotamou meros',-7.4,40.20
urn:cite:ptolemy:lonlat.pt_ll_277,'hai de pēgai tou potamou',-5.6,40.08
urn:cite:ptolemy:lonlat.pt_ll_278,'Balsa',-11.36,37.26
urn:cite:ptolemy:lonlat.pt_ll_279,'Ossonoba',-11.84,37.32
urn:cite:ptolemy:lonlat.pt_ll_280,'Hieron akrōtērion',-12.2,37.62
urn:cite:ptolemy:lonlat.pt_ll_281,'Kallipodos pot. ekbolai',-10.4,38.16
urn:cite:ptolemy:lonlat.pt_ll_282,'Salakeia',-10.34,38.46
urn:cite:ptolemy:lonlat.pt_ll_283,'Kaitobrix',-10.46,38.52
urn:cite:ptolemy:lonlat.pt_ll_284,'Barbarion akron',-10.52,38.76
urn:cite:ptolemy:lonlat.pt_ll_285,'Oliosipōn',-10.28,39.06
urn:cite:ptolemy:lonlat.pt_ll_286,'Tagou potamou ekbolai',-10.04,39.24
urn:cite:ptolemy:lonlat.pt_ll_287,'to mekhri tēs Tarrakōnēsias autou meros',-7.52,39.24
urn:cite:ptolemy:lonlat.pt_ll_288,'hai pēgai tou potamou',-5.6,39.42
urn:cite:ptolemy:lonlat.pt_ll_289,'Selēnēs oros, akron',-10.4,39.36
urn:cite:ptolemy:lonlat.pt_ll_290,'Monda potamou ekbolai',-10.28,39.48
urn:cite:ptolemy:lonlat.pt_ll_291,'Ouakou potamou ekbolai',-10.28,39.84
urn:cite:ptolemy:lonlat.pt_ll_292,'hai tou Doriou potamou ekbolai',-10.16,40.20
urn:cite:ptolemy:lonlat.pt_ll_293,'Pax Ioulia',-10.16,38.16
urn:cite:ptolemy:lonlat.pt_ll_294,'Ioulia Murtilis',-10.22,37.98
urn:cite:ptolemy:lonlat.pt_ll_295,'Lakkobriga',-9.86,39.06
urn:cite:ptolemy:lonlat.pt_ll_296,'Kaipiana',-10.16,38.88
urn:cite:ptolemy:lonlat.pt_ll_297,'Braitolaion',-9.68,38.88
urn:cite:ptolemy:lonlat.pt_ll_298,'Mirobriga',-10.16,38.70
urn:cite:ptolemy:lonlat.pt_ll_299,'Arkobriga',-9.92,38.58
urn:cite:ptolemy:lonlat.pt_ll_300,'Meribriga',-9.56,38.64
urn:cite:ptolemy:lonlat.pt_ll_301,'Katraleukos',-9.92,38.40
urn:cite:ptolemy:lonlat.pt_ll_302,'Purgoi leukoi',-9.56,38.40
urn:cite:ptolemy:lonlat.pt_ll_303,'Arandis',-9.56,38.22
urn:cite:ptolemy:lonlat.pt_ll_304,'Lauarē',-10.04,40.14
urn:cite:ptolemy:lonlat.pt_ll_305,'Arition',-9.92,39.96
urn:cite:ptolemy:lonlat.pt_ll_306,'Selion',-9.68,39.84
urn:cite:ptolemy:lonlat.pt_ll_307,'Elbokoris',-9.32,39.78
urn:cite:ptolemy:lonlat.pt_ll_308,'Aradoukta',-9.2,39.96
urn:cite:ptolemy:lonlat.pt_ll_309,'Ouerourion',-8.78,39.66
urn:cite:ptolemy:lonlat.pt_ll_310,'Ouelladis',-9.2,39.66
urn:cite:ptolemy:lonlat.pt_ll_311,'Aiminion',-8.72,39.60
urn:cite:ptolemy:lonlat.pt_ll_312,'Khrētina',-10.04,39.36
urn:cite:ptolemy:lonlat.pt_ll_313,'Arabriga',-9.92,39.24
urn:cite:ptolemy:lonlat.pt_ll_314,'Skalabis kolōnia',-9.68,39.54
urn:cite:ptolemy:lonlat.pt_ll_315,'Takoubis',-9.44,39.42
urn:cite:ptolemy:lonlat.pt_ll_316,'Konkordia',-9.2,39.24
urn:cite:ptolemy:lonlat.pt_ll_317,'Talabriga',-8.6,39.42
urn:cite:ptolemy:lonlat.pt_ll_318,'Rhoustikana',-8.48,39.24
urn:cite:ptolemy:lonlat.pt_ll_319,'Mendikoulēia',-9.08,39.06
urn:cite:ptolemy:lonlat.pt_ll_320,'Kaurion',-9.2,38.88
urn:cite:ptolemy:lonlat.pt_ll_321,'Tourmogon',-8.24,39.06
urn:cite:ptolemy:lonlat.pt_ll_322,'Bourdoua',-8.72,38.88
urn:cite:ptolemy:lonlat.pt_ll_323,'Kolarnon',-9.08,38.70
urn:cite:ptolemy:lonlat.pt_ll_324,'Sallaikos',-9.2,38.52
urn:cite:ptolemy:lonlat.pt_ll_325,'Ammaia',-8.96,38.40
urn:cite:ptolemy:lonlat.pt_ll_326,'Eboura',-8.96,38.22
urn:cite:ptolemy:lonlat.pt_ll_327,'Nōrba Kaisareia',-8.36,38.82
