SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_1947,'Durrakhion',18.4,39.54
urn:cite:ptolemy:lonlat.pt_ll_1948,'Panuasou pot. ekbolai',18.4,39.36
urn:cite:ptolemy:lonlat.pt_ll_1949,'Apsou potamou ekbolai',18.46,39.24
urn:cite:ptolemy:lonlat.pt_ll_1950,'Apollōnia',18.46,39.00
urn:cite:ptolemy:lonlat.pt_ll_1951,'Aōou potamou ekbolai',18.4,38.88
urn:cite:ptolemy:lonlat.pt_ll_1952,'Aulōn polis, epineion',18.28,38.82
urn:cite:ptolemy:lonlat.pt_ll_1953,'Boullis',18.4,38.70
urn:cite:ptolemy:lonlat.pt_ll_1954,'Amantia',18.34,38.52
urn:cite:ptolemy:lonlat.pt_ll_1955,'Keludnou pot. ekbolai',18.4,38.40
urn:cite:ptolemy:lonlat.pt_ll_5696,'hē thesis',21.28,37.80
urn:cite:ptolemy:lonlat.pt_ll_1956,'to Pindon oros',20.32,37.98
urn:cite:ptolemy:lonlat.pt_ll_5697,'hē thesis',22.72,37.74
urn:cite:ptolemy:lonlat.pt_ll_1957,'hē Oitē to oros',22.36,37.74
urn:cite:ptolemy:lonlat.pt_ll_1958,'ton Neston potamon',23.26,40.14
urn:cite:ptolemy:lonlat.pt_ll_1959,'Neapolis',22.9,40.14
urn:cite:ptolemy:lonlat.pt_ll_1960,'Oisumē',22.6,40.14
urn:cite:ptolemy:lonlat.pt_ll_1961,'Strumonos pot. ekbolai',22.18,39.90
urn:cite:ptolemy:lonlat.pt_ll_1962,'Arethousa',22.12,39.84
urn:cite:ptolemy:lonlat.pt_ll_1963,'Stageira',22.24,39.72
urn:cite:ptolemy:lonlat.pt_ll_1964,'Panormos limēn kai polis',22.48,39.60
urn:cite:ptolemy:lonlat.pt_ll_1965,'Athōs oros',22.72,39.72
urn:cite:ptolemy:lonlat.pt_ll_1966,'Athōs akron kai polis',22.9,39.78
urn:cite:ptolemy:lonlat.pt_ll_1967,'to meson tou orous',22.84,39.60
urn:cite:ptolemy:lonlat.pt_ll_1968,'Numphaion akron',22.84,39.42
urn:cite:ptolemy:lonlat.pt_ll_5698,'Stratonikē',22.66,39.54
urn:cite:ptolemy:lonlat.pt_ll_1969,'Akanthos',22.48,39.54
urn:cite:ptolemy:lonlat.pt_ll_1970,'Siggos',22.36,39.36
urn:cite:ptolemy:lonlat.pt_ll_1971,'Ampelos akra',22.9,39.24
urn:cite:ptolemy:lonlat.pt_ll_1972,'Derris akra',22.9,39.12
urn:cite:ptolemy:lonlat.pt_ll_1973,'Torōnē',22.54,39.18
urn:cite:ptolemy:lonlat.pt_ll_5699,'tou Torōnaikou kolpou ho mukhos',22.48,39.18
urn:cite:ptolemy:lonlat.pt_ll_5700,'Pallēnēs tēs khersonēsou ho aukhēn',22.72,38.94
urn:cite:ptolemy:lonlat.pt_ll_1974,'Kanastraion akron',22.9,38.82
urn:cite:ptolemy:lonlat.pt_ll_1975,'Kassandreia',22.78,38.88
urn:cite:ptolemy:lonlat.pt_ll_1976,'Khabrios potamou ekbolai',22.48,38.94
urn:cite:ptolemy:lonlat.pt_ll_1977,'Gigōnis akra',22.36,38.94
urn:cite:ptolemy:lonlat.pt_ll_1978,'Thessalonikē',21.88,39.12
urn:cite:ptolemy:lonlat.pt_ll_1979,'Ekhedōrou pot. ekbolai',21.82,39.06
urn:cite:ptolemy:lonlat.pt_ll_1980,'Axiou potamou ekbolai',21.76,39.00
urn:cite:ptolemy:lonlat.pt_ll_1981,'Ludiou potamou ekbolai',21.64,38.88
urn:cite:ptolemy:lonlat.pt_ll_1982,'Pudna',21.76,38.70
urn:cite:ptolemy:lonlat.pt_ll_1983,'Haliakmonos pot. ekbolai',21.88,38.64
urn:cite:ptolemy:lonlat.pt_ll_1984,'Dion kolōnia',22.0,38.58
urn:cite:ptolemy:lonlat.pt_ll_1985,'Baphuron potamou ekbolai',22.12,38.52
urn:cite:ptolemy:lonlat.pt_ll_1986,'Pēneiou potamou ekbolai',22.36,38.46
urn:cite:ptolemy:lonlat.pt_ll_1987,'Magnēsia akra',23.2,38.52
urn:cite:ptolemy:lonlat.pt_ll_1988,'Sēpias akra',23.26,38.34
urn:cite:ptolemy:lonlat.pt_ll_1989,'Aianteion',23.2,38.34
urn:cite:ptolemy:lonlat.pt_ll_1990,'Iōlkos',23.08,38.34
urn:cite:ptolemy:lonlat.pt_ll_1991,'Pagasai',22.6,38.10
urn:cite:ptolemy:lonlat.pt_ll_1992,'Dēmētrias',22.36,38.10
urn:cite:ptolemy:lonlat.pt_ll_1993,'Poseidion akron',23.08,38.04
urn:cite:ptolemy:lonlat.pt_ll_1994,'Larissa',22.96,37.98
urn:cite:ptolemy:lonlat.pt_ll_1995,'Ekhinos',22.84,37.98
urn:cite:ptolemy:lonlat.pt_ll_1996,'Sperkheia',22.72,37.92
urn:cite:ptolemy:lonlat.pt_ll_1997,'Thēbai Phthiōtidos',22.72,37.86
urn:cite:ptolemy:lonlat.pt_ll_1998,'Sperkheiou potamou ekbolai',22.72,37.80
urn:cite:ptolemy:lonlat.pt_ll_5815,'ho men Strumōn potamos',21.04,40.32
urn:cite:ptolemy:lonlat.pt_ll_1999,'ho de Axios potamos',19.84,40.08
urn:cite:ptolemy:lonlat.pt_ll_2000,'tōn hupo tēn Dalmatian oreōn',19.12,39.78
urn:cite:ptolemy:lonlat.pt_ll_5701,'hai arkhai',21.46,39.06
urn:cite:ptolemy:lonlat.pt_ll_2001,'ho de Haliakmōn potamos apo tōn Kandauiōn oreōn',19.6,39.00
urn:cite:ptolemy:lonlat.pt_ll_2002,'ho de Pēneios potamos apo tou Pindou orous',20.2,38.16
urn:cite:ptolemy:lonlat.pt_ll_5702,'ho Sperkheios potamos',20.92,37.92
urn:cite:ptolemy:lonlat.pt_ll_2003,'tou men Bertiskou to meson',21.4,39.78
urn:cite:ptolemy:lonlat.pt_ll_2004,'tou de Bermiou orous',20.92,38.76
urn:cite:ptolemy:lonlat.pt_ll_2005,'tou de Kerketēsiou',19.6,38.64
urn:cite:ptolemy:lonlat.pt_ll_2006,'tou de Kitariou orous',21.04,38.52
urn:cite:ptolemy:lonlat.pt_ll_2007,'tou de Olumpou orous',22.0,38.40
urn:cite:ptolemy:lonlat.pt_ll_2008,'tēs de Ossēs orous',22.48,38.40
urn:cite:ptolemy:lonlat.pt_ll_2009,'tou de Pēliou orous',22.84,38.40
urn:cite:ptolemy:lonlat.pt_ll_2010,'tēs de Othruos orous',22.0,37.92
urn:cite:ptolemy:lonlat.pt_ll_2011,'Arnissa',18.64,39.36
urn:cite:ptolemy:lonlat.pt_ll_2012,'Elimia',18.88,38.64
urn:cite:ptolemy:lonlat.pt_ll_2013,'Amantia',19.12,38.40
urn:cite:ptolemy:lonlat.pt_ll_2014,'Albanopolis',19.12,39.66
urn:cite:ptolemy:lonlat.pt_ll_2015,'Horma',19.66,39.96
urn:cite:ptolemy:lonlat.pt_ll_2016,'Eurōpos',19.48,39.84
urn:cite:ptolemy:lonlat.pt_ll_2017,'Apsalos',19.36,39.66
urn:cite:ptolemy:lonlat.pt_ll_2018,'Garēskos',20.44,40.08
urn:cite:ptolemy:lonlat.pt_ll_2019,'Skampis',18.94,39.12
urn:cite:ptolemy:lonlat.pt_ll_2020,'Dibolia',18.94,39.00
urn:cite:ptolemy:lonlat.pt_ll_2021,'Daulia',18.76,38.88
urn:cite:ptolemy:lonlat.pt_ll_2022,'Astraion',19.36,39.48
urn:cite:ptolemy:lonlat.pt_ll_2023,'Dobēros',19.6,39.42
urn:cite:ptolemy:lonlat.pt_ll_2024,'Alōros',20.02,39.72
urn:cite:ptolemy:lonlat.pt_ll_2025,'Iōron',20.38,39.78
urn:cite:ptolemy:lonlat.pt_ll_2026,'Tristōlos',20.56,39.96
urn:cite:ptolemy:lonlat.pt_ll_2027,'Parthikopolis',21.04,40.08
urn:cite:ptolemy:lonlat.pt_ll_2028,'Hērakleia Sintikē',21.4,40.08
urn:cite:ptolemy:lonlat.pt_ll_2029,'Skotoussa',21.64,40.20
urn:cite:ptolemy:lonlat.pt_ll_2030,'Berga',21.88,40.08
urn:cite:ptolemy:lonlat.pt_ll_2031,'Gasōros',22.18,40.26
urn:cite:ptolemy:lonlat.pt_ll_2032,'Amphipolis',22.0,39.96
urn:cite:ptolemy:lonlat.pt_ll_2033,'Philippoi',22.54,40.26
urn:cite:ptolemy:lonlat.pt_ll_2034,'Euia',19.18,39.06
urn:cite:ptolemy:lonlat.pt_ll_2035,'Lukhnidos',19.72,39.12
urn:cite:ptolemy:lonlat.pt_ll_2036,'Hērakleia',20.32,39.36
urn:cite:ptolemy:lonlat.pt_ll_2037,'Audaristos',20.56,39.54
urn:cite:ptolemy:lonlat.pt_ll_2038,'Stoboi',20.92,39.84
urn:cite:ptolemy:lonlat.pt_ll_2039,'Arrōlos',21.4,39.84
urn:cite:ptolemy:lonlat.pt_ll_2040,'Euporia',21.52,39.72
urn:cite:ptolemy:lonlat.pt_ll_2041,'Kalliterai',21.64,39.72
urn:cite:ptolemy:lonlat.pt_ll_2042,'Ossa',21.82,39.60
urn:cite:ptolemy:lonlat.pt_ll_2043,'Antigoneia',21.04,39.72
urn:cite:ptolemy:lonlat.pt_ll_2044,'Kalindoia',21.04,39.48
urn:cite:ptolemy:lonlat.pt_ll_2045,'Bairos',21.22,40.08
urn:cite:ptolemy:lonlat.pt_ll_2046,'Phuskai',21.28,39.60
urn:cite:ptolemy:lonlat.pt_ll_2047,'Terpullos',21.4,39.48
urn:cite:ptolemy:lonlat.pt_ll_2048,'Karrabia',21.34,39.24
urn:cite:ptolemy:lonlat.pt_ll_2049,'Xulopolis',21.52,39.60
urn:cite:ptolemy:lonlat.pt_ll_2050,'Assēros',21.64,39.36
urn:cite:ptolemy:lonlat.pt_ll_2051,'Apollōnia Mugdonias',21.64,39.24
urn:cite:ptolemy:lonlat.pt_ll_2052,'Lētē',21.52,39.12
urn:cite:ptolemy:lonlat.pt_ll_2053,'Augaia',22.18,39.36
urn:cite:ptolemy:lonlat.pt_ll_2054,'Klitai',22.24,39.12
urn:cite:ptolemy:lonlat.pt_ll_2055,'Morullos',22.36,39.06
urn:cite:ptolemy:lonlat.pt_ll_2056,'Antigoneia ē Psaphara',22.54,39.00
urn:cite:ptolemy:lonlat.pt_ll_2057,'Eurōpos',20.08,39.12
urn:cite:ptolemy:lonlat.pt_ll_2058,'Turissa',20.2,38.82
urn:cite:ptolemy:lonlat.pt_ll_2059,'Skudra',20.32,39.12
urn:cite:ptolemy:lonlat.pt_ll_2060,'Mieza',20.56,38.70
urn:cite:ptolemy:lonlat.pt_ll_2061,'Kurros',20.68,39.36
urn:cite:ptolemy:lonlat.pt_ll_2062,'Idomenē',20.92,39.48
urn:cite:ptolemy:lonlat.pt_ll_2063,'Gordunia',21.04,39.06
urn:cite:ptolemy:lonlat.pt_ll_2064,'Edessa',21.1,39.12
urn:cite:ptolemy:lonlat.pt_ll_2065,'Beroia',21.1,38.76
urn:cite:ptolemy:lonlat.pt_ll_2066,'Aigaia',21.04,38.64
urn:cite:ptolemy:lonlat.pt_ll_2067,'Pella',21.52,38.94
urn:cite:ptolemy:lonlat.pt_ll_2068,'Phulakai',21.52,38.52
urn:cite:ptolemy:lonlat.pt_ll_2069,'Ouallai',21.76,38.52
urn:cite:ptolemy:lonlat.pt_ll_2070,'Eriboia',19.6,38.70
urn:cite:ptolemy:lonlat.pt_ll_2071,'Dolikhē',20.2,38.64
urn:cite:ptolemy:lonlat.pt_ll_2072,'Azōrion',20.38,38.52
urn:cite:ptolemy:lonlat.pt_ll_2073,'Puthion',20.44,38.52
urn:cite:ptolemy:lonlat.pt_ll_2074,'Gonnos',20.62,38.58
urn:cite:ptolemy:lonlat.pt_ll_2075,'Atrax',20.92,38.46
urn:cite:ptolemy:lonlat.pt_ll_2076,'Iletion',21.34,38.46
urn:cite:ptolemy:lonlat.pt_ll_2077,'Skotoussa',21.64,38.28
urn:cite:ptolemy:lonlat.pt_ll_2078,'Larissa',22.0,38.28
urn:cite:ptolemy:lonlat.pt_ll_2079,'Pherai',22.36,38.28
urn:cite:ptolemy:lonlat.pt_ll_2080,'Gurtōnē',19.72,38.52
urn:cite:ptolemy:lonlat.pt_ll_2081,'Phaistos',20.02,38.40
urn:cite:ptolemy:lonlat.pt_ll_2082,'Gomphoi',20.32,38.28
urn:cite:ptolemy:lonlat.pt_ll_2083,'Aiginion',20.56,38.40
urn:cite:ptolemy:lonlat.pt_ll_5703,'Trikka',20.62,38.16
urn:cite:ptolemy:lonlat.pt_ll_2084,'Ktimenai',21.1,38.28
urn:cite:ptolemy:lonlat.pt_ll_2085,'Khuretiai',21.28,38.16
urn:cite:ptolemy:lonlat.pt_ll_2086,'Mētropolis',21.52,38.16
urn:cite:ptolemy:lonlat.pt_ll_2087,'Hupata',20.44,38.04
urn:cite:ptolemy:lonlat.pt_ll_2088,'Sōsthenis',20.74,38.04
urn:cite:ptolemy:lonlat.pt_ll_2089,'Homilai',21.04,37.92
urn:cite:ptolemy:lonlat.pt_ll_2090,'Kupaira',21.28,37.92
urn:cite:ptolemy:lonlat.pt_ll_2091,'Phalanthia',21.64,37.98
urn:cite:ptolemy:lonlat.pt_ll_2092,'Narthakion',22.12,37.98
urn:cite:ptolemy:lonlat.pt_ll_2093,'Korōneia',22.36,38.04
urn:cite:ptolemy:lonlat.pt_ll_2094,'Melitaia',22.48,38.16
urn:cite:ptolemy:lonlat.pt_ll_2095,'Eretria',22.18,38.04
urn:cite:ptolemy:lonlat.pt_ll_2096,'Lamia',22.36,37.86
urn:cite:ptolemy:lonlat.pt_ll_2097,'Hērakleia Phthiōtidos',22.6,37.80
urn:cite:ptolemy:lonlat.pt_ll_2098,'Sasōn nēsos',17.8,38.52
urn:cite:ptolemy:lonlat.pt_ll_2099,'Murina',23.68,39.54
urn:cite:ptolemy:lonlat.pt_ll_2100,'Hēphaistias mesogeios',23.8,39.60
urn:cite:ptolemy:lonlat.pt_ll_2101,'Skiathos nēsos kai polis',23.56,38.34
urn:cite:ptolemy:lonlat.pt_ll_2102,'Peparēthos nēsos kai polis Skopelos',23.8,38.40
urn:cite:ptolemy:lonlat.pt_ll_2103,'Skuros nēsos kai polis',24.88,38.16
