SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_2438,'Kōtēs akron',-9.68,35.94
urn:cite:ptolemy:lonlat.pt_ll_5177,'Zileiapotamou ekbolai',-9.44,35.76
urn:cite:ptolemy:lonlat.pt_ll_2439,'Lix potamou ekbolai',-9.44,35.46
urn:cite:ptolemy:lonlat.pt_ll_2440,'Soubour potamou ekbolai',-9.44,35.04
urn:cite:ptolemy:lonlat.pt_ll_2441,'Emporikos kolpos',-9.56,34.80
urn:cite:ptolemy:lonlat.pt_ll_2442,'Sala potamou ekbolai',-9.56,34.68
urn:cite:ptolemy:lonlat.pt_ll_2443,'Sala polis',-9.44,34.44
urn:cite:ptolemy:lonlat.pt_ll_5178,'Dououpotamou ekbolai',-9.56,34.08
urn:cite:ptolemy:lonlat.pt_ll_5179,'Atlas elattōn, oros',-9.68,33.96
urn:cite:ptolemy:lonlat.pt_ll_2444,'Kousa potamou ekbolai',-9.2,33.66
urn:cite:ptolemy:lonlat.pt_ll_2445,'Rhousibis limēn',-9.2,33.48
urn:cite:ptolemy:lonlat.pt_ll_6340,'Asama potamou ekbolai',-8.96,33.12
urn:cite:ptolemy:lonlat.pt_ll_2446,'Diour potamou ekbolai',-8.72,32.88
urn:cite:ptolemy:lonlat.pt_ll_2447,'Hēliou oros',-8.42,32.58
urn:cite:ptolemy:lonlat.pt_ll_2448,'Musokaras limēn',-8.72,32.28
urn:cite:ptolemy:lonlat.pt_ll_5180,'Phthouthpotamou ekbolai',-8.6,32.04
urn:cite:ptolemy:lonlat.pt_ll_2449,'Hērakleous akron',-8.6,31.68
urn:cite:ptolemy:lonlat.pt_ll_2450,'Tamousiga',-8.24,31.62
urn:cite:ptolemy:lonlat.pt_ll_5181,'Ousadion akron',-8.6,30.96
urn:cite:ptolemy:lonlat.pt_ll_2451,'Souriga',-8.24,30.96
urn:cite:ptolemy:lonlat.pt_ll_2452,'Ouna potamou ekbolai',-8.24,28.68
urn:cite:ptolemy:lonlat.pt_ll_2453,'Agna potamou ekbolai',-7.88,30.12
urn:cite:ptolemy:lonlat.pt_ll_2454,'Sala potamou ekbolai',-8.0,29.76
urn:cite:ptolemy:lonlat.pt_ll_5182,'Atlas meizōn, oros',-8.24,29.16
urn:cite:ptolemy:lonlat.pt_ll_2455,'Tiggis [hē kai] Kaisareia',-9.32,35.94
urn:cite:ptolemy:lonlat.pt_ll_2456,'Oualōnos potamou ekbolai',-8.96,35.88
urn:cite:ptolemy:lonlat.pt_ll_5183,'Exilissa polis',-8.6,35.94
urn:cite:ptolemy:lonlat.pt_ll_2457,'Heptadelphoi oros',-8.48,35.88
urn:cite:ptolemy:lonlat.pt_ll_2458,'Abulē stēlē',-8.36,35.76
urn:cite:ptolemy:lonlat.pt_ll_2459,'Phoibou akra',-8.24,35.64
urn:cite:ptolemy:lonlat.pt_ll_5184,'Iagath',-8.0,35.34
urn:cite:ptolemy:lonlat.pt_ll_5185,'Thaloupotamou ekbolai',-7.88,35.28
urn:cite:ptolemy:lonlat.pt_ll_2460,'Oleastron akron',-7.64,35.40
urn:cite:ptolemy:lonlat.pt_ll_2461,'Akrath',-7.52,35.22
urn:cite:ptolemy:lonlat.pt_ll_5186,'Tainiologga',-7.16,34.92
urn:cite:ptolemy:lonlat.pt_ll_2462,'Sēstiaria akra',-6.8,35.28
urn:cite:ptolemy:lonlat.pt_ll_2463,'Rhussadeiron',-6.8,35.10
urn:cite:ptolemy:lonlat.pt_ll_5187,'Metagōnitēs, akron',-6.26,35.22
urn:cite:ptolemy:lonlat.pt_ll_2464,'Molakhathpotamou ekbolai',-6.26,35.10
urn:cite:ptolemy:lonlat.pt_ll_2465,'Maloua potamou ekbolai',-5.96,35.16
urn:cite:ptolemy:lonlat.pt_ll_5188,'tou peratos, hou hē thesis epekhei moiras',-5.6,28.80
urn:cite:ptolemy:lonlat.pt_ll_5817,'to Purrhon pedion,',-7.16,31.68
urn:cite:ptolemy:lonlat.pt_ll_5818,'to te kaloumenon Diour',-7.88,34.56
urn:cite:ptolemy:lonlat.pt_ll_5819,'tou Dourdata dutikōtera,',-6.8,31.32
urn:cite:ptolemy:lonlat.pt_ll_5820,'kai',-3.2,31.32
