SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_6017,'tōn tou Hērakleous Bōmōn',43.6,34.80
urn:cite:ptolemy:lonlat.pt_ll_6018,'peratos',40.9,34.08
urn:cite:ptolemy:lonlat.pt_ll_6019,'thesis',43.6,34.80
urn:cite:ptolemy:lonlat.pt_ll_6020,'to te Masion',39.28,36.96
urn:cite:ptolemy:lonlat.pt_ll_6021,'ho Siggaras',41.2,36.18
urn:cite:ptolemy:lonlat.pt_ll_6022,'ho kaloumenos Khabōras',39.28,36.90
urn:cite:ptolemy:lonlat.pt_ll_6023,'hē de pros ton Euphratēn sunaphē',39.28,35.28
urn:cite:ptolemy:lonlat.pt_ll_6024,'ho kaloumenos Saokoras potamos',40.0,37.08
urn:cite:ptolemy:lonlat.pt_ll_6025,'hē de pros ton Euphratēn sunaphē tou potamou',40.72,34.56
urn:cite:ptolemy:lonlat.pt_ll_4005,'Porsika',37.84,37.08
urn:cite:ptolemy:lonlat.pt_ll_4006,'Aniana',38.08,36.48
urn:cite:ptolemy:lonlat.pt_ll_4007,'Barsampsē',38.08,36.18
urn:cite:ptolemy:lonlat.pt_ll_4008,'Sarnouka',37.96,36.00
urn:cite:ptolemy:lonlat.pt_ll_4009,'Bersima',38.08,35.88
urn:cite:ptolemy:lonlat.pt_ll_4010,'Maubai',38.44,35.76
urn:cite:ptolemy:lonlat.pt_ll_5506,'Nikēphorion',38.62,35.52
urn:cite:ptolemy:lonlat.pt_ll_4011,'Magouda',38.74,35.40
urn:cite:ptolemy:lonlat.pt_ll_4012,'Khabōra',39.28,35.40
urn:cite:ptolemy:lonlat.pt_ll_4013,'Thelda',39.46,35.10
urn:cite:ptolemy:lonlat.pt_ll_4014,'Aphphadana',39.64,34.98
urn:cite:ptolemy:lonlat.pt_ll_4015,'Banabē',39.82,34.86
urn:cite:ptolemy:lonlat.pt_ll_5507,'Zeitha',40.12,34.80
urn:cite:ptolemy:lonlat.pt_ll_4016,'Bethauna',40.72,34.74
urn:cite:ptolemy:lonlat.pt_ll_4017,'Rheskipha',40.72,34.56
urn:cite:ptolemy:lonlat.pt_ll_6026,'Agamna',41.8,34.20
urn:cite:ptolemy:lonlat.pt_ll_4018,'Eudrapa',41.56,34.32
urn:cite:ptolemy:lonlat.pt_ll_4019,'Addaia',41.62,34.56
urn:cite:ptolemy:lonlat.pt_ll_4020,'Pakoria',41.68,35.10
urn:cite:ptolemy:lonlat.pt_ll_4021,'Tēridata',41.8,35.52
urn:cite:ptolemy:lonlat.pt_ll_4022,'Naarda',41.92,35.64
urn:cite:ptolemy:lonlat.pt_ll_4023,'Sipphara',42.34,35.76
urn:cite:ptolemy:lonlat.pt_ll_6027,'Basileios potamos',42.88,35.76
urn:cite:ptolemy:lonlat.pt_ll_4024,'Seleukeia polis',43.12,35.76
urn:cite:ptolemy:lonlat.pt_ll_6028,'Dorbēta',40.72,37.44
urn:cite:ptolemy:lonlat.pt_ll_4025,'Sapphē',40.72,37.20
urn:cite:ptolemy:lonlat.pt_ll_4026,'Dēba',40.72,36.96
urn:cite:ptolemy:lonlat.pt_ll_4027,'Siggara',40.72,36.72
urn:cite:ptolemy:lonlat.pt_ll_5508,'Bētooun',41.44,36.54
urn:cite:ptolemy:lonlat.pt_ll_4028,'Labbana',42.04,36.36
urn:cite:ptolemy:lonlat.pt_ll_4029,'Birtha',42.7,36.24
urn:cite:ptolemy:lonlat.pt_ll_4030,'Karthara',42.88,36.18
urn:cite:ptolemy:lonlat.pt_ll_4031,'Magkhanē',43.0,36.00
urn:cite:ptolemy:lonlat.pt_ll_4032,'Skaphē',43.42,34.92
urn:cite:ptolemy:lonlat.pt_ll_4033,'Apameia',43.48,34.80
urn:cite:ptolemy:lonlat.pt_ll_4034,'Bithias',38.08,37.20
urn:cite:ptolemy:lonlat.pt_ll_4035,'Edessa',38.2,37.08
urn:cite:ptolemy:lonlat.pt_ll_4036,'Ombraia',38.56,36.84
urn:cite:ptolemy:lonlat.pt_ll_4037,'Ammaia',38.8,37.32
urn:cite:ptolemy:lonlat.pt_ll_4038,'Souma',38.92,37.20
urn:cite:ptolemy:lonlat.pt_ll_4039,'Rhisina',38.92,37.08
urn:cite:ptolemy:lonlat.pt_ll_5509,'Olibera',38.92,36.72
urn:cite:ptolemy:lonlat.pt_ll_5510,'Sararrha',39.28,37.62
urn:cite:ptolemy:lonlat.pt_ll_5511,'Sakanē',39.28,37.26
urn:cite:ptolemy:lonlat.pt_ll_5512,'Arxama',39.46,37.20
urn:cite:ptolemy:lonlat.pt_ll_4040,'Gizama',39.52,36.90
urn:cite:ptolemy:lonlat.pt_ll_4041,'Sinna',39.46,36.84
urn:cite:ptolemy:lonlat.pt_ll_4042,'Mambouta',39.82,37.02
urn:cite:ptolemy:lonlat.pt_ll_4043,'Nisibis',40.12,37.08
urn:cite:ptolemy:lonlat.pt_ll_4044,'Bithiga',40.12,36.96
urn:cite:ptolemy:lonlat.pt_ll_4045,'Baxala ē Baala',40.24,36.72
urn:cite:ptolemy:lonlat.pt_ll_4046,'Auladis',38.56,36.48
urn:cite:ptolemy:lonlat.pt_ll_4047,'Ballatha',39.1,36.12
urn:cite:ptolemy:lonlat.pt_ll_5513,'Karrhai',38.74,36.12
urn:cite:ptolemy:lonlat.pt_ll_4048,'Tirittha',39.16,36.18
urn:cite:ptolemy:lonlat.pt_ll_4049,'Theggoubis',39.76,36.36
urn:cite:ptolemy:lonlat.pt_ll_5514,'Orthaga',39.76,36.00
urn:cite:ptolemy:lonlat.pt_ll_5135,'Elēia',39.52,35.82
urn:cite:ptolemy:lonlat.pt_ll_4050,'Zama',40.36,36.24
urn:cite:ptolemy:lonlat.pt_ll_4051,'Sinna',40.96,36.48
urn:cite:ptolemy:lonlat.pt_ll_5515,'Gorbatha',41.68,36.00
urn:cite:ptolemy:lonlat.pt_ll_5516,'Dabausa',40.96,36.00
urn:cite:ptolemy:lonlat.pt_ll_4052,'Bariana',41.68,36.00
urn:cite:ptolemy:lonlat.pt_ll_4053,'Akrabai',38.68,35.88
urn:cite:ptolemy:lonlat.pt_ll_4054,'Apphadana',39.28,35.64
urn:cite:ptolemy:lonlat.pt_ll_4055,'Rhesaina',39.76,35.76
urn:cite:ptolemy:lonlat.pt_ll_4056,'Peliala',40.54,35.88
urn:cite:ptolemy:lonlat.pt_ll_4057,'Alouanis',39.58,35.64
urn:cite:ptolemy:lonlat.pt_ll_4058,'Bimatra',40.9,35.52
urn:cite:ptolemy:lonlat.pt_ll_4059,'Daremma',40.96,35.28
