SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_5793,'hē thesis',13.0,43.80
urn:cite:ptolemy:lonlat.pt_ll_974,'to dusmikōtaton peras',11.92,42.72
urn:cite:ptolemy:lonlat.pt_ll_975,'Karouagkas',11.2,42.72
urn:cite:ptolemy:lonlat.pt_ll_976,'Arelapē',11.2,43.92
urn:cite:ptolemy:lonlat.pt_ll_977,'Klaudiouion',11.92,43.68
urn:cite:ptolemy:lonlat.pt_ll_978,'Gamauodouron',10.96,43.68
urn:cite:ptolemy:lonlat.pt_ll_979,'Gēsodounon',11.68,43.56
urn:cite:ptolemy:lonlat.pt_ll_980,'Bedakon',10.66,43.38
urn:cite:ptolemy:lonlat.pt_ll_981,'Agounton',12.28,43.32
urn:cite:ptolemy:lonlat.pt_ll_982,'Ouakorion',11.92,43.02
urn:cite:ptolemy:lonlat.pt_ll_983,'Poidikon',12.64,43.20
urn:cite:ptolemy:lonlat.pt_ll_984,'Ouirounon',12.4,43.02
urn:cite:ptolemy:lonlat.pt_ll_985,'Teournia',10.96,42.96
urn:cite:ptolemy:lonlat.pt_ll_986,'Idounon',11.32,42.84
urn:cite:ptolemy:lonlat.pt_ll_987,'Siantikon',11.92,42.84
urn:cite:ptolemy:lonlat.pt_ll_988,'Keleia',12.64,42.84
urn:cite:ptolemy:lonlat.pt_ll_989,'Ioulion Karnikon',10.84,42.66
