SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_5920,'to epi thalassē peras',31.96,36.54
urn:cite:ptolemy:lonlat.pt_ll_3371,'Olbia',30.64,36.42
urn:cite:ptolemy:lonlat.pt_ll_5442,'Attaleia',30.82,36.36
urn:cite:ptolemy:lonlat.pt_ll_3372,'Katarrhaktou potamou ekbolai',31.0,36.42
urn:cite:ptolemy:lonlat.pt_ll_3373,'Magudos',31.12,36.60
urn:cite:ptolemy:lonlat.pt_ll_3374,'Kestrou potamou ekbolai',31.24,36.66
urn:cite:ptolemy:lonlat.pt_ll_3375,'Eurumedontos potamou ekbolai',31.36,36.42
urn:cite:ptolemy:lonlat.pt_ll_3376,'Sidē',31.6,36.24
urn:cite:ptolemy:lonlat.pt_ll_3377,'Korakēsion',31.78,36.48
urn:cite:ptolemy:lonlat.pt_ll_3378,'Susdra',31.96,36.54
urn:cite:ptolemy:lonlat.pt_ll_3379,'Seleukeia Pisidias',30.64,37.80
urn:cite:ptolemy:lonlat.pt_ll_3380,'Antiokheia',31.0,37.80
urn:cite:ptolemy:lonlat.pt_ll_5443,'Palaion Beudos',30.52,38.10
urn:cite:ptolemy:lonlat.pt_ll_3381,'Baris',30.52,37.74
urn:cite:ptolemy:lonlat.pt_ll_3382,'Konanē',30.52,37.50
urn:cite:ptolemy:lonlat.pt_ll_3383,'Lusinia',30.1,37.50
urn:cite:ptolemy:lonlat.pt_ll_3384,'Kormasa',30.04,37.38
urn:cite:ptolemy:lonlat.pt_ll_3385,'Krētopolis',30.1,37.08
urn:cite:ptolemy:lonlat.pt_ll_3386,'Pōgla',30.4,37.20
urn:cite:ptolemy:lonlat.pt_ll_3387,'Menedēmion',30.16,36.96
urn:cite:ptolemy:lonlat.pt_ll_3388,'Ouranopolis',30.4,36.96
urn:cite:ptolemy:lonlat.pt_ll_3389,'Pisinda',30.4,36.84
urn:cite:ptolemy:lonlat.pt_ll_3390,'Ariassos',30.7,36.84
urn:cite:ptolemy:lonlat.pt_ll_3391,'Miluas',31.0,37.02
urn:cite:ptolemy:lonlat.pt_ll_3392,'Termēssos',30.76,36.90
urn:cite:ptolemy:lonlat.pt_ll_3393,'Korbasa',30.76,36.78
urn:cite:ptolemy:lonlat.pt_ll_3394,'Pergē',30.82,37.38
urn:cite:ptolemy:lonlat.pt_ll_3395,'Silouon',30.88,37.32
urn:cite:ptolemy:lonlat.pt_ll_5444,'Aspendos',30.82,37.08
urn:cite:ptolemy:lonlat.pt_ll_3396,'Prostama',30.82,37.68
urn:cite:ptolemy:lonlat.pt_ll_3397,'Adada',31.3,37.62
urn:cite:ptolemy:lonlat.pt_ll_3398,'Olbasa',31.12,37.44
urn:cite:ptolemy:lonlat.pt_ll_3399,'Durzēla',31.48,37.68
urn:cite:ptolemy:lonlat.pt_ll_3400,'Orbanassa',31.6,37.44
urn:cite:ptolemy:lonlat.pt_ll_3401,'Talbonda',31.9,37.44
urn:cite:ptolemy:lonlat.pt_ll_3402,'Krēmna kolōnia',31.36,37.32
urn:cite:ptolemy:lonlat.pt_ll_3403,'Kommakon',31.24,37.20
urn:cite:ptolemy:lonlat.pt_ll_3404,'Pednēlissos',31.72,37.32
urn:cite:ptolemy:lonlat.pt_ll_5124,'Ouinzela',31.54,37.08
urn:cite:ptolemy:lonlat.pt_ll_3405,'Selgē',31.36,37.08
urn:cite:ptolemy:lonlat.pt_ll_3406,'Laertē',31.84,37.02
urn:cite:ptolemy:lonlat.pt_ll_3407,'Kasai',31.96,37.14
urn:cite:ptolemy:lonlat.pt_ll_3408,'Lurbē',31.54,36.78
urn:cite:ptolemy:lonlat.pt_ll_3409,'Kolobrassos',31.6,36.84
urn:cite:ptolemy:lonlat.pt_ll_3410,'Kibura ē Kaibura',32.08,36.90
urn:cite:ptolemy:lonlat.pt_ll_3411,'Krambousa',31.0,35.88
urn:cite:ptolemy:lonlat.pt_ll_3412,'Apelbousa',31.54,35.88
