SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_6075,'tōn eis ton Persikon kolpon Bagrada tou potamou ekbolōn',53.68,31.14
urn:cite:ptolemy:lonlat.pt_ll_4241,'Taokē akra',49.0,31.80
urn:cite:ptolemy:lonlat.pt_ll_5542,'Rhogomanios potamou ekbolai',49.72,31.68
urn:cite:ptolemy:lonlat.pt_ll_4242,'hai pēgai tou potamou',52.24,35.28
urn:cite:ptolemy:lonlat.pt_ll_4243,'Khersonēsos akra',50.56,31.32
urn:cite:ptolemy:lonlat.pt_ll_4244,'Iōnaka polis',50.8,31.50
urn:cite:ptolemy:lonlat.pt_ll_5543,'Brisoana potamou ekbolai',52.24,31.44
urn:cite:ptolemy:lonlat.pt_ll_4245,'hai pēgai tou potamou',52.96,34.92
urn:cite:ptolemy:lonlat.pt_ll_4246,'Ausinza',52.96,31.20
urn:cite:ptolemy:lonlat.pt_ll_4247,'Bagrada potamou ekbolai',53.68,31.14
urn:cite:ptolemy:lonlat.pt_ll_4248,'hai pēgai tou potamou',53.68,35.46
urn:cite:ptolemy:lonlat.pt_ll_4249,'Ozoa',47.74,35.52
urn:cite:ptolemy:lonlat.pt_ll_4250,'Tanagra',47.92,34.92
urn:cite:ptolemy:lonlat.pt_ll_4251,'Marrhasion',52.6,34.20
urn:cite:ptolemy:lonlat.pt_ll_4252,'Aspadana',48.64,34.44
urn:cite:ptolemy:lonlat.pt_ll_4253,'Axima',48.46,34.44
urn:cite:ptolemy:lonlat.pt_ll_4254,'Poruospana',50.08,34.44
urn:cite:ptolemy:lonlat.pt_ll_4255,'Persepolis',51.52,34.08
urn:cite:ptolemy:lonlat.pt_ll_4256,'Nisergē',51.7,34.56
urn:cite:ptolemy:lonlat.pt_ll_5544,'Sukta',52.6,34.56
urn:cite:ptolemy:lonlat.pt_ll_4257,'Arboua',52.42,33.84
urn:cite:ptolemy:lonlat.pt_ll_4258,'Kotamba',53.32,34.32
urn:cite:ptolemy:lonlat.pt_ll_4259,'Potikara',48.82,33.30
urn:cite:ptolemy:lonlat.pt_ll_4260,'Ardea',49.36,33.48
urn:cite:ptolemy:lonlat.pt_ll_4261,'Kauphiaka',50.08,33.48
urn:cite:ptolemy:lonlat.pt_ll_5545,'Batthina',50.8,33.36
urn:cite:ptolemy:lonlat.pt_ll_4262,'Kinna',52.72,33.36
urn:cite:ptolemy:lonlat.pt_ll_4263,'Parodana',53.56,33.30
urn:cite:ptolemy:lonlat.pt_ll_4264,'Taēpa ē Taispa',48.64,32.94
urn:cite:ptolemy:lonlat.pt_ll_4265,'Tragonikē',49.12,32.88
urn:cite:ptolemy:lonlat.pt_ll_4266,'Maitona',50.2,33.00
urn:cite:ptolemy:lonlat.pt_ll_4267,'Khorodna',50.8,32.58
urn:cite:ptolemy:lonlat.pt_ll_4268,'Korrha',51.76,32.88
urn:cite:ptolemy:lonlat.pt_ll_4269,'Gabra',52.42,32.76
urn:cite:ptolemy:lonlat.pt_ll_4270,'Orobatis polis',48.64,32.28
urn:cite:ptolemy:lonlat.pt_ll_5546,'Taokē',50.08,31.92
urn:cite:ptolemy:lonlat.pt_ll_4271,'Parta',50.8,31.92
urn:cite:ptolemy:lonlat.pt_ll_4272,'Mammida',51.52,31.92
urn:cite:ptolemy:lonlat.pt_ll_4273,'Ouzia',52.0,31.68
urn:cite:ptolemy:lonlat.pt_ll_5547,'Pasargada',53.44,32.04
urn:cite:ptolemy:lonlat.pt_ll_4274,'Gabai',53.44,31.80
urn:cite:ptolemy:lonlat.pt_ll_4275,'Tabiana',46.48,31.14
urn:cite:ptolemy:lonlat.pt_ll_4276,'Sōphtha',49.36,31.14
urn:cite:ptolemy:lonlat.pt_ll_4277,'Alexandrou hē kai Arakia',50.8,30.96
