SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_954,'hē de arktikē merei tou Danoubiou potamou tō apo tōn pēgōn mekhri tēs tou Ainou potamou ektropēs',10.48,44.16
urn:cite:ptolemy:lonlat.pt_ll_5160,'to notiōtaton peras',10.48,42.66
urn:cite:ptolemy:lonlat.pt_ll_5161,'ta men pros tais Graiais',7.6,42.72
urn:cite:ptolemy:lonlat.pt_ll_955,'ta de pros tais Poinais',8.68,42.84
urn:cite:ptolemy:lonlat.pt_ll_5162,'ta de pros tē Okra orei',10.12,42.84
urn:cite:ptolemy:lonlat.pt_ll_956,'Bragodouron',7.6,43.68
urn:cite:ptolemy:lonlat.pt_ll_957,'Drakouina',7.84,43.68
urn:cite:ptolemy:lonlat.pt_ll_958,'Ouiana',8.32,43.68
urn:cite:ptolemy:lonlat.pt_ll_959,'Phainiana',8.86,43.80
urn:cite:ptolemy:lonlat.pt_ll_960,'Taxgaition',7.12,43.38
urn:cite:ptolemy:lonlat.pt_ll_961,'Brigantion',7.6,43.20
urn:cite:ptolemy:lonlat.pt_ll_962,'Ouikos',7.78,43.08
urn:cite:ptolemy:lonlat.pt_ll_963,'Ebodouron',8.08,43.08
urn:cite:ptolemy:lonlat.pt_ll_964,'Oktodouron',8.56,42.96
urn:cite:ptolemy:lonlat.pt_ll_965,'Drousomagos',8.68,43.26
urn:cite:ptolemy:lonlat.pt_ll_966,'Artobriga',9.22,44.04
urn:cite:ptolemy:lonlat.pt_ll_967,'Boiodouron',10.36,44.10
urn:cite:ptolemy:lonlat.pt_ll_968,'Augousta Ouindelikōn',9.4,43.80
urn:cite:ptolemy:lonlat.pt_ll_969,'Karrodounon',10.36,43.74
urn:cite:ptolemy:lonlat.pt_ll_970,'Aboudiakon',10.12,43.38
urn:cite:ptolemy:lonlat.pt_ll_971,'Kambodounon',9.64,43.20
urn:cite:ptolemy:lonlat.pt_ll_972,'Medoullon',10.36,42.96
urn:cite:ptolemy:lonlat.pt_ll_973,'Inoutrion',9.64,42.84
