SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_1497,'Gorditanon akron',7.48,37.98
urn:cite:ptolemy:lonlat.pt_ll_1498,'Tilion polis',7.6,37.92
urn:cite:ptolemy:lonlat.pt_ll_1499,'Numphaion, limēn',7.72,37.80
urn:cite:ptolemy:lonlat.pt_ll_1500,'Hermaion akron',7.6,37.62
urn:cite:ptolemy:lonlat.pt_ll_1501,'Temou potamou ekbolai',7.78,37.44
urn:cite:ptolemy:lonlat.pt_ll_1502,'Korakōdēs limēn',7.84,37.14
urn:cite:ptolemy:lonlat.pt_ll_1503,'Tarrai polis',7.84,36.96
urn:cite:ptolemy:lonlat.pt_ll_1504,'Thursou potamou ekbolai',7.96,36.84
urn:cite:ptolemy:lonlat.pt_ll_1505,'Ousellis polis, kolōnia',7.96,36.66
urn:cite:ptolemy:lonlat.pt_ll_1506,'Hierou potamou ekbolai',7.96,36.48
urn:cite:ptolemy:lonlat.pt_ll_1507,'Othaia polis',7.96,36.36
urn:cite:ptolemy:lonlat.pt_ll_1508,'Sardopatoros hieron',7.96,36.24
urn:cite:ptolemy:lonlat.pt_ll_1509,'Neapolis',8.08,36.36
urn:cite:ptolemy:lonlat.pt_ll_1510,'Pakheia akra',8.08,36.00
urn:cite:ptolemy:lonlat.pt_ll_1511,'Poupoulon polis',8.2,35.76
urn:cite:ptolemy:lonlat.pt_ll_1512,'Solkoi polis',8.44,35.88
urn:cite:ptolemy:lonlat.pt_ll_1513,'Solkoi limēn',8.5,35.88
urn:cite:ptolemy:lonlat.pt_ll_1514,'Khersonēsos',8.68,35.82
urn:cite:ptolemy:lonlat.pt_ll_1515,'Bithia limēn',8.8,35.88
urn:cite:ptolemy:lonlat.pt_ll_1516,'Bithia polis',8.86,35.88
urn:cite:ptolemy:lonlat.pt_ll_1517,'Hērakleous limēn',9.04,35.88
urn:cite:ptolemy:lonlat.pt_ll_1518,'Nōra polis',9.04,35.94
urn:cite:ptolemy:lonlat.pt_ll_1519,'Aigialos prosēkhēs',9.1,35.94
urn:cite:ptolemy:lonlat.pt_ll_1520,'Kounioukharion akron',9.22,35.94
urn:cite:ptolemy:lonlat.pt_ll_1521,'Karalis polis kai akra',9.4,36.00
urn:cite:ptolemy:lonlat.pt_ll_1522,'Karalitanos kolpos',9.16,36.24
urn:cite:ptolemy:lonlat.pt_ll_1523,'Sousaleos kōmē',8.98,36.48
urn:cite:ptolemy:lonlat.pt_ll_1524,'Saiprou potamou ekbolai',9.04,36.72
urn:cite:ptolemy:lonlat.pt_ll_1525,'Solpikios limēn',8.92,37.08
urn:cite:ptolemy:lonlat.pt_ll_1526,'Kaidrios potamou ekbolai',9.04,37.44
urn:cite:ptolemy:lonlat.pt_ll_1527,'Phērōnia polis',8.86,37.56
urn:cite:ptolemy:lonlat.pt_ll_1528,'Olbia polis',8.8,37.80
urn:cite:ptolemy:lonlat.pt_ll_1529,'Olbianos limēn',8.8,37.98
urn:cite:ptolemy:lonlat.pt_ll_1530,'Kolumbarion akron',8.86,38.16
urn:cite:ptolemy:lonlat.pt_ll_1531,'Arktou akra',8.86,38.28
urn:cite:ptolemy:lonlat.pt_ll_1532,'Errebantion akron',8.68,38.40
urn:cite:ptolemy:lonlat.pt_ll_1533,'Ploubion polis',8.68,38.22
urn:cite:ptolemy:lonlat.pt_ll_1534,'Iouliola polis',8.44,38.16
urn:cite:ptolemy:lonlat.pt_ll_1535,'Tiboula polis',8.08,38.04
urn:cite:ptolemy:lonlat.pt_ll_1536,'Purgos Libisōnos, polis',7.78,38.04
urn:cite:ptolemy:lonlat.pt_ll_1537,'Erukinon',8.32,37.80
urn:cite:ptolemy:lonlat.pt_ll_1538,'Hēraion',8.68,37.92
urn:cite:ptolemy:lonlat.pt_ll_1539,'Gouroulis palaia',7.96,37.80
urn:cite:ptolemy:lonlat.pt_ll_1540,'Bosa',7.96,37.62
