SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_1664,'Khronou potamou ekbolai',22.0,50.40
urn:cite:ptolemy:lonlat.pt_ll_1665,'Rhoudōnos potamou ekbolai',24.16,51.12
urn:cite:ptolemy:lonlat.pt_ll_1666,'Tourountou potamou ekbolai',26.32,52.20
urn:cite:ptolemy:lonlat.pt_ll_1667,'Khesinou potamou ekbolai',28.12,52.92
urn:cite:ptolemy:lonlat.pt_ll_1668,'to telos tēs thalattēs tēs egnōsmenēs',30.64,55.44
urn:cite:ptolemy:lonlat.pt_ll_1669,'to de kata ton mesēmbrinon peras tēs Sarmatias ton dia tōn pēgōn tou Tanaidos potamou',32.08,55.44
urn:cite:ptolemy:lonlat.pt_ll_1670,'tēs arkhēs tou Karpatou orous',19.12,45.00
urn:cite:ptolemy:lonlat.pt_ll_1671,'Borusthenous potamou ekbolai',27.4,45.00
urn:cite:ptolemy:lonlat.pt_ll_1672,'Hupanios potamou ekbolai',27.76,45.00
urn:cite:ptolemy:lonlat.pt_ll_1673,'Alsos Hekatēs, akron',28.12,44.46
urn:cite:ptolemy:lonlat.pt_ll_1674,'ho isthmos tou Akhilleōs dromou',28.48,44.40
urn:cite:ptolemy:lonlat.pt_ll_1675,'Hieron akron',27.64,44.28
urn:cite:ptolemy:lonlat.pt_ll_1676,'Musaris akra',29.02,44.28
urn:cite:ptolemy:lonlat.pt_ll_1677,'Kephalonēsos',29.02,44.52
urn:cite:ptolemy:lonlat.pt_ll_1678,'Kalos limēn',28.84,44.46
urn:cite:ptolemy:lonlat.pt_ll_1679,'Tamurakē',28.72,45.00
urn:cite:ptolemy:lonlat.pt_ll_1680,'Karkinitou potamou ekbolai',28.96,45.00
urn:cite:ptolemy:lonlat.pt_ll_1681,'to men pros tō Karkinitē kolpō peras',29.44,44.88
urn:cite:ptolemy:lonlat.pt_ll_5169,'to de pros tē Bukē limnē',29.56,45.00
urn:cite:ptolemy:lonlat.pt_ll_1682,'Neon Teikhos',29.56,45.12
urn:cite:ptolemy:lonlat.pt_ll_1683,'Pasiakou potamou ekbolai',29.44,45.24
urn:cite:ptolemy:lonlat.pt_ll_1684,'Leianon polis',29.2,45.54
urn:cite:ptolemy:lonlat.pt_ll_1685,'Bukou potamou ekbolai',29.44,45.72
urn:cite:ptolemy:lonlat.pt_ll_1686,'Akra polis',29.56,45.84
urn:cite:ptolemy:lonlat.pt_ll_1687,'Gerrou potamou ekbolai',29.92,45.96
urn:cite:ptolemy:lonlat.pt_ll_1688,'Krēmnoi polis',31.0,45.90
urn:cite:ptolemy:lonlat.pt_ll_1689,'Agaron akron',31.36,45.84
urn:cite:ptolemy:lonlat.pt_ll_1690,'Agarou potamou ekbolai',31.0,46.44
urn:cite:ptolemy:lonlat.pt_ll_1691,'Alsos, Halieuma Theou',31.12,46.98
urn:cite:ptolemy:lonlat.pt_ll_1692,'Lukou potamou ekbolai',31.36,47.16
urn:cite:ptolemy:lonlat.pt_ll_1693,'Hugreis polis',31.72,47.88
