SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_3820,'Alexandreia hē kata Isson',36.04,36.18
urn:cite:ptolemy:lonlat.pt_ll_3821,'Muriandros',36.04,36.00
urn:cite:ptolemy:lonlat.pt_ll_3822,'Rhōssos',35.92,35.76
urn:cite:ptolemy:lonlat.pt_ll_3823,'Skopelos ho Rhōssikos',35.68,35.88
urn:cite:ptolemy:lonlat.pt_ll_5488,'Seleukeia Pierias',35.38,35.70
urn:cite:ptolemy:lonlat.pt_ll_5489,'Orontou potamou ekbolai',35.32,35.64
urn:cite:ptolemy:lonlat.pt_ll_3824,'hai pēgai tou potamou',36.4,34.08
urn:cite:ptolemy:lonlat.pt_ll_3825,'Poseidion',35.32,35.46
urn:cite:ptolemy:lonlat.pt_ll_3826,'Hērakleia',35.2,35.40
urn:cite:ptolemy:lonlat.pt_ll_3827,'Laodikeia',35.32,35.34
urn:cite:ptolemy:lonlat.pt_ll_3828,'Gabala',35.2,35.22
urn:cite:ptolemy:lonlat.pt_ll_3829,'Paltos',35.2,35.16
urn:cite:ptolemy:lonlat.pt_ll_3830,'Balaneai',35.2,34.98
urn:cite:ptolemy:lonlat.pt_ll_3831,'Eleutherou potamou ekbolai',34.96,34.86
urn:cite:ptolemy:lonlat.pt_ll_3832,'Simura',34.84,35.16
urn:cite:ptolemy:lonlat.pt_ll_3833,'Orthōsia',34.36,35.16
urn:cite:ptolemy:lonlat.pt_ll_3834,'Tripolis',34.6,34.92
urn:cite:ptolemy:lonlat.pt_ll_5490,'Theou prosōpon akron',34.48,34.80
urn:cite:ptolemy:lonlat.pt_ll_3835,'Botrus',34.6,34.62
urn:cite:ptolemy:lonlat.pt_ll_3836,'Bublos',34.72,34.50
urn:cite:ptolemy:lonlat.pt_ll_3837,'Adōnidos potamou ekbolai',34.72,34.38
urn:cite:ptolemy:lonlat.pt_ll_5982,'Bērutos',34.6,34.38
urn:cite:ptolemy:lonlat.pt_ll_3838,'Leontos potamou ekbolai',34.6,34.32
urn:cite:ptolemy:lonlat.pt_ll_3839,'Sidōn',34.36,34.32
urn:cite:ptolemy:lonlat.pt_ll_3840,'Turos',34.24,34.08
urn:cite:ptolemy:lonlat.pt_ll_3841,'Ekdippa',34.36,34.02
urn:cite:ptolemy:lonlat.pt_ll_5132,'Ptolemais',34.12,33.84
urn:cite:ptolemy:lonlat.pt_ll_3842,'Sukaminōn',34.12,33.72
urn:cite:ptolemy:lonlat.pt_ll_3843,'Karmēlos oros',33.94,33.78
urn:cite:ptolemy:lonlat.pt_ll_3844,'Dōra',33.88,33.60
urn:cite:ptolemy:lonlat.pt_ll_3845,'Khorseoupotamou ekbolai',33.76,33.54
urn:cite:ptolemy:lonlat.pt_ll_5983,'thesin',34.6,33.36
urn:cite:ptolemy:lonlat.pt_ll_5984,'thesin',34.96,32.58
urn:cite:ptolemy:lonlat.pt_ll_5985,'peratos',36.76,33.12
urn:cite:ptolemy:lonlat.pt_ll_5986,'to epi tou Euphratou peras',38.8,35.40
urn:cite:ptolemy:lonlat.pt_ll_5987,'tou pros tēn Kappadokian peratos tou potamou',39.52,37.44
urn:cite:ptolemy:lonlat.pt_ll_5988,'hē te Pieria oros,',36.16,35.82
urn:cite:ptolemy:lonlat.pt_ll_5989,'to Kassion oros',35.5,35.10
urn:cite:ptolemy:lonlat.pt_ll_5990,'ho Libanos',35.32,34.56
urn:cite:ptolemy:lonlat.pt_ll_5991,'kai',36.4,34.02
urn:cite:ptolemy:lonlat.pt_ll_5992,'Antilibanos',34.96,34.14
urn:cite:ptolemy:lonlat.pt_ll_5993,'kai',36.04,33.48
urn:cite:ptolemy:lonlat.pt_ll_5994,'ho Alsadamos',37.12,33.84
urn:cite:ptolemy:lonlat.pt_ll_5995,'ho Hippos',35.08,33.12
urn:cite:ptolemy:lonlat.pt_ll_5996,'ho te para Palmuran rheōn',37.12,35.10
urn:cite:ptolemy:lonlat.pt_ll_5997,'kai',37.48,34.08
urn:cite:ptolemy:lonlat.pt_ll_5998,'Khrusorrhoas',35.86,34.20
urn:cite:ptolemy:lonlat.pt_ll_5999,'kai',36.22,33.12
urn:cite:ptolemy:lonlat.pt_ll_6000,'tou Iordanou to pros tē Gennēsaritidi limnē meros',34.42,33.48
urn:cite:ptolemy:lonlat.pt_ll_6001,'ho kaloumenos Siggas',37.12,36.96
urn:cite:ptolemy:lonlat.pt_ll_6002,'thesin',37.84,37.20
urn:cite:ptolemy:lonlat.pt_ll_3846,'Arakē',36.4,37.20
urn:cite:ptolemy:lonlat.pt_ll_5491,'Antiokheia pros Taurō orei',36.58,36.96
urn:cite:ptolemy:lonlat.pt_ll_3847,'Sigga',37.12,37.20
urn:cite:ptolemy:lonlat.pt_ll_3848,'Germanikeia',36.4,36.72
urn:cite:ptolemy:lonlat.pt_ll_3849,'Katamana',36.88,36.72
urn:cite:ptolemy:lonlat.pt_ll_3850,'Dolikhē',36.88,36.60
urn:cite:ptolemy:lonlat.pt_ll_3851,'Dēba',36.64,36.48
urn:cite:ptolemy:lonlat.pt_ll_3852,'Khaonia',36.76,36.24
urn:cite:ptolemy:lonlat.pt_ll_3853,'Kholmadara',37.3,37.32
urn:cite:ptolemy:lonlat.pt_ll_3854,'Samosata Legiōn',37.48,37.26
urn:cite:ptolemy:lonlat.pt_ll_3855,'Pinara',36.28,36.36
urn:cite:ptolemy:lonlat.pt_ll_3856,'Pagrai',36.4,36.54
urn:cite:ptolemy:lonlat.pt_ll_3857,'hai Suriai Pulai',36.16,36.36
urn:cite:ptolemy:lonlat.pt_ll_3858,'Ariseria',37.12,36.72
urn:cite:ptolemy:lonlat.pt_ll_3859,'Rhēgias',37.3,36.72
urn:cite:ptolemy:lonlat.pt_ll_3860,'Bouba',37.36,36.48
urn:cite:ptolemy:lonlat.pt_ll_3861,'Hērakleia',37.12,36.36
urn:cite:ptolemy:lonlat.pt_ll_3862,'Niara',37.0,36.12
urn:cite:ptolemy:lonlat.pt_ll_3863,'Hierapolis',36.58,36.18
urn:cite:ptolemy:lonlat.pt_ll_3864,'Kubros ē Kuros',36.52,36.12
urn:cite:ptolemy:lonlat.pt_ll_3865,'Berrhoia',36.76,36.12
urn:cite:ptolemy:lonlat.pt_ll_3866,'Baina',37.0,36.12
urn:cite:ptolemy:lonlat.pt_ll_3867,'Paphara',37.48,36.12
urn:cite:ptolemy:lonlat.pt_ll_3868,'Ourima',37.66,37.08
urn:cite:ptolemy:lonlat.pt_ll_3869,'Aroudis',37.84,36.90
urn:cite:ptolemy:lonlat.pt_ll_3870,'Zeugma',37.84,36.72
urn:cite:ptolemy:lonlat.pt_ll_3871,'Eurōpos',37.84,36.60
urn:cite:ptolemy:lonlat.pt_ll_3872,'Kaikilia',37.84,36.48
urn:cite:ptolemy:lonlat.pt_ll_5492,'Bēthamaria ē Bēthamania',37.72,36.36
urn:cite:ptolemy:lonlat.pt_ll_3873,'Gerrhē',37.72,36.18
urn:cite:ptolemy:lonlat.pt_ll_3874,'Arimara',37.72,36.06
urn:cite:ptolemy:lonlat.pt_ll_3875,'Eragiza ē Errhasiga',37.72,36.00
urn:cite:ptolemy:lonlat.pt_ll_3876,'Gephura',36.04,35.64
urn:cite:ptolemy:lonlat.pt_ll_3877,'Gindaros',36.4,35.76
urn:cite:ptolemy:lonlat.pt_ll_3878,'Imma',36.28,35.58
urn:cite:ptolemy:lonlat.pt_ll_3879,'Antiokheia hē epi tou Orontou potamou',35.68,35.64
urn:cite:ptolemy:lonlat.pt_ll_3880,'Daphnē',35.68,35.52
urn:cite:ptolemy:lonlat.pt_ll_5493,'Baktaiallē',35.68,35.28
urn:cite:ptolemy:lonlat.pt_ll_3881,'Audeia ē Ludia',36.04,35.28
urn:cite:ptolemy:lonlat.pt_ll_5494,'Seleukeia pros Bēlō',36.04,35.22
urn:cite:ptolemy:lonlat.pt_ll_3882,'Larissa',36.16,34.98
urn:cite:ptolemy:lonlat.pt_ll_3883,'Epiphaneia',36.1,34.86
urn:cite:ptolemy:lonlat.pt_ll_3884,'Rhaphaneai',35.86,34.74
urn:cite:ptolemy:lonlat.pt_ll_3885,'Antarados',35.14,34.74
urn:cite:ptolemy:lonlat.pt_ll_3886,'Marathos',35.44,34.86
urn:cite:ptolemy:lonlat.pt_ll_3887,'Mariamē',35.92,34.56
urn:cite:ptolemy:lonlat.pt_ll_3888,'Mamouga',35.92,34.38
urn:cite:ptolemy:lonlat.pt_ll_3889,'Thema',37.48,35.64
