SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_5954,'Boreion akron',76.72,19.08
urn:cite:ptolemy:lonlat.pt_ll_6236,'Boreion akron',76.72,19.08
urn:cite:ptolemy:lonlat.pt_ll_5047,'Galiba akra',75.28,18.36
urn:cite:ptolemy:lonlat.pt_ll_5048,'Margana polis',74.92,17.52
urn:cite:ptolemy:lonlat.pt_ll_5049,'Iōgana polis',74.8,16.44
urn:cite:ptolemy:lonlat.pt_ll_5050,'Anarismoundou akron',73.84,15.66
urn:cite:ptolemy:lonlat.pt_ll_5051,'Soana potamou ekbolai',74.08,14.58
urn:cite:ptolemy:lonlat.pt_ll_5052,'hai pēgai tou potamou',75.64,12.24
urn:cite:ptolemy:lonlat.pt_ll_5053,'Sindokanda polis',73.84,13.68
urn:cite:ptolemy:lonlat.pt_ll_5054,'Priapidos limēn',73.84,12.72
urn:cite:ptolemy:lonlat.pt_ll_5634,'Anoubiggara',73.12,12.00
urn:cite:ptolemy:lonlat.pt_ll_5055,'Dios akra',72.76,10.80
urn:cite:ptolemy:lonlat.pt_ll_5056,'Prasōdēs kolpos',73.12,11.52
urn:cite:ptolemy:lonlat.pt_ll_5636,'Noubartha polis',73.6,10.08
urn:cite:ptolemy:lonlat.pt_ll_5057,'Azanou potamou ekbolai',74.8,10.80
urn:cite:ptolemy:lonlat.pt_ll_5058,'hai pēgai tou potamou',76.72,10.80
urn:cite:ptolemy:lonlat.pt_ll_5059,'Odōka polis',74.56,11.52
urn:cite:ptolemy:lonlat.pt_ll_5060,'Orneōn akra',76.0,11.88
urn:cite:ptolemy:lonlat.pt_ll_5637,'Dagana polis hiera Selēnēs',77.2,11.52
urn:cite:ptolemy:lonlat.pt_ll_5638,'Korkobara polis',77.92,11.76
urn:cite:ptolemy:lonlat.pt_ll_5061,'Dionusou akron',79.6,11.16
urn:cite:ptolemy:lonlat.pt_ll_5639,'Kētaion akron',81.4,11.76
urn:cite:ptolemy:lonlat.pt_ll_5062,'Barakou potamou ekbolai',80.68,10.80
urn:cite:ptolemy:lonlat.pt_ll_5063,'hai pēgai tou potamou',78.16,11.52
urn:cite:ptolemy:lonlat.pt_ll_5064,'Bōkana polis',80.32,11.04
