SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_346,'Auou potamou ekbolai',-10.04,40.50
urn:cite:ptolemy:lonlat.pt_ll_347,'Auaron akron',-10.04,40.68
urn:cite:ptolemy:lonlat.pt_ll_348,'Nēbios potamou ekbolai',-9.92,40.86
urn:cite:ptolemy:lonlat.pt_ll_349,'Limiou pot. ekbolai',-10.04,41.22
urn:cite:ptolemy:lonlat.pt_ll_350,'Miniou potamou ekbolai',-10.16,41.52
urn:cite:ptolemy:lonlat.pt_ll_351,'hAi pēgai tou potamou',-5.72,41.94
urn:cite:ptolemy:lonlat.pt_ll_352,'Orouion akron',-10.04,41.76
urn:cite:ptolemy:lonlat.pt_ll_353,'Ouia potamou ekbolai',-9.92,42.00
urn:cite:ptolemy:lonlat.pt_ll_354,'Tamara potamou ekbolai',-9.92,42.24
urn:cite:ptolemy:lonlat.pt_ll_355,'Artabrōn limēn',-10.16,42.48
urn:cite:ptolemy:lonlat.pt_ll_356,'Nerion akrōtērion',-10.22,42.60
urn:cite:ptolemy:lonlat.pt_ll_357,'Sēstioubōmoi, akron',-9.92,42.84
urn:cite:ptolemy:lonlat.pt_ll_358,'Ouir potamou ekbolai',-9.5,42.84
urn:cite:ptolemy:lonlat.pt_ll_359,'To ephexēs akron',-9.32,42.84
urn:cite:ptolemy:lonlat.pt_ll_360,'Phlaouion Brigantion',-9.14,42.48
urn:cite:ptolemy:lonlat.pt_ll_361,'Lapatia Kōrou akron to kai Trileukon',-8.06,43.08
urn:cite:ptolemy:lonlat.pt_ll_362,'Mearou potamou ekbolai',-7.52,43.02
urn:cite:ptolemy:lonlat.pt_ll_363,'Nabiou potamou ekbolai',-6.56,42.96
urn:cite:ptolemy:lonlat.pt_ll_364,'Nabialaouiōnos potamou ekbolai',-5.84,43.02
urn:cite:ptolemy:lonlat.pt_ll_365,'Phlaouionaouia',-5.54,42.78
urn:cite:ptolemy:lonlat.pt_ll_366,'Nailou pot. ekbolai',-5.36,42.84
urn:cite:ptolemy:lonlat.pt_ll_367,'Noiga Oukesia',-4.64,42.96
urn:cite:ptolemy:lonlat.pt_ll_368,'Neroua potamou ekbolai',-4.52,42.24
urn:cite:ptolemy:lonlat.pt_ll_369,'Phlaouiobriga',-4.28,41.94
urn:cite:ptolemy:lonlat.pt_ll_370,'Dēoua potamou ekbolai',-4.1,42.06
urn:cite:ptolemy:lonlat.pt_ll_371,'Mēnoska',-3.68,42.48
urn:cite:ptolemy:lonlat.pt_ll_372,'Oiassō polis',-3.08,42.54
urn:cite:ptolemy:lonlat.pt_ll_373,'Oiassō akron Purēnēs',-3.08,43.08
urn:cite:ptolemy:lonlat.pt_ll_374,'Hieron Aphroditēs',0.64,40.56
urn:cite:ptolemy:lonlat.pt_ll_375,'to metaxu tēs kurtotētos pros tē Tarrakōnēsia',-1.76,41.04
urn:cite:ptolemy:lonlat.pt_ll_5763,'to pros tē Baitikē peras',-5.36,36.90
urn:cite:ptolemy:lonlat.pt_ll_376,'Ourki',-5.36,37.02
urn:cite:ptolemy:lonlat.pt_ll_377,'Loukenton',-5.24,37.08
urn:cite:ptolemy:lonlat.pt_ll_378,'Karkhēdōn Nea',-5.18,37.38
urn:cite:ptolemy:lonlat.pt_ll_379,'Skombraria akra',-4.7,37.50
