SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_1882,'tō apo tou eirēmenou Orbēlou orous mekhri peratos',21.28,40.14
urn:cite:ptolemy:lonlat.pt_ll_5691,'Nestou potamou ekbolai',23.26,40.14
urn:cite:ptolemy:lonlat.pt_ll_1883,'Abdēra',23.56,40.14
urn:cite:ptolemy:lonlat.pt_ll_1884,'Marōneia',23.92,40.08
urn:cite:ptolemy:lonlat.pt_ll_5692,'Hebrou pot. ekbolai',24.16,39.96
urn:cite:ptolemy:lonlat.pt_ll_1885,'Ainos polis',24.28,39.96
urn:cite:ptolemy:lonlat.pt_ll_1886,'Melanos pot. ekbolai',24.52,39.96
urn:cite:ptolemy:lonlat.pt_ll_5693,'to horion tēs Khersonēsou to en tō Melani kolpō',24.76,39.96
urn:cite:ptolemy:lonlat.pt_ll_1887,'to en tē Propontidi horion tēs Khersonēsou',25.12,39.96
urn:cite:ptolemy:lonlat.pt_ll_1888,'tou pros tēn katō Musian horiou',25.6,42.24
urn:cite:ptolemy:lonlat.pt_ll_1889,'Agkhialos',25.42,42.12
urn:cite:ptolemy:lonlat.pt_ll_1890,'Apollōnia',25.48,42.00
urn:cite:ptolemy:lonlat.pt_ll_1891,'Tonzou',25.6,41.88
urn:cite:ptolemy:lonlat.pt_ll_1892,'Perontikon',25.72,41.76
urn:cite:ptolemy:lonlat.pt_ll_1893,'Thunias akra',26.08,41.76
urn:cite:ptolemy:lonlat.pt_ll_1894,'Salmudēssos aigialos',25.84,41.52
urn:cite:ptolemy:lonlat.pt_ll_1895,'Philia akra',25.96,41.40
urn:cite:ptolemy:lonlat.pt_ll_1896,'Phinopolis',25.96,41.28
urn:cite:ptolemy:lonlat.pt_ll_1897,'Buzantion',26.32,41.10
urn:cite:ptolemy:lonlat.pt_ll_1898,'Bathuniou pot. ekbolai',25.96,41.04
urn:cite:ptolemy:lonlat.pt_ll_1899,'Athura pot. ekbolai',25.96,40.98
urn:cite:ptolemy:lonlat.pt_ll_1900,'Sēlumbria',25.6,40.68
urn:cite:ptolemy:lonlat.pt_ll_1901,'Perinthos',25.48,40.56
urn:cite:ptolemy:lonlat.pt_ll_1902,'Arzou pot. ekbolai',25.48,40.44
urn:cite:ptolemy:lonlat.pt_ll_1903,'Bisanthē',25.48,40.32
urn:cite:ptolemy:lonlat.pt_ll_1904,'Makron Teikhos',25.48,40.20
urn:cite:ptolemy:lonlat.pt_ll_1905,'Paktuē',25.24,40.14
urn:cite:ptolemy:lonlat.pt_ll_5694,'Bistonis limnē',23.8,40.20
urn:cite:ptolemy:lonlat.pt_ll_1906,'Praisidion',22.96,41.16
urn:cite:ptolemy:lonlat.pt_ll_1907,'Nikopolis hē peri hAimon',23.44,41.40
urn:cite:ptolemy:lonlat.pt_ll_1908,'Ostaphos',23.8,41.40
urn:cite:ptolemy:lonlat.pt_ll_1909,'Oualla',23.92,41.58
urn:cite:ptolemy:lonlat.pt_ll_1910,'Opisēna',24.4,41.76
urn:cite:ptolemy:lonlat.pt_ll_1911,'Deoueltos kolōnia',25.12,41.94
urn:cite:ptolemy:lonlat.pt_ll_1912,'Orkelis',25.12,41.52
urn:cite:ptolemy:lonlat.pt_ll_1913,'Karpoudaimon',24.88,41.10
urn:cite:ptolemy:lonlat.pt_ll_1914,'Bizuē',25.48,41.58
urn:cite:ptolemy:lonlat.pt_ll_1915,'Sardikē',22.12,41.04
urn:cite:ptolemy:lonlat.pt_ll_1916,'Terta',23.2,41.10
urn:cite:ptolemy:lonlat.pt_ll_1917,'Philippopolis',23.8,40.86
urn:cite:ptolemy:lonlat.pt_ll_1918,'Arzos',24.34,41.16
urn:cite:ptolemy:lonlat.pt_ll_1919,'Tonzos',25.24,41.28
urn:cite:ptolemy:lonlat.pt_ll_1920,'Kabulē',25.48,41.22
urn:cite:ptolemy:lonlat.pt_ll_1921,'Bergoulē',25.24,41.04
urn:cite:ptolemy:lonlat.pt_ll_1922,'Pautalia',22.0,40.68
urn:cite:ptolemy:lonlat.pt_ll_1923,'Nikopolis hē peri Neston',23.26,40.56
urn:cite:ptolemy:lonlat.pt_ll_1924,'Topiris',22.96,40.32
urn:cite:ptolemy:lonlat.pt_ll_1925,'Pergamon',23.44,40.68
urn:cite:ptolemy:lonlat.pt_ll_1926,'Traianopolis',24.16,40.50
urn:cite:ptolemy:lonlat.pt_ll_1927,'Plōtinopolis',24.64,40.80
urn:cite:ptolemy:lonlat.pt_ll_1928,'Drousipara',25.24,40.80
urn:cite:ptolemy:lonlat.pt_ll_1929,'Dumē',24.04,40.14
urn:cite:ptolemy:lonlat.pt_ll_1930,'Kupsela',24.22,40.08
