SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_5807,'tē enteuthen epi tou Orbēlou orous grammē heōs peratos',21.28,40.56
urn:cite:ptolemy:lonlat.pt_ll_1826,'Kiabrou potamou',22.0,41.04
urn:cite:ptolemy:lonlat.pt_ll_5170,'tēs pros ton Danoubion tou Kiabrou sunaphēs',21.64,41.58
urn:cite:ptolemy:lonlat.pt_ll_1827,'Singidounon',18.76,42.12
urn:cite:ptolemy:lonlat.pt_ll_1828,'Legiōn?Phlauia Trikornion',19.12,41.88
urn:cite:ptolemy:lonlat.pt_ll_1829,'Ouiminakion, legiōn',19.48,42.00
urn:cite:ptolemy:lonlat.pt_ll_1830,'Taliatis',19.84,41.76
urn:cite:ptolemy:lonlat.pt_ll_1831,'Egēta',20.02,41.52
urn:cite:ptolemy:lonlat.pt_ll_1832,'Dortikon',20.56,41.40
urn:cite:ptolemy:lonlat.pt_ll_5681,'Rhaitiaria Musōn, kolōnia',21.28,41.28
urn:cite:ptolemy:lonlat.pt_ll_1833,'Horrea',19.66,41.40
urn:cite:ptolemy:lonlat.pt_ll_1834,'Timakon',20.2,41.04
urn:cite:ptolemy:lonlat.pt_ll_1835,'Ouendenis',20.56,40.92
urn:cite:ptolemy:lonlat.pt_ll_1836,'Ouellanis',21.28,40.86
urn:cite:ptolemy:lonlat.pt_ll_1837,'Naissos',20.08,40.68
urn:cite:ptolemy:lonlat.pt_ll_1838,'Arribantion',20.2,40.32
urn:cite:ptolemy:lonlat.pt_ll_1839,'Oulpianon',20.92,40.80
urn:cite:ptolemy:lonlat.pt_ll_1840,'Skoupoi',20.92,40.68
