SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_5794,'ho',15.88,42.72
urn:cite:ptolemy:lonlat.pt_ll_5795,'tēs kata ton Arabōna potamon ektropēs',15.52,44.40
urn:cite:ptolemy:lonlat.pt_ll_990,'Ouindobona',13.18,43.80
urn:cite:ptolemy:lonlat.pt_ll_991,'Karnous',14.08,43.92
urn:cite:ptolemy:lonlat.pt_ll_992,'Phlexon',14.8,44.10
urn:cite:ptolemy:lonlat.pt_ll_993,'Khertobalos',15.16,44.28
urn:cite:ptolemy:lonlat.pt_ll_994,'Brigetion',15.52,44.40
urn:cite:ptolemy:lonlat.pt_ll_995,'Sala',13.6,43.38
urn:cite:ptolemy:lonlat.pt_ll_996,'Poitobion',12.88,42.84
urn:cite:ptolemy:lonlat.pt_ll_997,'Saouaria',13.6,43.68
urn:cite:ptolemy:lonlat.pt_ll_998,'Rhispia',13.84,43.56
urn:cite:ptolemy:lonlat.pt_ll_999,'Ouinoundria',13.48,42.72
urn:cite:ptolemy:lonlat.pt_ll_1000,'Bonōnia',13.84,42.96
urn:cite:ptolemy:lonlat.pt_ll_1001,'Andautonion',13.48,42.84
urn:cite:ptolemy:lonlat.pt_ll_1002,'Noouiodounon',13.24,42.72
urn:cite:ptolemy:lonlat.pt_ll_1003,'Skarbantia',14.44,43.92
urn:cite:ptolemy:lonlat.pt_ll_1004,'Moursella',14.26,43.32
urn:cite:ptolemy:lonlat.pt_ll_1005,'Lentoulon',14.2,43.02
urn:cite:ptolemy:lonlat.pt_ll_1006,'Karrodounon',14.56,43.20
urn:cite:ptolemy:lonlat.pt_ll_1007,'Siskia',14.08,42.72
urn:cite:ptolemy:lonlat.pt_ll_1008,'Olimakon',14.32,42.84
urn:cite:ptolemy:lonlat.pt_ll_1009,'Oualina',15.16,43.74
urn:cite:ptolemy:lonlat.pt_ll_1010,'Bōlention',15.16,43.20
urn:cite:ptolemy:lonlat.pt_ll_1011,'Sirota',14.92,43.20
urn:cite:ptolemy:lonlat.pt_ll_1012,'Sisōpa',14.8,43.02
urn:cite:ptolemy:lonlat.pt_ll_1013,'Ouisontion',15.34,42.78
urn:cite:ptolemy:lonlat.pt_ll_1014,'Praitōrion',15.34,43.38
urn:cite:ptolemy:lonlat.pt_ll_1015,'Magniana',15.52,43.20
urn:cite:ptolemy:lonlat.pt_ll_1016,'Ēmōna',12.28,42.72
