SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_5647,'tou notiou tēs Libuēs peratos',22.9,12.36
urn:cite:ptolemy:lonlat.pt_ll_5602,'tou Rhaptou akrōtēriou,',39.16,16.14
urn:cite:ptolemy:lonlat.pt_ll_2998,'Prionōton oros',32.8,26.28
urn:cite:ptolemy:lonlat.pt_ll_2999,'khersonēsos',32.8,25.92
urn:cite:ptolemy:lonlat.pt_ll_3000,'mnēmeion akron',32.92,25.56
urn:cite:ptolemy:lonlat.pt_ll_3001,'Ision oros',33.16,25.44
urn:cite:ptolemy:lonlat.pt_ll_3002,'bathus limēn',32.8,25.32
urn:cite:ptolemy:lonlat.pt_ll_3003,'Dioskorōn limēn',32.8,25.20
urn:cite:ptolemy:lonlat.pt_ll_5355,'Dēmētros skopiasakra',33.04,24.66
urn:cite:ptolemy:lonlat.pt_ll_3004,'Aspis akra',33.16,24.30
urn:cite:ptolemy:lonlat.pt_ll_3005,'Diogenous akron',33.28,24.24
urn:cite:ptolemy:lonlat.pt_ll_3006,'Saturōn oros',33.28,23.76
urn:cite:ptolemy:lonlat.pt_ll_3007,'Monodaktulon oros',33.16,23.40
urn:cite:ptolemy:lonlat.pt_ll_3008,'Gauron oros',33.28,23.04
urn:cite:ptolemy:lonlat.pt_ll_3009,'Theōn sōtērōn limēn',33.16,22.68
urn:cite:ptolemy:lonlat.pt_ll_3010,'Euaggelōn limēn',33.34,22.32
urn:cite:ptolemy:lonlat.pt_ll_5113,'Ptolemais Thērōn',33.52,21.90
urn:cite:ptolemy:lonlat.pt_ll_5356,'Sebastikon ē Sabastrikon stoma',33.16,21.60
urn:cite:ptolemy:lonlat.pt_ll_3011,'megas aigialos',33.52,20.34
urn:cite:ptolemy:lonlat.pt_ll_3012,'bōmos Erōtos akron',33.88,21.60
urn:cite:ptolemy:lonlat.pt_ll_5357,'Kolobonoros, akron',34.96,19.92
urn:cite:ptolemy:lonlat.pt_ll_5358,'Sabatpolis',34.96,19.08
urn:cite:ptolemy:lonlat.pt_ll_3013,'Oreinē Khersonēsos',34.96,18.84
urn:cite:ptolemy:lonlat.pt_ll_3014,'Adoulis ē Adoulē',34.24,18.48
urn:cite:ptolemy:lonlat.pt_ll_3015,'Krouou akrōtērion',34.96,18.48
urn:cite:ptolemy:lonlat.pt_ll_3016,'Antiokhou limēn',37.84,17.46
urn:cite:ptolemy:lonlat.pt_ll_5114,'Mandaith ē Mandaēth kōmē',39.1,17.52
urn:cite:ptolemy:lonlat.pt_ll_3017,'Arsinoē',39.1,17.76
urn:cite:ptolemy:lonlat.pt_ll_5359,'Dērēpolis en akra',39.64,18.00
urn:cite:ptolemy:lonlat.pt_ll_3018,'Abalitēs ē Aualitēs emporion',39.28,16.14
urn:cite:ptolemy:lonlat.pt_ll_5360,'Malaōemporion',42.16,14.76
urn:cite:ptolemy:lonlat.pt_ll_5361,'Moundouemporion',42.16,15.12
urn:cite:ptolemy:lonlat.pt_ll_5362,'Mosulon akron kai emporion',42.88,16.56
urn:cite:ptolemy:lonlat.pt_ll_3019,'Kobē emporion',43.6,15.84
urn:cite:ptolemy:lonlat.pt_ll_3020,'Elephas oros',44.32,15.48
urn:cite:ptolemy:lonlat.pt_ll_5363,'Akkanaiemporion',45.04,15.12
urn:cite:ptolemy:lonlat.pt_ll_3021,'Arōmata akron kai emporion',45.76,14.40
urn:cite:ptolemy:lonlat.pt_ll_3022,'Panōn kōmē',45.04,13.68
urn:cite:ptolemy:lonlat.pt_ll_3023,'Opōnē emporion',44.5,12.96
urn:cite:ptolemy:lonlat.pt_ll_5364,'Ziggisakra',44.32,12.24
urn:cite:ptolemy:lonlat.pt_ll_3024,'Phalaggis oros',43.6,12.60
urn:cite:ptolemy:lonlat.pt_ll_3025,'Apokopon ē Apokopa',42.88,12.24
urn:cite:ptolemy:lonlat.pt_ll_3026,'notou keras akron',42.88,10.80
urn:cite:ptolemy:lonlat.pt_ll_3027,'mikros aigialos',42.16,10.80
urn:cite:ptolemy:lonlat.pt_ll_3028,'megas aigialos',40.72,11.52
urn:cite:ptolemy:lonlat.pt_ll_5365,'Essina emporion',38.92,11.88
urn:cite:ptolemy:lonlat.pt_ll_5366,'Sarapiōnoshormos kai akra',39.28,12.24
urn:cite:ptolemy:lonlat.pt_ll_3029,'Tonikē ē emporion',38.56,13.14
