SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_5899,'Rhaptou akrōtēriou',39.16,16.14
urn:cite:ptolemy:lonlat.pt_ll_5900,'To de Prason',43.6,21.24
urn:cite:ptolemy:lonlat.pt_ll_5901,'menouthias',47.2,19.08
urn:cite:ptolemy:lonlat.pt_ll_3066,'kai',34.96,19.08
urn:cite:ptolemy:lonlat.pt_ll_5902,'ta perata tou tēs Selēnēs orous',27.04,19.08
urn:cite:ptolemy:lonlat.pt_ll_5383,'Daukhis oros, hou to meson',-3.2,16.14
urn:cite:ptolemy:lonlat.pt_ll_5384,'Ion oros, hou to meson',-6.8,16.14
urn:cite:ptolemy:lonlat.pt_ll_5385,'Zupha ē Ziphar oros',4.0,16.14
urn:cite:ptolemy:lonlat.pt_ll_5386,'Ineskhioros',4.0,19.44
urn:cite:ptolemy:lonlat.pt_ll_5387,'Barditon oros, hou to meson',18.4,14.40
urn:cite:ptolemy:lonlat.pt_ll_5388,'Selēnēs oros',27.04,19.08
urn:cite:ptolemy:lonlat.pt_ll_3067,'kai',34.24,19.08
