SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_6039,'peratos',46.48,36.00
urn:cite:ptolemy:lonlat.pt_ll_6040,'ho Khabōras to oros',43.6,38.52
urn:cite:ptolemy:lonlat.pt_ll_6041,'kai',45.76,37.44
urn:cite:ptolemy:lonlat.pt_ll_4115,'Mardē',40.72,37.62
urn:cite:ptolemy:lonlat.pt_ll_4116,'Sauara',40.9,36.90
urn:cite:ptolemy:lonlat.pt_ll_4117,'Bessara',41.44,36.96
urn:cite:ptolemy:lonlat.pt_ll_4118,'Belkiana',41.56,36.72
urn:cite:ptolemy:lonlat.pt_ll_4119,'Ninos',42.16,36.48
urn:cite:ptolemy:lonlat.pt_ll_4120,'Sakada',42.52,36.36
urn:cite:ptolemy:lonlat.pt_ll_4121,'Oroba',43.12,36.24
urn:cite:ptolemy:lonlat.pt_ll_4122,'Theldē',43.6,36.00
urn:cite:ptolemy:lonlat.pt_ll_4123,'Ktēsiphōn',43.6,35.64
urn:cite:ptolemy:lonlat.pt_ll_4124,'Bēthaba ē Bithaba',41.92,37.92
urn:cite:ptolemy:lonlat.pt_ll_4125,'Dartha',42.4,37.98
urn:cite:ptolemy:lonlat.pt_ll_4126,'Zigira',43.36,37.98
urn:cite:ptolemy:lonlat.pt_ll_4127,'Darna',43.96,37.80
urn:cite:ptolemy:lonlat.pt_ll_4128,'Obana',44.32,38.16
urn:cite:ptolemy:lonlat.pt_ll_4129,'Thēsara',44.5,37.80
urn:cite:ptolemy:lonlat.pt_ll_4130,'Korkoura',42.4,37.56
urn:cite:ptolemy:lonlat.pt_ll_4131,'Oroba',43.12,37.56
urn:cite:ptolemy:lonlat.pt_ll_5526,'Dēgia',44.2,37.56
urn:cite:ptolemy:lonlat.pt_ll_4132,'Kōmopolis',44.68,37.56
urn:cite:ptolemy:lonlat.pt_ll_4133,'Losa',42.88,37.26
urn:cite:ptolemy:lonlat.pt_ll_4134,'Gaugamēla',43.24,36.90
urn:cite:ptolemy:lonlat.pt_ll_4135,'Sarbēna',42.88,36.72
urn:cite:ptolemy:lonlat.pt_ll_4136,'Arbēla',43.6,36.90
urn:cite:ptolemy:lonlat.pt_ll_4137,'Gomara',43.84,37.08
urn:cite:ptolemy:lonlat.pt_ll_4138,'Phousiana',45.16,37.20
urn:cite:ptolemy:lonlat.pt_ll_5527,'Eisonē',45.16,36.96
urn:cite:ptolemy:lonlat.pt_ll_5528,'Soura',45.76,36.48
urn:cite:ptolemy:lonlat.pt_ll_5529,'Khatrakharta ē Khaitrakharta',43.96,36.12
urn:cite:ptolemy:lonlat.pt_ll_4139,'Apollōnia',44.44,36.36
urn:cite:ptolemy:lonlat.pt_ll_4140,'Thēboura',45.28,36.36
urn:cite:ptolemy:lonlat.pt_ll_4141,'Arrhapa',45.76,36.36
urn:cite:ptolemy:lonlat.pt_ll_4142,'Kinna',46.0,36.12
urn:cite:ptolemy:lonlat.pt_ll_4143,'Artemita',44.5,36.00
urn:cite:ptolemy:lonlat.pt_ll_4144,'Sittakē',45.04,35.64
urn:cite:ptolemy:lonlat.pt_ll_6042,'ho te Lukos',42.16,38.16
urn:cite:ptolemy:lonlat.pt_ll_6043,'hē de pros ton Tigrin sunaphē',42.88,36.36
urn:cite:ptolemy:lonlat.pt_ll_6044,'ho Kapros potamos',42.88,38.52
urn:cite:ptolemy:lonlat.pt_ll_6045,'hē de pros ton Tigrin sunaphē',42.88,36.12
urn:cite:ptolemy:lonlat.pt_ll_6046,'ho Gorgos,',43.84,37.44
urn:cite:ptolemy:lonlat.pt_ll_6047,'hē de pros ton Tigrin sunaphē',43.6,35.52
