SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_5921,'peratos',32.08,37.20
urn:cite:ptolemy:lonlat.pt_ll_5922,'peratos',36.4,36.96
urn:cite:ptolemy:lonlat.pt_ll_5923,'to tou Euphratou tmēma',37.6,37.44
urn:cite:ptolemy:lonlat.pt_ll_5924,'tēs arktikōtatēs autou pros anatolas epistrophēs',37.12,40.56
urn:cite:ptolemy:lonlat.pt_ll_5925,'peratos',38.2,42.36
urn:cite:ptolemy:lonlat.pt_ll_5926,'peratos',38.2,42.36
urn:cite:ptolemy:lonlat.pt_ll_3413,'Leukosurōn Agkōn',33.28,41.28
urn:cite:ptolemy:lonlat.pt_ll_3414,'Irios potamou ekbolai',33.52,41.04
urn:cite:ptolemy:lonlat.pt_ll_3415,'hē prōtē epistrophē tou potamou',34.42,39.84
urn:cite:ptolemy:lonlat.pt_ll_3416,'hē deutera epistrophē tou potamou',33.52,39.84
urn:cite:ptolemy:lonlat.pt_ll_3417,'hai pēgai tou potamou',34.96,39.60
urn:cite:ptolemy:lonlat.pt_ll_3418,'Themiskura',33.76,41.10
urn:cite:ptolemy:lonlat.pt_ll_3419,'Hērakleous akron',33.76,41.64
urn:cite:ptolemy:lonlat.pt_ll_5445,'Thermōdontos potamou ekbolai',34.24,41.22
urn:cite:ptolemy:lonlat.pt_ll_3420,'hai pēgai tou potamou',35.32,40.50
urn:cite:ptolemy:lonlat.pt_ll_5446,'Polemōnion',34.42,41.10
urn:cite:ptolemy:lonlat.pt_ll_3421,'Iasonion akron',34.6,41.22
urn:cite:ptolemy:lonlat.pt_ll_3422,'Kuteōron',34.66,41.10
urn:cite:ptolemy:lonlat.pt_ll_3423,'Hermōnassa',34.9,41.22
urn:cite:ptolemy:lonlat.pt_ll_3424,'Iskhopolis',35.2,41.28
urn:cite:ptolemy:lonlat.pt_ll_3425,'Kerasous',35.56,41.28
urn:cite:ptolemy:lonlat.pt_ll_3426,'Pharnakia',35.92,41.10
urn:cite:ptolemy:lonlat.pt_ll_3427,'Hussou limēn',36.76,41.04
urn:cite:ptolemy:lonlat.pt_ll_3428,'Trapezous',37.0,41.10
urn:cite:ptolemy:lonlat.pt_ll_5447,'Opious',37.12,41.34
urn:cite:ptolemy:lonlat.pt_ll_3429,'Rhizous limēn',37.12,41.16
urn:cite:ptolemy:lonlat.pt_ll_3430,'Athēnōn akron',37.12,41.58
urn:cite:ptolemy:lonlat.pt_ll_3431,'Khordubē ē Khordulē',37.36,41.58
urn:cite:ptolemy:lonlat.pt_ll_3432,'Morthoula',37.72,42.36
urn:cite:ptolemy:lonlat.pt_ll_3433,'Arkadios potamou ekbolai',37.78,41.76
urn:cite:ptolemy:lonlat.pt_ll_3434,'Xulinē',37.9,41.88
urn:cite:ptolemy:lonlat.pt_ll_3435,'Kissa potamou ekbolai',37.96,42.00
urn:cite:ptolemy:lonlat.pt_ll_5448,'Apsorrhos',38.08,42.24
urn:cite:ptolemy:lonlat.pt_ll_3436,'Apsorrhou potamou ekbolai',38.08,42.30
urn:cite:ptolemy:lonlat.pt_ll_3437,'kath ho skhizetai eis ton Glaukon potamon, kai eis ton Lukon',38.2,41.58
urn:cite:ptolemy:lonlat.pt_ll_3438,'hai pēgai tou Apsorrhou potamou',38.38,41.04
urn:cite:ptolemy:lonlat.pt_ll_3439,'hai pēgai tou Lukou',37.84,41.04
urn:cite:ptolemy:lonlat.pt_ll_3440,'hai pēgai tou Glaukou]',37.3,41.04
urn:cite:ptolemy:lonlat.pt_ll_3441,'Sebastopolis',38.08,42.30
urn:cite:ptolemy:lonlat.pt_ll_5927,'to te Argaion',33.16,39.24
urn:cite:ptolemy:lonlat.pt_ll_5928,'kai',33.52,38.64
urn:cite:ptolemy:lonlat.pt_ll_5929,'ho Melas kaloumenos potamos',37.12,38.40
urn:cite:ptolemy:lonlat.pt_ll_5930,'to men pros tō Taurō orei tmēma',33.16,37.80
urn:cite:ptolemy:lonlat.pt_ll_5931,'kai',34.42,38.34
urn:cite:ptolemy:lonlat.pt_ll_5932,'to de pros tō Euphratē potamō',34.6,38.46
urn:cite:ptolemy:lonlat.pt_ll_5933,'kai',37.48,39.78
urn:cite:ptolemy:lonlat.pt_ll_5934,'ho Skordiskos to oros',34.96,39.60
urn:cite:ptolemy:lonlat.pt_ll_5935,'kai',35.68,40.68
urn:cite:ptolemy:lonlat.pt_ll_3442,'Boinasa',33.16,40.86
urn:cite:ptolemy:lonlat.pt_ll_3443,'Sebastopolis hetera',33.52,40.56
urn:cite:ptolemy:lonlat.pt_ll_3444,'Tebenda',34.0,40.44
urn:cite:ptolemy:lonlat.pt_ll_3445,'Amaseia',33.16,40.32
urn:cite:ptolemy:lonlat.pt_ll_3446,'Kholoē ē Khologi',33.52,40.32
urn:cite:ptolemy:lonlat.pt_ll_3447,'Etōnia',32.8,39.72
urn:cite:ptolemy:lonlat.pt_ll_3448,'Piala',33.34,40.08
urn:cite:ptolemy:lonlat.pt_ll_3449,'Pleumamis ē Pleumaris',32.98,39.84
urn:cite:ptolemy:lonlat.pt_ll_3450,'Pida',33.58,39.78
urn:cite:ptolemy:lonlat.pt_ll_3451,'Sermouga',33.76,39.90
