SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_2383,'Kōrukos akra kai polis',23.5,35.04
urn:cite:ptolemy:lonlat.pt_ll_2384,'Phalasarna',23.68,35.04
urn:cite:ptolemy:lonlat.pt_ll_2385,'Khersonēsos',23.8,34.98
urn:cite:ptolemy:lonlat.pt_ll_2386,'Rhamnous limēn',23.8,34.92
urn:cite:ptolemy:lonlat.pt_ll_2387,'Ina khōrion',23.86,34.80
urn:cite:ptolemy:lonlat.pt_ll_2388,'Kriou metōpon akron',23.86,34.68
urn:cite:ptolemy:lonlat.pt_ll_2389,'Lissos',23.92,34.62
urn:cite:ptolemy:lonlat.pt_ll_2390,'Tarra',24.04,34.80
urn:cite:ptolemy:lonlat.pt_ll_2391,'Poikilasion',24.16,34.92
urn:cite:ptolemy:lonlat.pt_ll_2392,'Hermaia akra',24.34,34.86
urn:cite:ptolemy:lonlat.pt_ll_2393,'Phoinikous limēn',24.7,35.16
urn:cite:ptolemy:lonlat.pt_ll_2394,'Phoinix polis',24.58,35.10
urn:cite:ptolemy:lonlat.pt_ll_2395,'Messalia pot. ekbolai',24.7,35.04
urn:cite:ptolemy:lonlat.pt_ll_2396,'Psukhion',24.88,35.10
urn:cite:ptolemy:lonlat.pt_ll_2397,'Ēlektra poi. ekbolai',25.0,35.10
urn:cite:ptolemy:lonlat.pt_ll_2398,'Matalia',25.18,34.92
urn:cite:ptolemy:lonlat.pt_ll_2399,'Leōn akra',25.3,35.10
urn:cite:ptolemy:lonlat.pt_ll_2400,'Lebēna',25.3,35.16
urn:cite:ptolemy:lonlat.pt_ll_2401,'Katarraktou pot. ekbolai',25.42,35.16
urn:cite:ptolemy:lonlat.pt_ll_2402,'Lēthaiou pot. ekbolai',25.48,35.22
urn:cite:ptolemy:lonlat.pt_ll_2403,'Inatos polis',25.6,35.22
urn:cite:ptolemy:lonlat.pt_ll_2404,'Hieron oros',25.72,35.28
urn:cite:ptolemy:lonlat.pt_ll_2405,'Hieraputna',25.78,35.34
urn:cite:ptolemy:lonlat.pt_ll_2406,'Eruthraion akron',25.84,35.34
urn:cite:ptolemy:lonlat.pt_ll_2407,'Ampelos akra',25.96,35.40
urn:cite:ptolemy:lonlat.pt_ll_2408,'Itanos polis',26.08,35.46
urn:cite:ptolemy:lonlat.pt_ll_5723,'Sammōnion akron',26.2,35.58
urn:cite:ptolemy:lonlat.pt_ll_5724,'Minōa limēn',25.84,35.46
urn:cite:ptolemy:lonlat.pt_ll_2409,'Kamara polis',25.72,35.52
urn:cite:ptolemy:lonlat.pt_ll_2410,'Olous',25.6,35.52
urn:cite:ptolemy:lonlat.pt_ll_2411,'Khersonēsos',25.54,35.52
urn:cite:ptolemy:lonlat.pt_ll_2412,'Zephurion akron',25.42,35.64
urn:cite:ptolemy:lonlat.pt_ll_2413,'Hērakleion',25.24,35.52
urn:cite:ptolemy:lonlat.pt_ll_2414,'Panormos',25.12,35.46
urn:cite:ptolemy:lonlat.pt_ll_2415,'Apollōnia',25.0,35.46
urn:cite:ptolemy:lonlat.pt_ll_2416,'Kutaion',24.88,35.46
urn:cite:ptolemy:lonlat.pt_ll_2417,'Dion akron',24.76,35.40
urn:cite:ptolemy:lonlat.pt_ll_2418,'Pantomatrion',24.7,35.34
urn:cite:ptolemy:lonlat.pt_ll_2419,'Rhithumna',24.52,35.34
urn:cite:ptolemy:lonlat.pt_ll_2420,'Amphimalēs kolpos',24.34,35.28
urn:cite:ptolemy:lonlat.pt_ll_2421,'Drepanon akron',24.28,35.40
urn:cite:ptolemy:lonlat.pt_ll_2422,'Minōia',24.16,35.28
urn:cite:ptolemy:lonlat.pt_ll_5725,'Puktou pot. ekbolai',24.04,35.28
urn:cite:ptolemy:lonlat.pt_ll_2423,'Kudōnia',23.98,35.28
urn:cite:ptolemy:lonlat.pt_ll_2424,'Kisamon akron',23.8,35.28
urn:cite:ptolemy:lonlat.pt_ll_5726,'Diktunnaion',23.68,35.22
urn:cite:ptolemy:lonlat.pt_ll_2425,'Psakon akron',23.68,35.16
urn:cite:ptolemy:lonlat.pt_ll_5727,'Kisamos polis',23.74,35.10
urn:cite:ptolemy:lonlat.pt_ll_5728,'ta te kaloumena Leuka orē',23.92,35.04
urn:cite:ptolemy:lonlat.pt_ll_2426,'hē Idē oros',24.88,35.28
