SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_3787,'Akamas akra',32.2,35.64
urn:cite:ptolemy:lonlat.pt_ll_3788,'Paphos Nea',32.32,35.40
urn:cite:ptolemy:lonlat.pt_ll_3789,'Zephurion akron',32.2,35.70
urn:cite:ptolemy:lonlat.pt_ll_3790,'Paphos Palaia',32.44,35.28
urn:cite:ptolemy:lonlat.pt_ll_3791,'Drepanon akron',32.44,35.16
urn:cite:ptolemy:lonlat.pt_ll_3792,'Phrourion akron',32.98,35.16
urn:cite:ptolemy:lonlat.pt_ll_3793,'Kourion polis',32.92,35.28
urn:cite:ptolemy:lonlat.pt_ll_3794,'Lukou potamou ekbolai',33.04,35.40
urn:cite:ptolemy:lonlat.pt_ll_3795,'Kourias akra',33.16,35.10
urn:cite:ptolemy:lonlat.pt_ll_3796,'Amathous',33.34,35.28
urn:cite:ptolemy:lonlat.pt_ll_3797,'Tetiou potamou ekbolai',33.64,35.28
urn:cite:ptolemy:lonlat.pt_ll_3798,'Kition polis',33.7,35.28
urn:cite:ptolemy:lonlat.pt_ll_5487,'Lades akra',34.06,35.28
urn:cite:ptolemy:lonlat.pt_ll_3799,'Thronoi polis kai akra',34.06,35.28
urn:cite:ptolemy:lonlat.pt_ll_5981,'Pēdalion akron',34.24,35.52
urn:cite:ptolemy:lonlat.pt_ll_3800,'Pediaiou potamou ekbolai',34.12,35.52
urn:cite:ptolemy:lonlat.pt_ll_3801,'Salamis',34.0,35.64
urn:cite:ptolemy:lonlat.pt_ll_3802,'Elaia akra',34.24,35.76
urn:cite:ptolemy:lonlat.pt_ll_3803,'Oura boos ē Kleides akra',34.6,35.88
urn:cite:ptolemy:lonlat.pt_ll_3804,'Karpasia',34.12,35.94
urn:cite:ptolemy:lonlat.pt_ll_3805,'Akhaiōn aktē',34.0,35.88
urn:cite:ptolemy:lonlat.pt_ll_3806,'Aphrodision',33.88,35.76
urn:cite:ptolemy:lonlat.pt_ll_3807,'Makaria',33.52,35.82
urn:cite:ptolemy:lonlat.pt_ll_3808,'Kerōnia ē Keraunia',33.28,35.82
urn:cite:ptolemy:lonlat.pt_ll_3809,'Lapēthou potamou ekbolai',33.16,35.94
urn:cite:ptolemy:lonlat.pt_ll_3810,'Lapēthos polis',33.04,35.94
urn:cite:ptolemy:lonlat.pt_ll_3811,'Krommuōn akra',32.92,36.12
urn:cite:ptolemy:lonlat.pt_ll_3812,'Soloi',32.8,36.00
urn:cite:ptolemy:lonlat.pt_ll_3813,'Kallinousa akra',32.56,35.88
urn:cite:ptolemy:lonlat.pt_ll_3814,'Arsinoē',32.56,35.70
urn:cite:ptolemy:lonlat.pt_ll_3815,'Khutros',33.88,36.36
urn:cite:ptolemy:lonlat.pt_ll_3816,'Tremēthous',33.82,35.58
urn:cite:ptolemy:lonlat.pt_ll_3817,'Tamassos',33.76,35.58
urn:cite:ptolemy:lonlat.pt_ll_3818,'hai te kaloumenai Kleides',34.48,35.82
urn:cite:ptolemy:lonlat.pt_ll_3819,'tōn Karpasōn nēsōn',32.14,35.82
