SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_5850,'kata tēn apo Philainou bōmōn grammēn pros mesēmbrian mekhri peratos',19.66,30.96
urn:cite:ptolemy:lonlat.pt_ll_2732,'mekhri',19.84,28.08
urn:cite:ptolemy:lonlat.pt_ll_2733,'Automalax phrourion',19.9,31.08
urn:cite:ptolemy:lonlat.pt_ll_2734,'Drepanon akron',20.02,31.20
urn:cite:ptolemy:lonlat.pt_ll_5275,'Huphaloi, hormos',20.08,31.44
urn:cite:ptolemy:lonlat.pt_ll_2735,'Diarrhoia limēn',20.02,31.68
urn:cite:ptolemy:lonlat.pt_ll_2736,'Hērakleous purgos',20.08,32.04
urn:cite:ptolemy:lonlat.pt_ll_2737,'Diakhersis phrourion',20.08,32.28
urn:cite:ptolemy:lonlat.pt_ll_5276,'Boreion akron, telos tēs Surteōs',20.02,32.52
urn:cite:ptolemy:lonlat.pt_ll_2738,'Bruōn aigialos',20.2,32.58
urn:cite:ptolemy:lonlat.pt_ll_2739,'Berenikē hē kai Hesperides',20.38,32.64
urn:cite:ptolemy:lonlat.pt_ll_2740,'Lathōnos potamou ekbolai',20.74,32.64
urn:cite:ptolemy:lonlat.pt_ll_2741,'Arsinoē hē kai Teukheira',21.04,32.64
urn:cite:ptolemy:lonlat.pt_ll_5106,'Ptolemais',21.34,32.52
urn:cite:ptolemy:lonlat.pt_ll_2742,'Aurigda ē Ausigda',21.64,32.76
urn:cite:ptolemy:lonlat.pt_ll_5277,'Aptoukhou hieron',21.64,32.88
urn:cite:ptolemy:lonlat.pt_ll_2743,'Phukous akron kai khōrion',22.0,33.00
urn:cite:ptolemy:lonlat.pt_ll_5149,'Apollōnia',22.12,32.88
urn:cite:ptolemy:lonlat.pt_ll_5232,'Naustathmon, limēn',22.24,32.88
urn:cite:ptolemy:lonlat.pt_ll_5240,'Eruthron, topos',22.36,32.76
urn:cite:ptolemy:lonlat.pt_ll_2744,'Khersis kōmē',22.54,32.64
urn:cite:ptolemy:lonlat.pt_ll_2745,'Zephurion akron',22.72,32.64
urn:cite:ptolemy:lonlat.pt_ll_5278,'Darnis',22.9,32.58
urn:cite:ptolemy:lonlat.pt_ll_5851,'kata tēn apo Darnidos pros mesēmbrian ekballomenēn grammēn mekhri peratos',22.9,28.08
urn:cite:ptolemy:lonlat.pt_ll_5852,'ta kaloumena Hērakleous Thinas',21.04,30.96
urn:cite:ptolemy:lonlat.pt_ll_2746,'ta Ouelpa orē',20.32,28.44
urn:cite:ptolemy:lonlat.pt_ll_2747,'to Baikolikon oros',22.72,29.16
urn:cite:ptolemy:lonlat.pt_ll_5280,'tēn te apo tou Lathōnos potamou ektrepomenēn limnēn',20.2,32.52
urn:cite:ptolemy:lonlat.pt_ll_5281,'Kogkhulion',23.44,32.52
urn:cite:ptolemy:lonlat.pt_ll_2748,'Kurēnē',22.0,32.64
urn:cite:ptolemy:lonlat.pt_ll_2749,'Arkhilē',22.36,32.58
urn:cite:ptolemy:lonlat.pt_ll_2750,'Khairekla',20.92,32.40
urn:cite:ptolemy:lonlat.pt_ll_2751,'Neapolis',21.28,32.40
urn:cite:ptolemy:lonlat.pt_ll_5282,'Artamis kōmē',21.82,32.52
urn:cite:ptolemy:lonlat.pt_ll_5283,'Zumēthos',21.94,32.52
urn:cite:ptolemy:lonlat.pt_ll_5284,'Barkē',21.46,32.22
urn:cite:ptolemy:lonlat.pt_ll_5285,'Ēraga',21.76,32.40
urn:cite:ptolemy:lonlat.pt_ll_2752,'Kelida',22.36,32.16
urn:cite:ptolemy:lonlat.pt_ll_5286,'Hudra ē Hudrax',22.6,32.22
urn:cite:ptolemy:lonlat.pt_ll_5287,'Alibaka ē Alubbaka',21.4,31.80
urn:cite:ptolemy:lonlat.pt_ll_5288,'Thintis',22.0,31.86
urn:cite:ptolemy:lonlat.pt_ll_5289,'Kainopolis',22.54,31.92
urn:cite:ptolemy:lonlat.pt_ll_5290,'Phalakra',21.82,31.80
urn:cite:ptolemy:lonlat.pt_ll_5291,'Marabina ē Marabēna',20.56,31.68
urn:cite:ptolemy:lonlat.pt_ll_5292,'Auritina ē Auritēna',21.82,31.56
urn:cite:ptolemy:lonlat.pt_ll_5293,'Akabis',22.36,31.44
urn:cite:ptolemy:lonlat.pt_ll_2753,'Maranthis kōmē',20.2,31.20
urn:cite:ptolemy:lonlat.pt_ll_5735,'Agdan ē Agdanos ē Agaua kōmē',20.38,30.96
urn:cite:ptolemy:lonlat.pt_ll_5736,'Ekhinos kōmē',21.64,30.72
urn:cite:ptolemy:lonlat.pt_ll_5737,'Philōnos kōmē',22.72,30.72
urn:cite:ptolemy:lonlat.pt_ll_5738,'Arimantos kōmē',22.72,30.90
urn:cite:ptolemy:lonlat.pt_ll_5853,'Murmēx nēsos',21.04,33.00
urn:cite:ptolemy:lonlat.pt_ll_5854,'Laia ē Aphroditēs nēsos',22.12,33.06
