SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_6201,'peratos',66.28,30.24
urn:cite:ptolemy:lonlat.pt_ll_6202,'potamos apo tou Arabios ektrepomenos',64.48,33.48
urn:cite:ptolemy:lonlat.pt_ll_4644,'Prophthasia',65.2,33.36
urn:cite:ptolemy:lonlat.pt_ll_4645,'Rhouda',62.68,32.76
urn:cite:ptolemy:lonlat.pt_ll_4646,'Inna',64.48,32.76
urn:cite:ptolemy:lonlat.pt_ll_4647,'Arikada',65.44,32.64
urn:cite:ptolemy:lonlat.pt_ll_5600,'Asta',70.6,32.16
urn:cite:ptolemy:lonlat.pt_ll_4648,'Xarxiarē',62.56,31.14
urn:cite:ptolemy:lonlat.pt_ll_4649,'Nostana',63.76,31.44
urn:cite:ptolemy:lonlat.pt_ll_4650,'Pharazana',65.2,31.68
urn:cite:ptolemy:lonlat.pt_ll_4651,'Bigis',65.92,31.44
urn:cite:ptolemy:lonlat.pt_ll_4652,'Ariaspē',64.24,30.72
urn:cite:ptolemy:lonlat.pt_ll_4653,'Arana',65.92,30.42
