SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_5918,'tou kata parallēlon ekhontos',30.1,33.42
urn:cite:ptolemy:lonlat.pt_ll_5919,'tou Pontou',32.92,41.16
urn:cite:ptolemy:lonlat.pt_ll_3305,'Klimax khōrion',30.04,41.64
urn:cite:ptolemy:lonlat.pt_ll_3306,'Teuthrania hē kai Thumaina',30.46,41.76
urn:cite:ptolemy:lonlat.pt_ll_3307,'Karambis akra',30.16,42.06
urn:cite:ptolemy:lonlat.pt_ll_3308,'Zephurion',30.28,42.00
urn:cite:ptolemy:lonlat.pt_ll_3309,'Kallistratia',30.46,41.94
urn:cite:ptolemy:lonlat.pt_ll_3310,'Abōnou teikhos',30.64,41.76
urn:cite:ptolemy:lonlat.pt_ll_3311,'Kimōlis',31.0,41.76
urn:cite:ptolemy:lonlat.pt_ll_3312,'Armenē',31.3,41.70
urn:cite:ptolemy:lonlat.pt_ll_3313,'Stephanē kōmē',32.02,41.64
urn:cite:ptolemy:lonlat.pt_ll_5431,'Sinōpē',31.96,41.76
urn:cite:ptolemy:lonlat.pt_ll_3314,'Kuptasia',32.08,41.52
urn:cite:ptolemy:lonlat.pt_ll_3315,'Zaliskou potamou ekbolai',32.08,41.40
urn:cite:ptolemy:lonlat.pt_ll_3316,'Galōron',32.26,41.28
urn:cite:ptolemy:lonlat.pt_ll_3317,'Haluos potamou ekbolai',32.44,41.16
urn:cite:ptolemy:lonlat.pt_ll_3318,'hē peristrophē tou potamou',32.26,39.78
urn:cite:ptolemy:lonlat.pt_ll_3319,'Amisos',32.8,40.38
urn:cite:ptolemy:lonlat.pt_ll_5432,'ho te Ligas',31.36,40.80
urn:cite:ptolemy:lonlat.pt_ll_5433,'tou Didumou ta anatolika',30.64,39.84
urn:cite:ptolemy:lonlat.pt_ll_5434,'ho kaloumenos Kelainōn Lophos',31.0,38.52
urn:cite:ptolemy:lonlat.pt_ll_5435,'Zageira .',30.4,41.52
urn:cite:ptolemy:lonlat.pt_ll_3320,'Plegra',31.0,41.40
urn:cite:ptolemy:lonlat.pt_ll_3321,'Sakora',31.6,41.52
urn:cite:ptolemy:lonlat.pt_ll_5436,'Ēloua',30.4,41.04
urn:cite:ptolemy:lonlat.pt_ll_5437,'Tōbata',30.88,41.04
urn:cite:ptolemy:lonlat.pt_ll_3322,'Germanopolis',31.36,41.04
urn:cite:ptolemy:lonlat.pt_ll_3323,'Gēlaka ē Sēlka',31.84,41.22
urn:cite:ptolemy:lonlat.pt_ll_3324,'Xoana ē Zolka',31.54,41.04
urn:cite:ptolemy:lonlat.pt_ll_3325,'Dakasuē',30.4,40.80
urn:cite:ptolemy:lonlat.pt_ll_3326,'Mosion',29.98,40.50
urn:cite:ptolemy:lonlat.pt_ll_5438,'Sakorsa',30.64,40.56
urn:cite:ptolemy:lonlat.pt_ll_5120,'Pompēiopolis',31.0,40.50
urn:cite:ptolemy:lonlat.pt_ll_3327,'Konika',31.18,40.68
urn:cite:ptolemy:lonlat.pt_ll_3328,'Andrapa hē kai Neoklaudiopolis',31.54,40.56
urn:cite:ptolemy:lonlat.pt_ll_3329,'Sabanis',31.96,40.56
urn:cite:ptolemy:lonlat.pt_ll_3330,'Titoua',32.26,40.68
urn:cite:ptolemy:lonlat.pt_ll_3331,'Eusēnē',32.56,40.80
urn:cite:ptolemy:lonlat.pt_ll_3332,'Germa ē Therma kolōnia',30.28,40.32
urn:cite:ptolemy:lonlat.pt_ll_3333,'Pessinous',29.92,39.96
urn:cite:ptolemy:lonlat.pt_ll_5121,'Ouindia',30.4,40.08
urn:cite:ptolemy:lonlat.pt_ll_3334,'Anaros ē Andros',30.28,39.84
urn:cite:ptolemy:lonlat.pt_ll_3335,'Tolastakhora',30.1,39.54
urn:cite:ptolemy:lonlat.pt_ll_3336,'Oueteston',30.4,39.60
