SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_6208,'peratos',64.48,24.48
urn:cite:ptolemy:lonlat.pt_ll_4665,'Arabios potamou ekbolai',61.6,24.66
urn:cite:ptolemy:lonlat.pt_ll_4666,'hai pēgai tou potamou',65.2,29.88
urn:cite:ptolemy:lonlat.pt_ll_4667,'hē ektropē tou eis tēn Draggianēn emballontos',63.28,28.08
urn:cite:ptolemy:lonlat.pt_ll_4668,'Rhagiraua polis',62.32,24.48
urn:cite:ptolemy:lonlat.pt_ll_4669,'Gunaikōn limēn',63.04,24.66
urn:cite:ptolemy:lonlat.pt_ll_4670,'Koiamba',63.76,24.48
urn:cite:ptolemy:lonlat.pt_ll_4671,'Rhizana',64.0,24.66
urn:cite:ptolemy:lonlat.pt_ll_5603,'to eirēmenon epi thalassē peras',64.48,24.48
urn:cite:ptolemy:lonlat.pt_ll_6209,'orē kaloumena Arbita',101.2,25.92
urn:cite:ptolemy:lonlat.pt_ll_6210,'kai',67.36,29.16
urn:cite:ptolemy:lonlat.pt_ll_6211,'tou henos hē pēgē',65.92,28.44
urn:cite:ptolemy:lonlat.pt_ll_4672,'Kouni',65.2,29.52
urn:cite:ptolemy:lonlat.pt_ll_4673,'Badara',67.36,29.52
urn:cite:ptolemy:lonlat.pt_ll_4674,'Mousarna',68.8,29.88
urn:cite:ptolemy:lonlat.pt_ll_4675,'Kottobara',70.96,29.88
urn:cite:ptolemy:lonlat.pt_ll_4676,'Sōxestra ē Sōkstra',71.32,28.62
urn:cite:ptolemy:lonlat.pt_ll_4677,'Oskana',68.8,28.80
urn:cite:ptolemy:lonlat.pt_ll_4678,'Parsis mētropolis',62.68,27.00
urn:cite:ptolemy:lonlat.pt_ll_4679,'Omiza',65.2,27.00
urn:cite:ptolemy:lonlat.pt_ll_4680,'Arbis polis',61.84,26.28
urn:cite:ptolemy:lonlat.pt_ll_4681,'Asthaia',61.6,23.04
urn:cite:ptolemy:lonlat.pt_ll_4682,'Kodanē',101.56,22.32
